rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,195,303775165,3,"Ara-Kara, City of Echoes",2024-10-28T20:58:40.000Z,619664,1800999,3,Xal'atath's Bargain: Ascendant,Birbbq,Warrior,Protection,tank,Silvermoon
1,195,303775165,3,"Ara-Kara, City of Echoes",2024-10-28T20:58:40.000Z,619664,1800999,3,Xal'atath's Bargain: Ascendant,Sadaki-202793402,Paladin,Holy,healer,Argent Dawn
1,195,303775165,3,"Ara-Kara, City of Echoes",2024-10-28T20:58:40.000Z,619664,1800999,3,Xal'atath's Bargain: Ascendant,Dûna,Mage,Frost,dps,Argent Dawn
1,195,303775165,3,"Ara-Kara, City of Echoes",2024-10-28T20:58:40.000Z,619664,1800999,3,Xal'atath's Bargain: Ascendant,Tizaly,Mage,Frost,dps,Argent Dawn
1,195,303775165,3,"Ara-Kara, City of Echoes",2024-10-28T20:58:40.000Z,619664,1800999,3,Xal'atath's Bargain: Ascendant,Kirhann,Paladin,Retribution,dps,Argent Dawn
2,195,304224229,3,"Ara-Kara, City of Echoes",2024-10-29T20:43:26.000Z,630830,1800999,3,Xal'atath's Bargain: Ascendant,Shamanwolfy,Shaman,Enhancement,dps,Silvermoon
2,195,304224229,3,"Ara-Kara, City of Echoes",2024-10-29T20:43:26.000Z,630830,1800999,3,Xal'atath's Bargain: Ascendant,Lillsha,Shaman,Restoration,healer,Kazzak
2,195,304224229,3,"Ara-Kara, City of Echoes",2024-10-29T20:43:26.000Z,630830,1800999,3,Xal'atath's Bargain: Ascendant,Dreamwarior,Warrior,Protection,tank,Silvermoon
2,195,304224229,3,"Ara-Kara, City of Echoes",2024-10-29T20:43:26.000Z,630830,1800999,3,Xal'atath's Bargain: Ascendant,Borkee-227773410,Rogue,Assassination,dps,Doomhammer
2,195,304224229,3,"Ara-Kara, City of Echoes",2024-10-29T20:43:26.000Z,630830,1800999,3,Xal'atath's Bargain: Ascendant,Darkakamagi,Mage,Frost,dps,Twisting Nether
3,195,294023817,3,"Ara-Kara, City of Echoes",2024-09-21T23:49:58.000Z,632807,1800999,3,Xal'atath's Bargain: Ascendant,Maresur,Warrior,Protection,tank,Burning Legion
3,195,294023817,3,"Ara-Kara, City of Echoes",2024-09-21T23:49:58.000Z,632807,1800999,3,Xal'atath's Bargain: Ascendant,Hextremist,Shaman,Elemental,dps,Kazzak
3,195,294023817,3,"Ara-Kara, City of Echoes",2024-09-21T23:49:58.000Z,632807,1800999,3,Xal'atath's Bargain: Ascendant,Xeinna,Demon Hunter,Havoc,dps,Burning Legion
