rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,195,297023688,3,"Ara-Kara, City of Echoes",2024-10-01T20:24:59.000Z,600503,1800999,3,Xal'atath's Bargain: Oblivion,Drákò,Death Knight,Unholy,dps,Blackmoore
1,195,297023688,3,"Ara-Kara, City of Echoes",2024-10-01T20:24:59.000Z,600503,1800999,3,Xal'atath's Bargain: Oblivion,Hunddk,Death Knight,Blood,tank,Draenor
1,195,297023688,3,"Ara-Kara, City of Echoes",2024-10-01T20:24:59.000Z,600503,1800999,3,Xal'atath's Bargain: Oblivion,Gengy,Druid,Restoration,healer,Tarren Mill
1,195,297023688,3,"Ara-Kara, City of Echoes",2024-10-01T20:24:59.000Z,600503,1800999,3,Xal'atath's Bargain: Oblivion,Olumsõvalye,Death Knight,Frost,dps,Silvermoon
1,195,297023688,3,"Ara-Kara, City of Echoes",2024-10-01T20:24:59.000Z,600503,1800999,3,Xal'atath's Bargain: Oblivion,Gálahad,Paladin,Retribution,dps,Ravencrest
2,195,300555906,3,"Ara-Kara, City of Echoes",2024-10-16T04:27:14.000Z,638415,1800999,3,Xal'atath's Bargain: Oblivion,Rhobbiemonk,Monk,Brewmaster,tank,Stormscale
2,195,300555906,3,"Ara-Kara, City of Echoes",2024-10-16T04:27:14.000Z,638415,1800999,3,Xal'atath's Bargain: Oblivion,Waydin,Rogue,Assassination,dps,Draenor
2,195,300555906,3,"Ara-Kara, City of Echoes",2024-10-16T04:27:14.000Z,638415,1800999,3,Xal'atath's Bargain: Oblivion,Gammyhands,Hunter,Marksmanship,dps,Stormscale
2,195,300555906,3,"Ara-Kara, City of Echoes",2024-10-16T04:27:14.000Z,638415,1800999,3,Xal'atath's Bargain: Oblivion,Drdosari,Mage,Fire,dps,Stormscale
2,195,300555906,3,"Ara-Kara, City of Echoes",2024-10-16T04:27:14.000Z,638415,1800999,3,Xal'atath's Bargain: Oblivion,Midóra,Shaman,Restoration,healer,Frostmane
3,195,308476251,3,"Ara-Kara, City of Echoes",2024-11-21T19:45:16.000Z,640965,1800999,3,Xal'atath's Bargain: Oblivion,Zao,Paladin,Protection,tank,Grim Batol
3,195,308476251,3,"Ara-Kara, City of Echoes",2024-11-21T19:45:16.000Z,640965,1800999,3,Xal'atath's Bargain: Oblivion,Zirnis,Rogue,Assassination,dps,Ravencrest
3,195,308476251,3,"Ara-Kara, City of Echoes",2024-11-21T19:45:16.000Z,640965,1800999,3,Xal'atath's Bargain: Oblivion,Malianne,Priest,Discipline,healer,Archimonde
3,195,308476251,3,"Ara-Kara, City of Echoes",2024-11-21T19:45:16.000Z,640965,1800999,3,Xal'atath's Bargain: Oblivion,Aviena,Hunter,Beast Mastery,dps,Frostmane
3,195,308476251,3,"Ara-Kara, City of Echoes",2024-11-21T19:45:16.000Z,640965,1800999,3,Xal'atath's Bargain: Oblivion,Niboomie,Druid,Balance,dps,Ravencrest
4,195,298874770,3,"Ara-Kara, City of Echoes",2024-10-16T16:05:17.000Z,669454,1800999,3,Xal'atath's Bargain: Oblivion,Shatyn,Shaman,Restoration,healer,Kazzak
4,195,298874770,3,"Ara-Kara, City of Echoes",2024-10-16T16:05:17.000Z,669454,1800999,3,Xal'atath's Bargain: Oblivion,Crydkjk,Death Knight,Frost,dps,Silvermoon
4,195,298874770,3,"Ara-Kara, City of Echoes",2024-10-16T16:05:17.000Z,669454,1800999,3,Xal'atath's Bargain: Oblivion,Genessiss,Death Knight,Frost,dps,Tarren Mill
4,195,298874770,3,"Ara-Kara, City of Echoes",2024-10-16T16:05:17.000Z,669454,1800999,3,Xal'atath's Bargain: Oblivion,Varillia,Warrior,Protection,tank,Silvermoon
