rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,195,309436763,3,"Ara-Kara, City of Echoes",2024-11-27T23:27:41.000Z,667385,1800999,3,Xal'atath's Bargain: Voidbound,Cynicàl,Priest,Shadow,dps,Tarren Mill
1,195,309436763,3,"Ara-Kara, City of Echoes",2024-11-27T23:27:41.000Z,667385,1800999,3,Xal'atath's Bargain: Voidbound,Leclaw,Druid,Guardian,tank,Kazzak
1,195,309436763,3,"Ara-Kara, City of Echoes",2024-11-27T23:27:41.000Z,667385,1800999,3,Xal'atath's Bargain: Voidbound,Volpir,Mage,Frost,dps,Twisting Nether
1,195,309436763,3,"Ara-Kara, City of Echoes",2024-11-27T23:27:41.000Z,667385,1800999,3,Xal'atath's Bargain: Voidbound,Kylepriest,Priest,Discipline,healer,Tarren Mill
1,195,309436763,3,"Ara-Kara, City of Echoes",2024-11-27T23:27:41.000Z,667385,1800999,3,Xal'atath's Bargain: Voidbound,Ïiïïiïiïïiïi,Monk,Windwalker,dps,Tarren Mill
2,195,309392395,3,"Ara-Kara, City of Echoes",2024-11-27T17:11:49.000Z,670703,1800999,3,Xal'atath's Bargain: Voidbound,Surger,Paladin,Protection,tank,Arathor
2,195,309392395,3,"Ara-Kara, City of Echoes",2024-11-27T17:11:49.000Z,670703,1800999,3,Xal'atath's Bargain: Voidbound,Magnekon,Mage,Arcane,dps,Magtheridon
2,195,309392395,3,"Ara-Kara, City of Echoes",2024-11-27T17:11:49.000Z,670703,1800999,3,Xal'atath's Bargain: Voidbound,Arlyrimmir,Priest,Discipline,healer,Argent Dawn
2,195,309392395,3,"Ara-Kara, City of Echoes",2024-11-27T17:11:49.000Z,670703,1800999,3,Xal'atath's Bargain: Voidbound,Umbradrood,Druid,Balance,dps,Ravencrest
2,195,309392395,3,"Ara-Kara, City of Echoes",2024-11-27T17:11:49.000Z,670703,1800999,3,Xal'atath's Bargain: Voidbound,Zsóti,Paladin,Retribution,dps,Ragnaros
3,195,305833212,3,"Ara-Kara, City of Echoes",2024-11-08T16:26:41.000Z,679058,1800999,3,Xal'atath's Bargain: Voidbound,Sacrileg,Priest,Discipline,healer,Terrordar
3,195,305833212,3,"Ara-Kara, City of Echoes",2024-11-08T16:26:41.000Z,679058,1800999,3,Xal'atath's Bargain: Voidbound,Cruxee,Mage,Frost,dps,Ragnaros
