rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,195,308924503,3,"Ara-Kara, City of Echoes",2024-11-24T13:31:37.000Z,590647,1800999,3,Xal'atath's Bargain: Oblivion,악핑,Paladin,Protection,tank,Azshara
1,195,308924503,3,"Ara-Kara, City of Echoes",2024-11-24T13:31:37.000Z,590647,1800999,3,Xal'atath's Bargain: Oblivion,칠리무,Shaman,Restoration,healer,Azshara
1,195,308924503,3,"Ara-Kara, City of Echoes",2024-11-24T13:31:37.000Z,590647,1800999,3,Xal'atath's Bargain: Oblivion,싱귤벙귤,Paladin,Retribution,dps,Azshara
1,195,308924503,3,"Ara-Kara, City of Echoes",2024-11-24T13:31:37.000Z,590647,1800999,3,Xal'atath's Bargain: Oblivion,Bluesie,Shaman,Enhancement,dps,Azshara
1,195,308924503,3,"Ara-Kara, City of Echoes",2024-11-24T13:31:37.000Z,590647,1800999,3,Xal'atath's Bargain: Oblivion,달향,Warlock,Demonology,dps,Azshara
2,195,308771123,3,"Ara-Kara, City of Echoes",2024-11-23T16:02:45.000Z,648504,1800999,3,Xal'atath's Bargain: Oblivion,술이야,Shaman,Restoration,healer,Azshara
2,195,308771123,3,"Ara-Kara, City of Echoes",2024-11-23T16:02:45.000Z,648504,1800999,3,Xal'atath's Bargain: Oblivion,물리힐러입니다,Death Knight,Blood,tank,Azshara
2,195,308771123,3,"Ara-Kara, City of Echoes",2024-11-23T16:02:45.000Z,648504,1800999,3,Xal'atath's Bargain: Oblivion,콩블러드,Shaman,Enhancement,dps,Azshara
2,195,308771123,3,"Ara-Kara, City of Echoes",2024-11-23T16:02:45.000Z,648504,1800999,3,Xal'atath's Bargain: Oblivion,잼재링,Demon Hunter,Havoc,dps,Azshara
2,195,308771123,3,"Ara-Kara, City of Echoes",2024-11-23T16:02:45.000Z,648504,1800999,3,Xal'atath's Bargain: Oblivion,표범군,Hunter,Beast Mastery,dps,Azshara
3,195,302137878,3,"Ara-Kara, City of Echoes",2024-10-22T13:34:01.000Z,739953,1800999,3,Xal'atath's Bargain: Oblivion,귤별,Warrior,Protection,tank,Azshara
3,195,302137878,3,"Ara-Kara, City of Echoes",2024-10-22T13:34:01.000Z,739953,1800999,3,Xal'atath's Bargain: Oblivion,짱아발-35669387,Demon Hunter,Havoc,dps,Azshara
3,195,302137878,3,"Ara-Kara, City of Echoes",2024-10-22T13:34:01.000Z,739953,1800999,3,Xal'atath's Bargain: Oblivion,루셋,Druid,Balance,dps,Azshara
3,195,302137878,3,"Ara-Kara, City of Echoes",2024-10-22T13:34:01.000Z,739953,1800999,3,Xal'atath's Bargain: Oblivion,수니스,Priest,Holy,healer,Azshara
3,195,302137878,3,"Ara-Kara, City of Echoes",2024-10-22T13:34:01.000Z,739953,1800999,3,Xal'atath's Bargain: Oblivion,옐로캣,Rogue,Assassination,dps,Azshara
4,195,308676872,3,"Ara-Kara, City of Echoes",2024-11-23T01:04:34.000Z,758798,1800999,3,Xal'atath's Bargain: Oblivion,썸댕,Shaman,Restoration,healer,Azshara
4,195,308676872,3,"Ara-Kara, City of Echoes",2024-11-23T01:04:34.000Z,758798,1800999,3,Xal'atath's Bargain: Oblivion,쏘울스틸러,Mage,Frost,dps,Malfurion
4,195,308676872,3,"Ara-Kara, City of Echoes",2024-11-23T01:04:34.000Z,758798,1800999,3,Xal'atath's Bargain: Oblivion,Bloodsinger,Warlock,Destruction,dps,Azshara
4,195,308676872,3,"Ara-Kara, City of Echoes",2024-11-23T01:04:34.000Z,758798,1800999,3,Xal'atath's Bargain: Oblivion,날개장착한전사,Warrior,Protection,tank,Azshara
4,195,308676872,3,"Ara-Kara, City of Echoes",2024-11-23T01:04:34.000Z,758798,1800999,3,Xal'atath's Bargain: Oblivion,정으성-230669034,Death Knight,Unholy,dps,Azshara
5,195,301091656,3,"Ara-Kara, City of Echoes",2024-10-18T13:06:22.000Z,774451,1800999,3,Xal'atath's Bargain: Oblivion,칙칙함,Death Knight,Blood,tank,Azshara
5,195,301091656,3,"Ara-Kara, City of Echoes",2024-10-18T13:06:22.000Z,774451,1800999,3,Xal'atath's Bargain: Oblivion,감나빅,Paladin,Retribution,dps,Azshara
5,195,301091656,3,"Ara-Kara, City of Echoes",2024-10-18T13:06:22.000Z,774451,1800999,3,Xal'atath's Bargain: Oblivion,효띠,Shaman,Elemental,dps,Azshara
5,195,301091656,3,"Ara-Kara, City of Echoes",2024-10-18T13:06:22.000Z,774451,1800999,3,Xal'atath's Bargain: Oblivion,버프줄거양,Priest,Discipline,healer,Azshara
