rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,195,305833264,3,"Ara-Kara, City of Echoes",2024-11-08T16:27:36.000Z,717507,1800999,3,Xal'atath's Bargain: Voidbound,Ddoubletoe,Warlock,Destruction,dps,Azshara
1,195,305833264,3,"Ara-Kara, City of Echoes",2024-11-08T16:27:36.000Z,717507,1800999,3,Xal'atath's Bargain: Voidbound,Sovietwomble,Warrior,Fury,dps,Azshara
1,195,305833264,3,"Ara-Kara, City of Echoes",2024-11-08T16:27:36.000Z,717507,1800999,3,Xal'atath's Bargain: Voidbound,핑계쟁이,Paladin,Holy,healer,Azshara
1,195,305833264,3,"Ara-Kara, City of Echoes",2024-11-08T16:27:36.000Z,717507,1800999,3,Xal'atath's Bargain: Voidbound,물냉오이빼고,Shaman,Enhancement,dps,Azshara
1,195,305833264,3,"Ara-Kara, City of Echoes",2024-11-08T16:27:36.000Z,717507,1800999,3,Xal'atath's Bargain: Voidbound,김대젓,Warrior,Protection,tank,Azshara
2,195,306310065,3,"Ara-Kara, City of Echoes",2024-11-10T14:14:08.000Z,734696,1800999,3,Xal'atath's Bargain: Voidbound,천상의일격,Paladin,Retribution,dps,Azshara
2,195,306310065,3,"Ara-Kara, City of Echoes",2024-11-10T14:14:08.000Z,734696,1800999,3,Xal'atath's Bargain: Voidbound,썬더호랭이,Shaman,Restoration,healer,Azshara
2,195,306310065,3,"Ara-Kara, City of Echoes",2024-11-10T14:14:08.000Z,734696,1800999,3,Xal'atath's Bargain: Voidbound,짬뽕엔참이슬,Demon Hunter,Vengeance,tank,Azshara
2,195,306310065,3,"Ara-Kara, City of Echoes",2024-11-10T14:14:08.000Z,734696,1800999,3,Xal'atath's Bargain: Voidbound,Kimhyung,Paladin,Retribution,dps,Azshara
2,195,306310065,3,"Ara-Kara, City of Echoes",2024-11-10T14:14:08.000Z,734696,1800999,3,Xal'atath's Bargain: Voidbound,정으성-230669034,Death Knight,Unholy,dps,Azshara
3,195,297797294,3,"Ara-Kara, City of Echoes",2024-10-04T10:23:56.000Z,772002,1800999,3,Xal'atath's Bargain: Voidbound,라이트유저기사,Paladin,Retribution,dps,Azshara
3,195,297797294,3,"Ara-Kara, City of Echoes",2024-10-04T10:23:56.000Z,772002,1800999,3,Xal'atath's Bargain: Voidbound,석지니전사,Warrior,Fury,dps,Azshara
3,195,297797294,3,"Ara-Kara, City of Echoes",2024-10-04T10:23:56.000Z,772002,1800999,3,Xal'atath's Bargain: Voidbound,또치악마사냥꾼,Demon Hunter,Vengeance,tank,Azshara
3,195,297797294,3,"Ara-Kara, City of Echoes",2024-10-04T10:23:56.000Z,772002,1800999,3,Xal'atath's Bargain: Voidbound,통마늘뼈찜,Mage,Frost,dps,Azshara
3,195,297797294,3,"Ara-Kara, City of Echoes",2024-10-04T10:23:56.000Z,772002,1800999,3,Xal'atath's Bargain: Voidbound,루나노아,Shaman,Restoration,healer,Azshara
4,195,307390218,3,"Ara-Kara, City of Echoes",2024-11-09T17:28:17.000Z,772390,1800999,3,Xal'atath's Bargain: Voidbound,콰드제프,Warlock,Destruction,dps,Zul'jin
4,195,307390218,3,"Ara-Kara, City of Echoes",2024-11-09T17:28:17.000Z,772390,1800999,3,Xal'atath's Bargain: Voidbound,진종오,Hunter,Survival,dps,Azshara
