rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,195,302680636,3,"Ara-Kara, City of Echoes",2024-10-25T14:16:40.000Z,741701,1800999,3,Xal'atath's Bargain: Ascendant,死哥來了,Death Knight,Frost,dps,Shadowmoon
1,195,302680636,3,"Ara-Kara, City of Echoes",2024-10-25T14:16:40.000Z,741701,1800999,3,Xal'atath's Bargain: Ascendant,哈贝特洛特,Druid,Guardian,tank,Krol Blade
1,195,302680636,3,"Ara-Kara, City of Echoes",2024-10-25T14:16:40.000Z,741701,1800999,3,Xal'atath's Bargain: Ascendant,憶夢,Demon Hunter,Havoc,dps,Whisperwind
1,195,302680636,3,"Ara-Kara, City of Echoes",2024-10-25T14:16:40.000Z,741701,1800999,3,Xal'atath's Bargain: Ascendant,听風引玉,Shaman,Elemental,dps,Quel'dorei
1,195,302680636,3,"Ara-Kara, City of Echoes",2024-10-25T14:16:40.000Z,741701,1800999,3,Xal'atath's Bargain: Ascendant,小小菜狗,Shaman,Restoration,healer,Sundown Marsh
2,195,293032180,3,"Ara-Kara, City of Echoes",2024-09-20T15:24:31.000Z,749638,1800999,3,Xal'atath's Bargain: Ascendant,晴人,Warlock,Destruction,dps,Shadowmoon
2,195,293032180,3,"Ara-Kara, City of Echoes",2024-09-20T15:24:31.000Z,749638,1800999,3,Xal'atath's Bargain: Ascendant,Rakka,Evoker,Augmentation,dps,Shadowmoon
2,195,293032180,3,"Ara-Kara, City of Echoes",2024-09-20T15:24:31.000Z,749638,1800999,3,Xal'atath's Bargain: Ascendant,妲蔻蔻,Druid,Restoration,healer,Skywall
2,195,293032180,3,"Ara-Kara, City of Echoes",2024-09-20T15:24:31.000Z,749638,1800999,3,Xal'atath's Bargain: Ascendant,Obsessed,Demon Hunter,Vengeance,tank,World Tree
2,195,293032180,3,"Ara-Kara, City of Echoes",2024-09-20T15:24:31.000Z,749638,1800999,3,Xal'atath's Bargain: Ascendant,戰慄的蛋卷,Death Knight,Frost,dps,Whisperwind
3,195,293425724,3,"Ara-Kara, City of Echoes",2024-09-19T18:36:00.000Z,763163,1800999,3,Xal'atath's Bargain: Ascendant,Reileen,Mage,Frost,dps,Shadowmoon
3,195,293425724,3,"Ara-Kara, City of Echoes",2024-09-19T18:36:00.000Z,763163,1800999,3,Xal'atath's Bargain: Ascendant,依芙兒,Paladin,Retribution,dps,Icecrown
3,195,293425724,3,"Ara-Kara, City of Echoes",2024-09-19T18:36:00.000Z,763163,1800999,3,Xal'atath's Bargain: Ascendant,技囧,Druid,Restoration,healer,Menethil
3,195,293425724,3,"Ara-Kara, City of Echoes",2024-09-19T18:36:00.000Z,763163,1800999,3,Xal'atath's Bargain: Ascendant,天譴寶寶,Demon Hunter,Vengeance,tank,Icecrown
3,195,293425724,3,"Ara-Kara, City of Echoes",2024-09-19T18:36:00.000Z,763163,1800999,3,Xal'atath's Bargain: Ascendant,Martingarrix,Death Knight,Frost,dps,Frostmane
4,195,293196036,3,"Ara-Kara, City of Echoes",2024-09-19T16:07:49.000Z,767629,1800999,3,Xal'atath's Bargain: Ascendant,Uuzlove,Death Knight,Unholy,dps,Sundown Marsh
4,195,293196036,3,"Ara-Kara, City of Echoes",2024-09-19T16:07:49.000Z,767629,1800999,3,Xal'atath's Bargain: Ascendant,青醬奶油魚,Death Knight,Blood,tank,Sundown Marsh
4,195,293196036,3,"Ara-Kara, City of Echoes",2024-09-19T16:07:49.000Z,767629,1800999,3,Xal'atath's Bargain: Ascendant,瓦特涅,Evoker,Preservation,healer,Arygos
4,195,293196036,3,"Ara-Kara, City of Echoes",2024-09-19T16:07:49.000Z,767629,1800999,3,Xal'atath's Bargain: Ascendant,亞當碎骨,Warlock,Affliction,dps,Silverwing Hold
4,195,293196036,3,"Ara-Kara, City of Echoes",2024-09-19T16:07:49.000Z,767629,1800999,3,Xal'atath's Bargain: Ascendant,欸波遍,Rogue,Assassination,dps,Sundown Marsh
5,195,293460352,3,"Ara-Kara, City of Echoes",2024-09-19T17:50:08.000Z,768415,1800999,3,Xal'atath's Bargain: Ascendant,Flowertea,Hunter,Marksmanship,dps,Bleeding Hollow
5,195,293460352,3,"Ara-Kara, City of Echoes",2024-09-19T17:50:08.000Z,768415,1800999,3,Xal'atath's Bargain: Ascendant,科科大師,Monk,Brewmaster,tank,Menethil
5,195,293460352,3,"Ara-Kara, City of Echoes",2024-09-19T17:50:08.000Z,768415,1800999,3,Xal'atath's Bargain: Ascendant,Dounikaixin,Rogue,Assassination,dps,Frostmane
5,195,293460352,3,"Ara-Kara, City of Echoes",2024-09-19T17:50:08.000Z,768415,1800999,3,Xal'atath's Bargain: Ascendant,囧囧瞎,Demon Hunter,Havoc,dps,Frostmane
5,195,293460352,3,"Ara-Kara, City of Echoes",2024-09-19T17:50:08.000Z,768415,1800999,3,Xal'atath's Bargain: Ascendant,謝謝你,Priest,Discipline,healer,Menethil
6,195,308302420,3,"Ara-Kara, City of Echoes",2024-11-19T13:36:37.000Z,774582,1800999,3,Xal'atath's Bargain: Ascendant,Ghostrider,Death Knight,Blood,tank,Stormscale
6,195,308302420,3,"Ara-Kara, City of Echoes",2024-11-19T13:36:37.000Z,774582,1800999,3,Xal'atath's Bargain: Ascendant,牛川風,Hunter,Survival,dps,Stormscale
6,195,308302420,3,"Ara-Kara, City of Echoes",2024-11-19T13:36:37.000Z,774582,1800999,3,Xal'atath's Bargain: Ascendant,八雲艾瓏,Monk,Mistweaver,healer,Crystalpine Stinger
6,195,308302420,3,"Ara-Kara, City of Echoes",2024-11-19T13:36:37.000Z,774582,1800999,3,Xal'atath's Bargain: Ascendant,魚叉機關炮,Mage,Fire,dps,Stormscale
6,195,308302420,3,"Ara-Kara, City of Echoes",2024-11-19T13:36:37.000Z,774582,1800999,3,Xal'atath's Bargain: Ascendant,多多茄珍珠,Death Knight,Unholy,dps,Nightsong
7,195,307687501,3,"Ara-Kara, City of Echoes",2024-11-16T14:41:10.000Z,790265,1800999,3,Xal'atath's Bargain: Ascendant,默刄,Rogue,Outlaw,dps,Whisperwind
7,195,307687501,3,"Ara-Kara, City of Echoes",2024-11-16T14:41:10.000Z,790265,1800999,3,Xal'atath's Bargain: Ascendant,Dabe,Death Knight,Frost,dps,Zealot Blade
7,195,307687501,3,"Ara-Kara, City of Echoes",2024-11-16T14:41:10.000Z,790265,1800999,3,Xal'atath's Bargain: Ascendant,熊仔瓜,Druid,Guardian,tank,Stormscale
7,195,307687501,3,"Ara-Kara, City of Echoes",2024-11-16T14:41:10.000Z,790265,1800999,3,Xal'atath's Bargain: Ascendant,蹲馬桶要排隊,Monk,Mistweaver,healer,Chillwind Point
7,195,307687501,3,"Ara-Kara, City of Echoes",2024-11-16T14:41:10.000Z,790265,1800999,3,Xal'atath's Bargain: Ascendant,甲都去死,Mage,Arcane,dps,Frostmane
8,195,293484265,3,"Ara-Kara, City of Echoes",2024-09-20T14:32:44.000Z,802454,1800999,3,Xal'atath's Bargain: Ascendant,Ki,Priest,Discipline,healer,Shadowmoon
8,195,293484265,3,"Ara-Kara, City of Echoes",2024-09-20T14:32:44.000Z,802454,1800999,3,Xal'atath's Bargain: Ascendant,Jimi,Evoker,Augmentation,dps,Quel'dorei
8,195,293484265,3,"Ara-Kara, City of Echoes",2024-09-20T14:32:44.000Z,802454,1800999,3,Xal'atath's Bargain: Ascendant,沙莫,Rogue,Outlaw,dps,Wrathbringer
8,195,293484265,3,"Ara-Kara, City of Echoes",2024-09-20T14:32:44.000Z,802454,1800999,3,Xal'atath's Bargain: Ascendant,活蹦亂跳嗚,Demon Hunter,Vengeance,tank,Shadowmoon
8,195,293484265,3,"Ara-Kara, City of Echoes",2024-09-20T14:32:44.000Z,802454,1800999,3,Xal'atath's Bargain: Ascendant,Tzmage,Mage,Arcane,dps,Crystalpine Stinger
9,195,293761068,3,"Ara-Kara, City of Echoes",2024-09-21T09:27:03.000Z,805909,1800999,3,Xal'atath's Bargain: Ascendant,大力踩腳趾,Warrior,Protection,tank,Arthas
9,195,293761068,3,"Ara-Kara, City of Echoes",2024-09-21T09:27:03.000Z,805909,1800999,3,Xal'atath's Bargain: Ascendant,魔法企鵝,Mage,Arcane,dps,Arthas
9,195,293761068,3,"Ara-Kara, City of Echoes",2024-09-21T09:27:03.000Z,805909,1800999,3,Xal'atath's Bargain: Ascendant,薇妮,Evoker,Preservation,healer,Light's Hope
9,195,293761068,3,"Ara-Kara, City of Echoes",2024-09-21T09:27:03.000Z,805909,1800999,3,Xal'atath's Bargain: Ascendant,艾瑪英格麗,Demon Hunter,Havoc,dps,Shadowmoon
9,195,293761068,3,"Ara-Kara, City of Echoes",2024-09-21T09:27:03.000Z,805909,1800999,3,Xal'atath's Bargain: Ascendant,板凳球員-224524116,Death Knight,Frost,dps,Arthas
10,195,294224757,3,"Ara-Kara, City of Echoes",2024-09-22T15:52:24.000Z,810909,1800999,3,Xal'atath's Bargain: Ascendant,追憶奈辛瓦里,Death Knight,Frost,dps,Arthas
10,195,294224757,3,"Ara-Kara, City of Echoes",2024-09-22T15:52:24.000Z,810909,1800999,3,Xal'atath's Bargain: Ascendant,哆啦咪,Shaman,Restoration,healer,Spirestone
10,195,294224757,3,"Ara-Kara, City of Echoes",2024-09-22T15:52:24.000Z,810909,1800999,3,Xal'atath's Bargain: Ascendant,艾涅雷姆,Hunter,Marksmanship,dps,Shadowmoon
10,195,294224757,3,"Ara-Kara, City of Echoes",2024-09-22T15:52:24.000Z,810909,1800999,3,Xal'atath's Bargain: Ascendant,水漾乂雨,Paladin,Retribution,dps,Hellscream
10,195,294224757,3,"Ara-Kara, City of Echoes",2024-09-22T15:52:24.000Z,810909,1800999,3,Xal'atath's Bargain: Ascendant,傑哥不要啊,Demon Hunter,Vengeance,tank,Arthas
11,195,293474066,3,"Ara-Kara, City of Echoes",2024-09-20T15:22:35.000Z,811034,1800999,3,Xal'atath's Bargain: Ascendant,祖阿妮,Shaman,Restoration,healer,Sundown Marsh
11,195,293474066,3,"Ara-Kara, City of Echoes",2024-09-20T15:22:35.000Z,811034,1800999,3,Xal'atath's Bargain: Ascendant,依芙兒,Paladin,Retribution,dps,Icecrown
11,195,293474066,3,"Ara-Kara, City of Echoes",2024-09-20T15:22:35.000Z,811034,1800999,3,Xal'atath's Bargain: Ascendant,漓樂,Death Knight,Frost,dps,Crystalpine Stinger
11,195,293474066,3,"Ara-Kara, City of Echoes",2024-09-20T15:22:35.000Z,811034,1800999,3,Xal'atath's Bargain: Ascendant,天譴寶寶,Demon Hunter,Vengeance,tank,Icecrown
11,195,293474066,3,"Ara-Kara, City of Echoes",2024-09-20T15:22:35.000Z,811034,1800999,3,Xal'atath's Bargain: Ascendant,凝痕北青,Shaman,Elemental,dps,Arthas
12,195,294377216,3,"Ara-Kara, City of Echoes",2024-09-23T01:02:08.000Z,814187,1800999,3,Xal'atath's Bargain: Ascendant,Uuzlove,Death Knight,Unholy,dps,Sundown Marsh
12,195,294377216,3,"Ara-Kara, City of Echoes",2024-09-23T01:02:08.000Z,814187,1800999,3,Xal'atath's Bargain: Ascendant,Fragilefront,Paladin,Retribution,dps,Arthas
12,195,294377216,3,"Ara-Kara, City of Echoes",2024-09-23T01:02:08.000Z,814187,1800999,3,Xal'atath's Bargain: Ascendant,私獵商,Hunter,Survival,dps,Chillwind Point
12,195,294377216,3,"Ara-Kara, City of Echoes",2024-09-23T01:02:08.000Z,814187,1800999,3,Xal'atath's Bargain: Ascendant,灰流麗,Paladin,Holy,healer,Frostmane
12,195,294377216,3,"Ara-Kara, City of Echoes",2024-09-23T01:02:08.000Z,814187,1800999,3,Xal'atath's Bargain: Ascendant,小胡亂來,Druid,Guardian,tank,Whisperwind
13,195,308253229,3,"Ara-Kara, City of Echoes",2024-11-20T06:41:59.000Z,828714,1800999,3,Xal'atath's Bargain: Ascendant,小嗜血武姬,Paladin,Protection,tank,Spirestone
13,195,308253229,3,"Ara-Kara, City of Echoes",2024-11-20T06:41:59.000Z,828714,1800999,3,Xal'atath's Bargain: Ascendant,恭喜發財丶,Rogue,Outlaw,dps,World Tree
13,195,308253229,3,"Ara-Kara, City of Echoes",2024-11-20T06:41:59.000Z,828714,1800999,3,Xal'atath's Bargain: Ascendant,吳爾羅,Evoker,Preservation,healer,Bleeding Hollow
13,195,308253229,3,"Ara-Kara, City of Echoes",2024-11-20T06:41:59.000Z,828714,1800999,3,Xal'atath's Bargain: Ascendant,腳踏車輪餅,Evoker,Devastation,dps,Quel'dorei
13,195,308253229,3,"Ara-Kara, City of Echoes",2024-11-20T06:41:59.000Z,828714,1800999,3,Xal'atath's Bargain: Ascendant,檸檬鯊叔叔,Shaman,Elemental,dps,Arygos
14,195,294452191,3,"Ara-Kara, City of Echoes",2024-09-22T18:05:03.000Z,834395,1800999,3,Xal'atath's Bargain: Ascendant,修但幾累,Druid,Balance,dps,World Tree
14,195,294452191,3,"Ara-Kara, City of Echoes",2024-09-22T18:05:03.000Z,834395,1800999,3,Xal'atath's Bargain: Ascendant,Sep,Warrior,Protection,tank,Sundown Marsh
14,195,294452191,3,"Ara-Kara, City of Echoes",2024-09-22T18:05:03.000Z,834395,1800999,3,Xal'atath's Bargain: Ascendant,Mugenmage,Mage,Arcane,dps,Silverwing Hold
14,195,294452191,3,"Ara-Kara, City of Echoes",2024-09-22T18:05:03.000Z,834395,1800999,3,Xal'atath's Bargain: Ascendant,不能吃兔兔,Shaman,Restoration,healer,Stormscale
14,195,294452191,3,"Ara-Kara, City of Echoes",2024-09-22T18:05:03.000Z,834395,1800999,3,Xal'atath's Bargain: Ascendant,似炛,Paladin,Retribution,dps,Stormscale
15,195,295556356,3,"Ara-Kara, City of Echoes",2024-09-25T16:04:17.000Z,851328,1800999,3,Xal'atath's Bargain: Ascendant,豬阿,Mage,Arcane,dps,Light's Hope
15,195,295556356,3,"Ara-Kara, City of Echoes",2024-09-25T16:04:17.000Z,851328,1800999,3,Xal'atath's Bargain: Ascendant,丨泰蘭德丨,Druid,Guardian,tank,Crystalpine Stinger
15,195,295556356,3,"Ara-Kara, City of Echoes",2024-09-25T16:04:17.000Z,851328,1800999,3,Xal'atath's Bargain: Ascendant,见月艾上露,Rogue,Assassination,dps,Light's Hope
15,195,295556356,3,"Ara-Kara, City of Echoes",2024-09-25T16:04:17.000Z,851328,1800999,3,Xal'atath's Bargain: Ascendant,白响,Shaman,Restoration,healer,Light's Hope
15,195,295556356,3,"Ara-Kara, City of Echoes",2024-09-25T16:04:17.000Z,851328,1800999,3,Xal'atath's Bargain: Ascendant,奧森,Warrior,Fury,dps,Light's Hope
16,195,293370534,3,"Ara-Kara, City of Echoes",2024-09-20T03:35:30.000Z,858508,1800999,3,Xal'atath's Bargain: Ascendant,油腻的师姐,Demon Hunter,Vengeance,tank,Arthas
16,195,293370534,3,"Ara-Kara, City of Echoes",2024-09-20T03:35:30.000Z,858508,1800999,3,Xal'atath's Bargain: Ascendant,贊達拉巨人,Paladin,Retribution,dps,Dragonmaw
16,195,293370534,3,"Ara-Kara, City of Echoes",2024-09-20T03:35:30.000Z,858508,1800999,3,Xal'atath's Bargain: Ascendant,冷雪貓咪,Hunter,Survival,dps,World Tree
16,195,293370534,3,"Ara-Kara, City of Echoes",2024-09-20T03:35:30.000Z,858508,1800999,3,Xal'atath's Bargain: Ascendant,布影憐星,Shaman,Restoration,healer,Crystalpine Stinger
