rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,195,306068816,3,"Ara-Kara, City of Echoes",2024-11-09T14:31:18.000Z,741776,1800999,3,Xal'atath's Bargain: Voidbound,慕詩客,Paladin,Retribution,dps,Menethil
1,195,306068816,3,"Ara-Kara, City of Echoes",2024-11-09T14:31:18.000Z,741776,1800999,3,Xal'atath's Bargain: Voidbound,牛奶花僧,Monk,Brewmaster,tank,Chillwind Point
1,195,306068816,3,"Ara-Kara, City of Echoes",2024-11-09T14:31:18.000Z,741776,1800999,3,Xal'atath's Bargain: Voidbound,月棘,Evoker,Preservation,healer,Light's Hope
1,195,306068816,3,"Ara-Kara, City of Echoes",2024-11-09T14:31:18.000Z,741776,1800999,3,Xal'atath's Bargain: Voidbound,窩還沒準備好,Death Knight,Unholy,dps,Nightsong
1,195,306068816,3,"Ara-Kara, City of Echoes",2024-11-09T14:31:18.000Z,741776,1800999,3,Xal'atath's Bargain: Voidbound,鐵狼魂,Shaman,Elemental,dps,Frostmane
2,195,305843813,3,"Ara-Kara, City of Echoes",2024-11-08T15:36:07.000Z,792648,1800999,3,Xal'atath's Bargain: Voidbound,寧靜之森,Paladin,Protection,tank,Whisperwind
2,195,305843813,3,"Ara-Kara, City of Echoes",2024-11-08T15:36:07.000Z,792648,1800999,3,Xal'atath's Bargain: Voidbound,Íì,Priest,Discipline,healer,Skywall
2,195,305843813,3,"Ara-Kara, City of Echoes",2024-11-08T15:36:07.000Z,792648,1800999,3,Xal'atath's Bargain: Voidbound,依然會微笑-229980647,Rogue,Assassination,dps,Arthas
2,195,305843813,3,"Ara-Kara, City of Echoes",2024-11-08T15:36:07.000Z,792648,1800999,3,Xal'atath's Bargain: Voidbound,淨羽,Shaman,Elemental,dps,Whisperwind
2,195,305843813,3,"Ara-Kara, City of Echoes",2024-11-08T15:36:07.000Z,792648,1800999,3,Xal'atath's Bargain: Voidbound,Duwayy,Death Knight,Frost,dps,Bleeding Hollow
3,195,309509737,3,"Ara-Kara, City of Echoes",2024-11-28T15:14:48.000Z,815287,1800999,3,Xal'atath's Bargain: Voidbound,Weisummer,Druid,Balance,dps,Hellscream
3,195,309509737,3,"Ara-Kara, City of Echoes",2024-11-28T15:14:48.000Z,815287,1800999,3,Xal'atath's Bargain: Voidbound,Flori,Shaman,Restoration,healer,Frostmane
3,195,309509737,3,"Ara-Kara, City of Echoes",2024-11-28T15:14:48.000Z,815287,1800999,3,Xal'atath's Bargain: Voidbound,哈士吉,Monk,Brewmaster,tank,Hellscream
3,195,309509737,3,"Ara-Kara, City of Echoes",2024-11-28T15:14:48.000Z,815287,1800999,3,Xal'atath's Bargain: Voidbound,家予靈,Rogue,Assassination,dps,Icecrown
3,195,309509737,3,"Ara-Kara, City of Echoes",2024-11-28T15:14:48.000Z,815287,1800999,3,Xal'atath's Bargain: Voidbound,天譴夢魘冥王,Paladin,Retribution,dps,Hellscream
4,195,306729399,3,"Ara-Kara, City of Echoes",2024-11-12T06:15:09.000Z,836938,1800999,3,Xal'atath's Bargain: Voidbound,你姐好醜,Priest,Discipline,healer,Frostmane
4,195,306729399,3,"Ara-Kara, City of Echoes",2024-11-12T06:15:09.000Z,836938,1800999,3,Xal'atath's Bargain: Voidbound,老鐵們的逆襲,Druid,Guardian,tank,Shadowmoon
