rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,195,306789761,3,"Ara-Kara, City of Echoes",2024-11-12T18:25:05.000Z,660916,1800999,3,Xal'atath's Bargain: Ascendant,Thunderjack,Warrior,Protection,tank,Mal'Ganis
1,195,306789761,3,"Ara-Kara, City of Echoes",2024-11-12T18:25:05.000Z,660916,1800999,3,Xal'atath's Bargain: Ascendant,Stormshieldx,Shaman,Restoration,healer,Area 52
1,195,306789761,3,"Ara-Kara, City of Echoes",2024-11-12T18:25:05.000Z,660916,1800999,3,Xal'atath's Bargain: Ascendant,Ribzzy,Shaman,Enhancement,dps,Area 52
1,195,306789761,3,"Ara-Kara, City of Echoes",2024-11-12T18:25:05.000Z,660916,1800999,3,Xal'atath's Bargain: Ascendant,Highaflander,Shaman,Enhancement,dps,Tichondrius
1,195,306789761,3,"Ara-Kara, City of Echoes",2024-11-12T18:25:05.000Z,660916,1800999,3,Xal'atath's Bargain: Ascendant,Newh,Hunter,Marksmanship,dps,Area 52
2,195,307125305,3,"Ara-Kara, City of Echoes",2024-09-19T05:11:33.000Z,664172,1800999,3,Xal'atath's Bargain: Ascendant,Agoobis,Death Knight,Frost,dps,Area 52
2,195,307125305,3,"Ara-Kara, City of Echoes",2024-09-19T05:11:33.000Z,664172,1800999,3,Xal'atath's Bargain: Ascendant,Ooreenkoms,Priest,Holy,healer,Illidan
2,195,307125305,3,"Ara-Kara, City of Echoes",2024-09-19T05:11:33.000Z,664172,1800999,3,Xal'atath's Bargain: Ascendant,Calvinwalker,Monk,Brewmaster,tank,Azralon
2,195,307125305,3,"Ara-Kara, City of Echoes",2024-09-19T05:11:33.000Z,664172,1800999,3,Xal'atath's Bargain: Ascendant,Sünde,Shaman,Elemental,dps,Illidan
2,195,307125305,3,"Ara-Kara, City of Echoes",2024-09-19T05:11:33.000Z,664172,1800999,3,Xal'atath's Bargain: Ascendant,Sickage,Mage,Arcane,dps,Azralon
3,195,293414970,3,"Ara-Kara, City of Echoes",2024-09-20T08:58:42.000Z,675659,1800999,3,Xal'atath's Bargain: Ascendant,Shiftere,Druid,Balance,dps,Frostmourne
3,195,293414970,3,"Ara-Kara, City of Echoes",2024-09-20T08:58:42.000Z,675659,1800999,3,Xal'atath's Bargain: Ascendant,Ashamanesrip,Druid,Guardian,tank,Frostmourne
3,195,293414970,3,"Ara-Kara, City of Echoes",2024-09-20T08:58:42.000Z,675659,1800999,3,Xal'atath's Bargain: Ascendant,Fistzappy,Shaman,Restoration,healer,Frostmourne
3,195,293414970,3,"Ara-Kara, City of Echoes",2024-09-20T08:58:42.000Z,675659,1800999,3,Xal'atath's Bargain: Ascendant,Joeyjoewar,Warrior,Fury,dps,Frostmourne
3,195,293414970,3,"Ara-Kara, City of Echoes",2024-09-20T08:58:42.000Z,675659,1800999,3,Xal'atath's Bargain: Ascendant,Cyraxx,Demon Hunter,Havoc,dps,Aman'Thul
4,195,292731920,3,"Ara-Kara, City of Echoes",2024-09-18T02:57:08.000Z,684614,1800999,3,Xal'atath's Bargain: Ascendant,Afreecalion,Warrior,Fury,dps,Area 52
4,195,292731920,3,"Ara-Kara, City of Echoes",2024-09-18T02:57:08.000Z,684614,1800999,3,Xal'atath's Bargain: Ascendant,Fwanky,Monk,Windwalker,dps,Zul'jin
4,195,292731920,3,"Ara-Kara, City of Echoes",2024-09-18T02:57:08.000Z,684614,1800999,3,Xal'atath's Bargain: Ascendant,Wakadeysong,Demon Hunter,Vengeance,tank,Area 52
4,195,292731920,3,"Ara-Kara, City of Echoes",2024-09-18T02:57:08.000Z,684614,1800999,3,Xal'atath's Bargain: Ascendant,Weico,Rogue,Outlaw,dps,Area 52
4,195,292731920,3,"Ara-Kara, City of Echoes",2024-09-18T02:57:08.000Z,684614,1800999,3,Xal'atath's Bargain: Ascendant,Wightslights,Paladin,Holy,healer,Area 52
5,195,293631865,3,"Ara-Kara, City of Echoes",2024-09-21T00:14:32.000Z,686718,1800999,3,Xal'atath's Bargain: Ascendant,Greydh,Demon Hunter,Vengeance,tank,Area 52
5,195,293631865,3,"Ara-Kara, City of Echoes",2024-09-21T00:14:32.000Z,686718,1800999,3,Xal'atath's Bargain: Ascendant,Kikyö,Priest,Holy,healer,Illidan
5,195,293631865,3,"Ara-Kara, City of Echoes",2024-09-21T00:14:32.000Z,686718,1800999,3,Xal'atath's Bargain: Ascendant,Mazozoli,Hunter,Marksmanship,dps,Area 52
5,195,293631865,3,"Ara-Kara, City of Echoes",2024-09-21T00:14:32.000Z,686718,1800999,3,Xal'atath's Bargain: Ascendant,Patjams,Shaman,Elemental,dps,Area 52
