rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,195,308495242,3,"Ara-Kara, City of Echoes",2024-11-21T19:19:33.000Z,591180,1800999,3,Xal'atath's Bargain: Oblivion,Skibidiegg,Demon Hunter,Vengeance,tank,Tichondrius
1,195,308495242,3,"Ara-Kara, City of Echoes",2024-11-21T19:19:33.000Z,591180,1800999,3,Xal'atath's Bargain: Oblivion,Kigurumi,Mage,Frost,dps,Zul'jin
1,195,308495242,3,"Ara-Kara, City of Echoes",2024-11-21T19:19:33.000Z,591180,1800999,3,Xal'atath's Bargain: Oblivion,Nasus,Evoker,Devastation,dps,Illidan
1,195,308495242,3,"Ara-Kara, City of Echoes",2024-11-21T19:19:33.000Z,591180,1800999,3,Xal'atath's Bargain: Oblivion,Uselessxo,Rogue,Assassination,dps,Illidan
1,195,308495242,3,"Ara-Kara, City of Echoes",2024-11-21T19:19:33.000Z,591180,1800999,3,Xal'atath's Bargain: Oblivion,Soybeancat,Monk,Mistweaver,healer,Illidan
2,195,308654597,3,"Ara-Kara, City of Echoes",2024-11-22T23:22:58.000Z,653609,1800999,3,Xal'atath's Bargain: Oblivion,Solex,Druid,Restoration,healer,Sargeras
2,195,308654597,3,"Ara-Kara, City of Echoes",2024-11-22T23:22:58.000Z,653609,1800999,3,Xal'atath's Bargain: Oblivion,Bladeewarr,Warrior,Protection,tank,Area 52
2,195,308654597,3,"Ara-Kara, City of Echoes",2024-11-22T23:22:58.000Z,653609,1800999,3,Xal'atath's Bargain: Oblivion,Pursenã,Demon Hunter,Havoc,dps,Quel'Thalas
2,195,308654597,3,"Ara-Kara, City of Echoes",2024-11-22T23:22:58.000Z,653609,1800999,3,Xal'atath's Bargain: Oblivion,Vengs,Demon Hunter,Havoc,dps,Llane
2,195,308654597,3,"Ara-Kara, City of Echoes",2024-11-22T23:22:58.000Z,653609,1800999,3,Xal'atath's Bargain: Oblivion,Einharddiff,Shaman,Enhancement,dps,Illidan
3,195,301344884,3,"Ara-Kara, City of Echoes",2024-10-19T08:09:25.000Z,654027,1800999,3,Xal'atath's Bargain: Oblivion,Gemstone,Paladin,Protection,tank,Silver Hand
3,195,301344884,3,"Ara-Kara, City of Echoes",2024-10-19T08:09:25.000Z,654027,1800999,3,Xal'atath's Bargain: Oblivion,Elenanitoo,Paladin,Protection,tank,Ragnaros
3,195,301344884,3,"Ara-Kara, City of Echoes",2024-10-19T08:09:25.000Z,654027,1800999,3,Xal'atath's Bargain: Oblivion,Ragabolly,Evoker,Preservation,healer,Zul'jin
3,195,301344884,3,"Ara-Kara, City of Echoes",2024-10-19T08:09:25.000Z,654027,1800999,3,Xal'atath's Bargain: Oblivion,Foriris,Death Knight,Frost,dps,Illidan
3,195,301344884,3,"Ara-Kara, City of Echoes",2024-10-19T08:09:25.000Z,654027,1800999,3,Xal'atath's Bargain: Oblivion,Leodm,Shaman,Elemental,dps,Quel'Thalas
4,195,300417054,3,"Ara-Kara, City of Echoes",2024-10-15T17:00:27.000Z,674275,1800999,3,Xal'atath's Bargain: Oblivion,Melonsoda,Priest,Shadow,dps,Stormrage
4,195,300417054,3,"Ara-Kara, City of Echoes",2024-10-15T17:00:27.000Z,674275,1800999,3,Xal'atath's Bargain: Oblivion,Necroshark-102456338,Death Knight,Blood,tank,Stormrage
4,195,300417054,3,"Ara-Kara, City of Echoes",2024-10-15T17:00:27.000Z,674275,1800999,3,Xal'atath's Bargain: Oblivion,Zepphyria,Shaman,Restoration,healer,Stormrage
4,195,300417054,3,"Ara-Kara, City of Echoes",2024-10-15T17:00:27.000Z,674275,1800999,3,Xal'atath's Bargain: Oblivion,Archideus,Warlock,Destruction,dps,Stormrage
4,195,300417054,3,"Ara-Kara, City of Echoes",2024-10-15T17:00:27.000Z,674275,1800999,3,Xal'atath's Bargain: Oblivion,Starjaw,Druid,Balance,dps,Stormrage
5,195,301025622,3,"Ara-Kara, City of Echoes",2024-10-18T06:07:07.000Z,676081,1800999,3,Xal'atath's Bargain: Oblivion,Bolotera,Priest,Holy,healer,Area 52
5,195,301025622,3,"Ara-Kara, City of Echoes",2024-10-18T06:07:07.000Z,676081,1800999,3,Xal'atath's Bargain: Oblivion,Xsyan,Warlock,Destruction,dps,Azralon
5,195,301025622,3,"Ara-Kara, City of Echoes",2024-10-18T06:07:07.000Z,676081,1800999,3,Xal'atath's Bargain: Oblivion,Lexotanil,Mage,Arcane,dps,Zul'jin
