rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,195,306599133,3,"Ara-Kara, City of Echoes",2024-11-11T20:05:02.000Z,631983,1800999,3,Xal'atath's Bargain: Voidbound,Thunderjack,Warrior,Protection,tank,Mal'Ganis
1,195,306599133,3,"Ara-Kara, City of Echoes",2024-11-11T20:05:02.000Z,631983,1800999,3,Xal'atath's Bargain: Voidbound,Bions,Priest,Discipline,healer,Area 52
1,195,306599133,3,"Ara-Kara, City of Echoes",2024-11-11T20:05:02.000Z,631983,1800999,3,Xal'atath's Bargain: Voidbound,Voidishlock,Warlock,Destruction,dps,Area 52
1,195,306599133,3,"Ara-Kara, City of Echoes",2024-11-11T20:05:02.000Z,631983,1800999,3,Xal'atath's Bargain: Voidbound,Nylmagicman,Mage,Frost,dps,Burning Blade
1,195,306599133,3,"Ara-Kara, City of Echoes",2024-11-11T20:05:02.000Z,631983,1800999,3,Xal'atath's Bargain: Voidbound,Herpmeister,Priest,Shadow,dps,Zul'jin
2,195,306599133,3,"Ara-Kara, City of Echoes",2024-11-11T19:51:39.000Z,640665,1800999,3,Xal'atath's Bargain: Voidbound,Thunderjack,Warrior,Protection,tank,Mal'Ganis
2,195,306599133,3,"Ara-Kara, City of Echoes",2024-11-11T19:51:39.000Z,640665,1800999,3,Xal'atath's Bargain: Voidbound,Bions,Priest,Discipline,healer,Area 52
2,195,306599133,3,"Ara-Kara, City of Echoes",2024-11-11T19:51:39.000Z,640665,1800999,3,Xal'atath's Bargain: Voidbound,Voidishlock,Warlock,Destruction,dps,Area 52
2,195,306599133,3,"Ara-Kara, City of Echoes",2024-11-11T19:51:39.000Z,640665,1800999,3,Xal'atath's Bargain: Voidbound,Nylmagicman,Mage,Frost,dps,Burning Blade
2,195,306599133,3,"Ara-Kara, City of Echoes",2024-11-11T19:51:39.000Z,640665,1800999,3,Xal'atath's Bargain: Voidbound,Herpmeister,Priest,Shadow,dps,Zul'jin
3,195,306638250,3,"Ara-Kara, City of Echoes",2024-11-11T22:44:24.000Z,699885,1800999,3,Xal'atath's Bargain: Voidbound,Konvicshaman,Shaman,Restoration,healer,Illidan
3,195,306638250,3,"Ara-Kara, City of Echoes",2024-11-11T22:44:24.000Z,699885,1800999,3,Xal'atath's Bargain: Voidbound,Zeñitsu,Shaman,Enhancement,dps,Illidan
3,195,306638250,3,"Ara-Kara, City of Echoes",2024-11-11T22:44:24.000Z,699885,1800999,3,Xal'atath's Bargain: Voidbound,Itsgooch-229146912,Death Knight,Unholy,dps,Illidan
3,195,306638250,3,"Ara-Kara, City of Echoes",2024-11-11T22:44:24.000Z,699885,1800999,3,Xal'atath's Bargain: Voidbound,Budswar,Warrior,Protection,tank,Zul'jin
3,195,306638250,3,"Ara-Kara, City of Echoes",2024-11-11T22:44:24.000Z,699885,1800999,3,Xal'atath's Bargain: Voidbound,Linuxx,Hunter,Beast Mastery,dps,Illidan
4,195,305773184,3,"Ara-Kara, City of Echoes",2024-11-08T05:10:50.000Z,712035,1800999,3,Xal'atath's Bargain: Voidbound,Minimonks,Monk,Mistweaver,healer,Mok'Nathal
4,195,305773184,3,"Ara-Kara, City of Echoes",2024-11-08T05:10:50.000Z,712035,1800999,3,Xal'atath's Bargain: Voidbound,Perfectstar,Druid,Balance,dps,Area 52
4,195,305773184,3,"Ara-Kara, City of Echoes",2024-11-08T05:10:50.000Z,712035,1800999,3,Xal'atath's Bargain: Voidbound,Yoshinox,Hunter,Beast Mastery,dps,Khaz Modan
4,195,305773184,3,"Ara-Kara, City of Echoes",2024-11-08T05:10:50.000Z,712035,1800999,3,Xal'atath's Bargain: Voidbound,Wasabix,Demon Hunter,Vengeance,tank,Khaz Modan
4,195,305773184,3,"Ara-Kara, City of Echoes",2024-11-08T05:10:50.000Z,712035,1800999,3,Xal'atath's Bargain: Voidbound,Suhtnax,Shaman,Elemental,dps,Sargeras
5,195,306456266,3,"Ara-Kara, City of Echoes",2024-11-10T23:40:57.000Z,730634,1800999,3,Xal'atath's Bargain: Voidbound,Poltitus,Demon Hunter,Vengeance,tank,Thrall
5,195,306456266,3,"Ara-Kara, City of Echoes",2024-11-10T23:40:57.000Z,730634,1800999,3,Xal'atath's Bargain: Voidbound,Kítchen,Paladin,Retribution,dps,Feathermoon
5,195,306456266,3,"Ara-Kara, City of Echoes",2024-11-10T23:40:57.000Z,730634,1800999,3,Xal'atath's Bargain: Voidbound,Soolsnipes,Hunter,Beast Mastery,dps,Thrall
5,195,306456266,3,"Ara-Kara, City of Echoes",2024-11-10T23:40:57.000Z,730634,1800999,3,Xal'atath's Bargain: Voidbound,Gambitx,Monk,Mistweaver,healer,Proudmoore
5,195,306456266,3,"Ara-Kara, City of Echoes",2024-11-10T23:40:57.000Z,730634,1800999,3,Xal'atath's Bargain: Voidbound,Shakre-230880980,Shaman,Enhancement,dps,Tichondrius
6,195,306209831,3,"Ara-Kara, City of Echoes",2024-11-10T00:15:35.000Z,733471,1800999,3,Xal'atath's Bargain: Voidbound,Coraecin,Priest,Holy,healer,Stormrage
6,195,306209831,3,"Ara-Kara, City of Echoes",2024-11-10T00:15:35.000Z,733471,1800999,3,Xal'atath's Bargain: Voidbound,Bimbobob,Warrior,Fury,dps,Stormrage
6,195,306209831,3,"Ara-Kara, City of Echoes",2024-11-10T00:15:35.000Z,733471,1800999,3,Xal'atath's Bargain: Voidbound,Daysdazer,Druid,Feral,dps,Stormrage
6,195,306209831,3,"Ara-Kara, City of Echoes",2024-11-10T00:15:35.000Z,733471,1800999,3,Xal'atath's Bargain: Voidbound,Iceblockout,Mage,Frost,dps,Stormrage
6,195,306209831,3,"Ara-Kara, City of Echoes",2024-11-10T00:15:35.000Z,733471,1800999,3,Xal'atath's Bargain: Voidbound,Nacks-230697374,Death Knight,Blood,tank,Trollbane
7,195,309336962,3,"Ara-Kara, City of Echoes",2024-11-27T04:33:11.000Z,734369,1800999,3,Xal'atath's Bargain: Voidbound,Trinkanna,Death Knight,Frost,dps,Sisters of Elune
7,195,309336962,3,"Ara-Kara, City of Echoes",2024-11-27T04:33:11.000Z,734369,1800999,3,Xal'atath's Bargain: Voidbound,Coeurdeleon,Paladin,Protection,tank,Stormscale
7,195,309336962,3,"Ara-Kara, City of Echoes",2024-11-27T04:33:11.000Z,734369,1800999,3,Xal'atath's Bargain: Voidbound,Ashgon,Paladin,Retribution,dps,Mal'Ganis
7,195,309336962,3,"Ara-Kara, City of Echoes",2024-11-27T04:33:11.000Z,734369,1800999,3,Xal'atath's Bargain: Voidbound,Sylz,Druid,Restoration,healer,Sargeras
7,195,309336962,3,"Ara-Kara, City of Echoes",2024-11-27T04:33:11.000Z,734369,1800999,3,Xal'atath's Bargain: Voidbound,Kaem,Mage,Fire,dps,Sargeras
8,195,306670733,3,"Ara-Kara, City of Echoes",2024-11-11T23:49:49.000Z,737078,1800999,3,Xal'atath's Bargain: Voidbound,Fujee,Hunter,Survival,dps,Trollbane
8,195,306670733,3,"Ara-Kara, City of Echoes",2024-11-11T23:49:49.000Z,737078,1800999,3,Xal'atath's Bargain: Voidbound,Malgus,Warrior,Arms,dps,Ragnaros
8,195,306670733,3,"Ara-Kara, City of Echoes",2024-11-11T23:49:49.000Z,737078,1800999,3,Xal'atath's Bargain: Voidbound,Pkr,Warrior,Fury,dps,Area 52
8,195,306670733,3,"Ara-Kara, City of Echoes",2024-11-11T23:49:49.000Z,737078,1800999,3,Xal'atath's Bargain: Voidbound,Thottyz,Shaman,Restoration,healer,Area 52
8,195,306670733,3,"Ara-Kara, City of Echoes",2024-11-11T23:49:49.000Z,737078,1800999,3,Xal'atath's Bargain: Voidbound,Iblowbubbles,Paladin,Protection,tank,Area 52
9,195,297113456,3,"Ara-Kara, City of Echoes",2024-10-02T04:48:06.000Z,739083,1800999,3,Xal'atath's Bargain: Voidbound,Indomina,Paladin,Retribution,dps,Moon Guard
9,195,297113456,3,"Ara-Kara, City of Echoes",2024-10-02T04:48:06.000Z,739083,1800999,3,Xal'atath's Bargain: Voidbound,Ctt,Demon Hunter,Vengeance,tank,Stormrage
9,195,297113456,3,"Ara-Kara, City of Echoes",2024-10-02T04:48:06.000Z,739083,1800999,3,Xal'atath's Bargain: Voidbound,Herniation-196989872,Hunter,Marksmanship,dps,Illidan
9,195,297113456,3,"Ara-Kara, City of Echoes",2024-10-02T04:48:06.000Z,739083,1800999,3,Xal'atath's Bargain: Voidbound,Randyo,Monk,Mistweaver,healer,Area 52
9,195,297113456,3,"Ara-Kara, City of Echoes",2024-10-02T04:48:06.000Z,739083,1800999,3,Xal'atath's Bargain: Voidbound,Goobsonsham,Shaman,Elemental,dps,Tichondrius
10,195,306187358,3,"Ara-Kara, City of Echoes",2024-11-10T00:01:30.000Z,742205,1800999,3,Xal'atath's Bargain: Voidbound,Hyaa,Shaman,Elemental,dps,Mal'Ganis
10,195,306187358,3,"Ara-Kara, City of Echoes",2024-11-10T00:01:30.000Z,742205,1800999,3,Xal'atath's Bargain: Voidbound,Rob,Warrior,Fury,dps,Icecrown
10,195,306187358,3,"Ara-Kara, City of Echoes",2024-11-10T00:01:30.000Z,742205,1800999,3,Xal'atath's Bargain: Voidbound,Velystirra,Monk,Brewmaster,tank,Kil'jaeden
10,195,306187358,3,"Ara-Kara, City of Echoes",2024-11-10T00:01:30.000Z,742205,1800999,3,Xal'atath's Bargain: Voidbound,Morthenex,Warlock,Destruction,dps,Mal'Ganis
10,195,306187358,3,"Ara-Kara, City of Echoes",2024-11-10T00:01:30.000Z,742205,1800999,3,Xal'atath's Bargain: Voidbound,Stòrmsmasher,Shaman,Restoration,healer,Mal'Ganis
11,195,298067849,3,"Ara-Kara, City of Echoes",2024-10-06T02:52:12.000Z,744900,1800999,3,Xal'atath's Bargain: Voidbound,Frenchcore,Mage,Arcane,dps,Kil'jaeden
11,195,298067849,3,"Ara-Kara, City of Echoes",2024-10-06T02:52:12.000Z,744900,1800999,3,Xal'atath's Bargain: Voidbound,Marianopoker,Death Knight,Frost,dps,Frostmourne
11,195,298067849,3,"Ara-Kara, City of Echoes",2024-10-06T02:52:12.000Z,744900,1800999,3,Xal'atath's Bargain: Voidbound,Cinderosie,Evoker,Preservation,healer,Area 52
11,195,298067849,3,"Ara-Kara, City of Echoes",2024-10-06T02:52:12.000Z,744900,1800999,3,Xal'atath's Bargain: Voidbound,Impostercow,Druid,Guardian,tank,Thrall
11,195,298067849,3,"Ara-Kara, City of Echoes",2024-10-06T02:52:12.000Z,744900,1800999,3,Xal'atath's Bargain: Voidbound,Sweetyfox,Mage,Arcane,dps,Ravencrest
12,195,306228480,3,"Ara-Kara, City of Echoes",2024-11-10T03:54:04.000Z,746305,1800999,3,Xal'atath's Bargain: Voidbound,Templrz-126402770,Warrior,Protection,tank,Emerald Dream
12,195,306228480,3,"Ara-Kara, City of Echoes",2024-11-10T03:54:04.000Z,746305,1800999,3,Xal'atath's Bargain: Voidbound,Juyon,Priest,Discipline,healer,Stormrage
12,195,306228480,3,"Ara-Kara, City of Echoes",2024-11-10T03:54:04.000Z,746305,1800999,3,Xal'atath's Bargain: Voidbound,Vanadi,Shaman,Elemental,dps,Frostmourne
12,195,306228480,3,"Ara-Kara, City of Echoes",2024-11-10T03:54:04.000Z,746305,1800999,3,Xal'atath's Bargain: Voidbound,Munchable,Shaman,Enhancement,dps,Frostmourne
12,195,306228480,3,"Ara-Kara, City of Echoes",2024-11-10T03:54:04.000Z,746305,1800999,3,Xal'atath's Bargain: Voidbound,Størmÿ-230762463,Shaman,Enhancement,dps,Mal'Ganis
13,195,297725386,3,"Ara-Kara, City of Echoes",2024-10-04T22:49:19.000Z,746911,1800999,3,Xal'atath's Bargain: Voidbound,Feraligater,Demon Hunter,Vengeance,tank,Illidan
13,195,297725386,3,"Ara-Kara, City of Echoes",2024-10-04T22:49:19.000Z,746911,1800999,3,Xal'atath's Bargain: Voidbound,Vansake,Warrior,Fury,dps,Illidan
13,195,297725386,3,"Ara-Kara, City of Echoes",2024-10-04T22:49:19.000Z,746911,1800999,3,Xal'atath's Bargain: Voidbound,Kanatash,Hunter,Beast Mastery,dps,Burning Blade
13,195,297725386,3,"Ara-Kara, City of Echoes",2024-10-04T22:49:19.000Z,746911,1800999,3,Xal'atath's Bargain: Voidbound,Tialiras,Paladin,Retribution,dps,Stormrage
13,195,297725386,3,"Ara-Kara, City of Echoes",2024-10-04T22:49:19.000Z,746911,1800999,3,Xal'atath's Bargain: Voidbound,Gottogo,Shaman,Restoration,healer,Wyrmrest Accord
14,195,305668934,3,"Ara-Kara, City of Echoes",2024-11-07T16:32:53.000Z,747511,1800999,3,Xal'atath's Bargain: Voidbound,Durtybird,Shaman,Enhancement,dps,Bleeding Hollow
14,195,305668934,3,"Ara-Kara, City of Echoes",2024-11-07T16:32:53.000Z,747511,1800999,3,Xal'atath's Bargain: Voidbound,Squirrelykeg,Monk,Windwalker,dps,Hyjal
14,195,305668934,3,"Ara-Kara, City of Echoes",2024-11-07T16:32:53.000Z,747511,1800999,3,Xal'atath's Bargain: Voidbound,Sairick,Shaman,Elemental,dps,Thrall
14,195,305668934,3,"Ara-Kara, City of Echoes",2024-11-07T16:32:53.000Z,747511,1800999,3,Xal'atath's Bargain: Voidbound,Vinnexa,Monk,Mistweaver,healer,Area 52
14,195,305668934,3,"Ara-Kara, City of Echoes",2024-11-07T16:32:53.000Z,747511,1800999,3,Xal'atath's Bargain: Voidbound,Pallycup,Paladin,Protection,tank,Kel'Thuzad
15,195,306683341,3,"Ara-Kara, City of Echoes",2024-11-11T21:28:20.000Z,749341,1800999,3,Xal'atath's Bargain: Voidbound,Hyda,Warrior,Fury,dps,Sargeras
15,195,306683341,3,"Ara-Kara, City of Echoes",2024-11-11T21:28:20.000Z,749341,1800999,3,Xal'atath's Bargain: Voidbound,Stryker,Hunter,Survival,dps,Dreadmaul
15,195,306683341,3,"Ara-Kara, City of Echoes",2024-11-11T21:28:20.000Z,749341,1800999,3,Xal'atath's Bargain: Voidbound,Lunnacyy,Paladin,Protection,tank,Barthilas
15,195,306683341,3,"Ara-Kara, City of Echoes",2024-11-11T21:28:20.000Z,749341,1800999,3,Xal'atath's Bargain: Voidbound,Aliix-228155561,Evoker,Augmentation,dps,Frostmourne
15,195,306683341,3,"Ara-Kara, City of Echoes",2024-11-11T21:28:20.000Z,749341,1800999,3,Xal'atath's Bargain: Voidbound,Holymommy,Priest,Discipline,healer,Barthilas
