rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,309.9,302448554,9,City of Threads,2024-10-24T08:09:20.000Z,1320710,2190999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",穆图丶科维,Rogue,Assassination,dps,Burning Blade
1,309.9,302448554,9,City of Threads,2024-10-24T08:09:20.000Z,1320710,2190999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",银色呀,Warlock,Demonology,dps,The Golden Plains
1,309.9,302448554,9,City of Threads,2024-10-24T08:09:20.000Z,1320710,2190999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",俄罗斯华侨,Mage,Frost,dps,Blanchard
1,309.9,302448554,9,City of Threads,2024-10-24T08:09:20.000Z,1320710,2190999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",西班牙图拉真,Paladin,Protection,tank,Grim Batol
1,309.9,302448554,9,City of Threads,2024-10-24T08:09:20.000Z,1320710,2190999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",公狗,Priest,Discipline,healer,Shadowmourne
2,309.4,302700763,9,City of Threads,2024-10-25T18:43:29.000Z,1349362,2190999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",战貂,Warrior,Fury,dps,Burning Blade
2,309.4,302700763,9,City of Threads,2024-10-25T18:43:29.000Z,1349362,2190999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",大领主丶,Death Knight,Unholy,dps,Alterac Mountains
2,309.4,302700763,9,City of Threads,2024-10-25T18:43:29.000Z,1349362,2190999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",大丨雄,Paladin,Protection,tank,Deathwing
2,309.4,302700763,9,City of Threads,2024-10-25T18:43:29.000Z,1349362,2190999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",大呀么大肚腩,Monk,Mistweaver,healer,Alterac Mountains
2,309.4,302700763,9,City of Threads,2024-10-25T18:43:29.000Z,1349362,2190999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",传说中的逗逼,Paladin,Retribution,dps,Abbendis
3,306.9,302861294,9,City of Threads,2024-10-26T06:54:57.000Z,1493548,2190999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Bryantrui,Demon Hunter,Havoc,dps,Dark Iron
3,306.9,302861294,9,City of Threads,2024-10-26T06:54:57.000Z,1493548,2190999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",鲁鲁不干活,Druid,Guardian,tank,Dark Iron
