rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,307157782,9,City of Threads,2024-11-14T14:01:27.000Z,1248887,2190999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",北十三,Monk,Mistweaver,healer,Al'ar
1,310,307157782,9,City of Threads,2024-11-14T14:01:27.000Z,1248887,2190999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",欧皇战,Warrior,Arms,dps,Thrall
1,310,307157782,9,City of Threads,2024-11-14T14:01:27.000Z,1248887,2190999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",狗本狗,Druid,Guardian,tank,Al'ar
1,310,307157782,9,City of Threads,2024-11-14T14:01:27.000Z,1248887,2190999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",工口娜,Rogue,Assassination,dps,Al'ar
1,310,307157782,9,City of Threads,2024-11-14T14:01:27.000Z,1248887,2190999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",勥丶,Shaman,Enhancement,dps,Eldre'Thalas
2,310,307433011,9,City of Threads,2024-11-16T02:45:13.000Z,1308511,2190999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",拳王月灼,Monk,Brewmaster,tank,Burning Blade
2,310,307433011,9,City of Threads,2024-11-16T02:45:13.000Z,1308511,2190999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",最后战役,Demon Hunter,Havoc,dps,Doomwalker
2,310,307433011,9,City of Threads,2024-11-16T02:45:13.000Z,1308511,2190999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",口袋月灼,Druid,Balance,dps,Burning Blade
2,310,307433011,9,City of Threads,2024-11-16T02:45:13.000Z,1308511,2190999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",桃井五月,Priest,Discipline,healer,Burning Blade
2,310,307433011,9,City of Threads,2024-11-16T02:45:13.000Z,1308511,2190999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",利姆露呀,Priest,Shadow,dps,Burning Blade
3,309.5,307914513,9,City of Threads,2024-11-18T14:54:46.000Z,1346226,2190999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Ôutman,Paladin,Retribution,dps,Shadowmourne
3,309.5,307914513,9,City of Threads,2024-11-18T14:54:46.000Z,1346226,2190999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",青锋出斩不平,Rogue,Assassination,dps,Shadowmourne
3,309.5,307914513,9,City of Threads,2024-11-18T14:54:46.000Z,1346226,2190999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",末弦,Shaman,Enhancement,dps,Shadowmourne
3,309.5,307914513,9,City of Threads,2024-11-18T14:54:46.000Z,1346226,2190999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",树熊丶,Druid,Guardian,tank,Shadowmourne
3,309.5,307914513,9,City of Threads,2024-11-18T14:54:46.000Z,1346226,2190999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",戒律牧,Priest,Discipline,healer,Shadowmourne
4,308.6,294962287,9,City of Threads,2024-09-24T17:16:40.000Z,1397279,2190999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",堰如雪,Priest,Discipline,healer,Rhonin
4,308.6,294962287,9,City of Threads,2024-09-24T17:16:40.000Z,1397279,2190999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",七彩小恶魔,Demon Hunter,Havoc,dps,Rhonin
4,308.6,294962287,9,City of Threads,2024-09-24T17:16:40.000Z,1397279,2190999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",红莲魔尊,Death Knight,Frost,dps,Doomwalker
4,308.6,294962287,9,City of Threads,2024-09-24T17:16:40.000Z,1397279,2190999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",肥瓜壁咚了,Warlock,Destruction,dps,Deathwing
4,308.6,294962287,9,City of Threads,2024-09-24T17:16:40.000Z,1397279,2190999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",飞天王狗,Demon Hunter,Vengeance,tank,The Great Sea
5,308.4,307668563,9,City of Threads,2024-11-17T06:35:42.000Z,1405289,2190999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",璃霜,Mage,Frost,dps,Silver Hand
5,308.4,307668563,9,City of Threads,2024-11-17T06:35:42.000Z,1405289,2190999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",哔哔姬,Paladin,Protection,tank,Anzu
5,308.4,307668563,9,City of Threads,2024-11-17T06:35:42.000Z,1405289,2190999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Dokiorz,Rogue,Assassination,dps,Silver Hand
5,308.4,307668563,9,City of Threads,2024-11-17T06:35:42.000Z,1405289,2190999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",零食罐罐,Paladin,Retribution,dps,Shadowmourne
5,308.4,307668563,9,City of Threads,2024-11-17T06:35:42.000Z,1405289,2190999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",笔至此搁一半,Druid,Restoration,healer,Deathwing
6,308,307661606,9,City of Threads,2024-11-17T05:54:45.000Z,1430397,2190999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",雪来染,Monk,Mistweaver,healer,Al'ar
6,308,307661606,9,City of Threads,2024-11-17T05:54:45.000Z,1430397,2190999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",幽欢丶,Paladin,Retribution,dps,Anzu
6,308,307661606,9,City of Threads,2024-11-17T05:54:45.000Z,1430397,2190999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",下次我挨揍,Paladin,Protection,tank,Isillien
6,308,307661606,9,City of Threads,2024-11-17T05:54:45.000Z,1430397,2190999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",马达嚒嘛哒,Shaman,Elemental,dps,Amani
6,308,307661606,9,City of Threads,2024-11-17T05:54:45.000Z,1430397,2190999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",黑暗大饼,Warlock,Destruction,dps,Bleeding Hollow
7,307.2,307735320,9,City of Threads,2024-11-17T15:45:00.000Z,1476051,2190999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",上道标,Paladin,Retribution,dps,Barrens
7,307.2,307735320,9,City of Threads,2024-11-17T15:45:00.000Z,1476051,2190999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Daylami,Shaman,Enhancement,dps,Scarlet Crusade
7,307.2,307735320,9,City of Threads,2024-11-17T15:45:00.000Z,1476051,2190999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",圣光照耀你妹,Paladin,Retribution,dps,Anzu
7,307.2,307735320,9,City of Threads,2024-11-17T15:45:00.000Z,1476051,2190999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",塞爾達丶,Priest,Discipline,healer,Deathwing
7,307.2,307735320,9,City of Threads,2024-11-17T15:45:00.000Z,1476051,2190999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",布莱尼飞盾,Paladin,Protection,tank,Anzu
8,306.9,307528476,9,City of Threads,2024-11-16T16:37:28.000Z,1492944,2190999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",小文的世界,Paladin,Retribution,dps,Barrens
8,306.9,307528476,9,City of Threads,2024-11-16T16:37:28.000Z,1492944,2190999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Spécialtylèr,Demon Hunter,Havoc,dps,Al'ar
8,306.9,307528476,9,City of Threads,2024-11-16T16:37:28.000Z,1492944,2190999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",蔻德真的卡了,Shaman,Restoration,healer,The Great Sea
8,306.9,307528476,9,City of Threads,2024-11-16T16:37:28.000Z,1492944,2190999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",啊对对,Druid,Guardian,tank,Valley of Kings
8,306.9,307528476,9,City of Threads,2024-11-16T16:37:28.000Z,1492944,2190999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",月夜之痕,Mage,Fire,dps,The Great Sea
9,306.9,307674317,9,City of Threads,2024-11-17T07:43:41.000Z,1493847,2190999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",小尾巴摇呀摇,Priest,Discipline,healer,Rhonin
9,306.9,307674317,9,City of Threads,2024-11-17T07:43:41.000Z,1493847,2190999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",弹弓弹啊弹,Hunter,Survival,dps,Ashenvale
9,306.9,307674317,9,City of Threads,2024-11-17T07:43:41.000Z,1493847,2190999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",奢华精装西瓜,Death Knight,Frost,dps,Frostmourne
9,306.9,307674317,9,City of Threads,2024-11-17T07:43:41.000Z,1493847,2190999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Firer,Mage,Frost,dps,Shadow Council
9,306.9,307674317,9,City of Threads,2024-11-17T07:43:41.000Z,1493847,2190999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",灬尛尛酥灬,Paladin,Protection,tank,The Master's Glaive
10,306.3,300297055,9,City of Threads,2024-09-23T14:26:54.000Z,1531050,2190999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",乌鸦过载了,Shaman,Restoration,healer,Scarlet Crusade
10,306.3,300297055,9,City of Threads,2024-09-23T14:26:54.000Z,1531050,2190999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",窦一娥,Death Knight,Frost,dps,Grim Batol
10,306.3,300297055,9,City of Threads,2024-09-23T14:26:54.000Z,1531050,2190999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",门小熊,Druid,Guardian,tank,Chillwind Point
10,306.3,300297055,9,City of Threads,2024-09-23T14:26:54.000Z,1531050,2190999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",憨枇,Rogue,Assassination,dps,Isillien
10,306.3,300297055,9,City of Threads,2024-09-23T14:26:54.000Z,1531050,2190999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Ulorion,Mage,Frost,dps,Sunwell
11,306.3,307461723,9,City of Threads,2024-11-16T07:08:15.000Z,1533091,2190999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",浅草寺小狮子,Shaman,Elemental,dps,The Master's Glaive
