rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,309.4,302290687,9,City of Threads,2024-10-23T11:09:09.000Z,1351866,2190999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",小术宝,Warlock,Demonology,dps,Chillwind Point
1,309.4,302290687,9,City of Threads,2024-10-23T11:09:09.000Z,1351866,2190999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",风后奇门丶,Paladin,Holy,healer,Chillwind Point
1,309.4,302290687,9,City of Threads,2024-10-23T11:09:09.000Z,1351866,2190999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",集火天下无敌,Warrior,Protection,tank,Chillwind Point
1,309.4,302290687,9,City of Threads,2024-10-23T11:09:09.000Z,1351866,2190999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",责任爷,Death Knight,Frost,dps,Doom's Vigil
1,309.4,302290687,9,City of Threads,2024-10-23T11:09:09.000Z,1351866,2190999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",兜底爷,Shaman,Elemental,dps,Silver Hand
2,308.3,300808100,9,City of Threads,2024-10-17T07:17:00.000Z,1411098,2190999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",愚人畏影,Shaman,Elemental,dps,Rhonin
2,308.3,300808100,9,City of Threads,2024-10-17T07:17:00.000Z,1411098,2190999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",阿揪揪,Druid,Balance,dps,Rhonin
2,308.3,300808100,9,City of Threads,2024-10-17T07:17:00.000Z,1411098,2190999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",盾牌格挡断啦,Warrior,Protection,tank,Silver Hand
2,308.3,300808100,9,City of Threads,2024-10-17T07:17:00.000Z,1411098,2190999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",奥维莉娅丶,Paladin,Retribution,dps,Nefarian
2,308.3,300808100,9,City of Threads,2024-10-17T07:17:00.000Z,1411098,2190999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",伊苏的起源,Shaman,Restoration,healer,Amani
3,307.9,302319615,9,City of Threads,2024-10-23T15:39:24.000Z,1436512,2190999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",傻幽,Mage,Fire,dps,Dreadmist Peak
3,307.9,302319615,9,City of Threads,2024-10-23T15:39:24.000Z,1436512,2190999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",茜色,Death Knight,Frost,dps,Pandaren
3,307.9,302319615,9,City of Threads,2024-10-23T15:39:24.000Z,1436512,2190999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",他善丶,Monk,Mistweaver,healer,Grim Batol
3,307.9,302319615,9,City of Threads,2024-10-23T15:39:24.000Z,1436512,2190999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Okoow,Paladin,Retribution,dps,Pandaren
3,307.9,302319615,9,City of Threads,2024-10-23T15:39:24.000Z,1436512,2190999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",外设,Warrior,Protection,tank,Grim Batol
4,307.8,300856886,9,City of Threads,2024-10-17T14:27:41.000Z,1441675,2190999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",愚人畏影,Shaman,Elemental,dps,Rhonin
4,307.8,300856886,9,City of Threads,2024-10-17T14:27:41.000Z,1441675,2190999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",阿揪揪,Druid,Balance,dps,Rhonin
4,307.8,300856886,9,City of Threads,2024-10-17T14:27:41.000Z,1441675,2190999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",丶南風,Paladin,Holy,healer,The Great Sea
4,307.8,300856886,9,City of Threads,2024-10-17T14:27:41.000Z,1441675,2190999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",祈德,Druid,Guardian,tank,The Great Sea
4,307.8,300856886,9,City of Threads,2024-10-17T14:27:41.000Z,1441675,2190999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",吟唱中的挽歌,Paladin,Retribution,dps,Al'ar
5,306.7,302263322,9,City of Threads,2024-10-23T05:16:53.000Z,1509753,2190999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",布丁啃大鱼,Death Knight,Frost,dps,Burning Blade
5,306.7,302263322,9,City of Threads,2024-10-23T05:16:53.000Z,1509753,2190999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",艾师傅,Mage,Frost,dps,Isillien
5,306.7,302263322,9,City of Threads,2024-10-23T05:16:53.000Z,1509753,2190999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",丁三炮,Shaman,Restoration,healer,Blanchard
5,306.7,302263322,9,City of Threads,2024-10-23T05:16:53.000Z,1509753,2190999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",核能打桩机,Demon Hunter,Vengeance,tank,Shadowmourne
5,306.7,302263322,9,City of Threads,2024-10-23T05:16:53.000Z,1509753,2190999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",灬紫辰霜灬,Hunter,Marksmanship,dps,Grim Batol
6,306.6,301257219,9,City of Threads,2024-10-19T03:08:24.000Z,1514255,2190999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Easonchen,Death Knight,Frost,dps,Valley of Kings
6,306.6,301257219,9,City of Threads,2024-10-19T03:08:24.000Z,1514255,2190999,2,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",粒托儿弟,Rogue,Assassination,dps,Burning Blade
