rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,307.7,298695520,9,City of Threads,2024-10-08T18:11:49.000Z,1448033,2190999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Fume,Demon Hunter,Vengeance,tank,Al'ar
1,307.7,298695520,9,City of Threads,2024-10-08T18:11:49.000Z,1448033,2190999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",芭芭拉冲鸭丶,Paladin,Retribution,dps,The Great Sea
1,307.7,298695520,9,City of Threads,2024-10-08T18:11:49.000Z,1448033,2190999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",醉澜,Priest,Discipline,healer,Grim Batol
1,307.7,298695520,9,City of Threads,2024-10-08T18:11:49.000Z,1448033,2190999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",巫莽莽,Mage,Frost,dps,Grim Batol
1,307.7,298695520,9,City of Threads,2024-10-08T18:11:49.000Z,1448033,2190999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",天阳至宁,Shaman,Enhancement,dps,Grim Batol
2,307.6,298825009,9,City of Threads,2024-10-09T06:44:37.000Z,1452801,2190999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",大嘴灬,Demon Hunter,Vengeance,tank,Al'ar
2,307.6,298825009,9,City of Threads,2024-10-09T06:44:37.000Z,1452801,2190999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",阿序,Warlock,Demonology,dps,Al'ar
2,307.6,298825009,9,City of Threads,2024-10-09T06:44:37.000Z,1452801,2190999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Io,Warrior,Fury,dps,Frostmane
2,307.6,298825009,9,City of Threads,2024-10-09T06:44:37.000Z,1452801,2190999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",胖纸旺先森,Shaman,Restoration,healer,Burning Blade
2,307.6,298825009,9,City of Threads,2024-10-09T06:44:37.000Z,1452801,2190999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",兄弟别玩鸟德,Druid,Balance,dps,Al'ar
3,307.2,298202795,9,City of Threads,2024-10-06T15:57:10.000Z,1478515,2190999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",阿西果果,Mage,Frost,dps,Darkspear
3,307.2,298202795,9,City of Threads,2024-10-06T15:57:10.000Z,1478515,2190999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",綾瀬沙季,Rogue,Assassination,dps,Grim Batol
3,307.2,298202795,9,City of Threads,2024-10-06T15:57:10.000Z,1478515,2190999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",星灵移位,Death Knight,Frost,dps,Darkspear
3,307.2,298202795,9,City of Threads,2024-10-06T15:57:10.000Z,1478515,2190999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Ftwnc,Death Knight,Blood,tank,Blanchard
3,307.2,298202795,9,City of Threads,2024-10-06T15:57:10.000Z,1478515,2190999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",汪淼,Shaman,Restoration,healer,Bladespire
4,306.9,298609267,9,City of Threads,2024-10-08T08:42:33.000Z,1493182,2190999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Bigxxshow,Rogue,Assassination,dps,Al'ar
4,306.9,298609267,9,City of Threads,2024-10-08T08:42:33.000Z,1493182,2190999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",花裤衩的荣耀,Paladin,Retribution,dps,Silver Hand
4,306.9,298609267,9,City of Threads,2024-10-08T08:42:33.000Z,1493182,2190999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",你家有剩饭吗,Death Knight,Frost,dps,Deathwing
4,306.9,298609267,9,City of Threads,2024-10-08T08:42:33.000Z,1493182,2190999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",香辣咸鱼久,Warrior,Protection,tank,Isillien
4,306.9,298609267,9,City of Threads,2024-10-08T08:42:33.000Z,1493182,2190999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",月姐我还要阿,Shaman,Restoration,healer,Scarlet Crusade
