rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,307390006,9,City of Threads,2024-11-15T18:28:11.000Z,1087398,2190999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Fivetang,Shaman,Enhancement,dps,Blackmoore
1,310,307390006,9,City of Threads,2024-11-15T18:28:11.000Z,1087398,2190999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Dagnes,Priest,Discipline,healer,Draenor
1,310,307390006,9,City of Threads,2024-11-15T18:28:11.000Z,1087398,2190999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Bonsham,Shaman,Enhancement,dps,Draenor
1,310,307390006,9,City of Threads,2024-11-15T18:28:11.000Z,1087398,2190999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Serenesky,Paladin,Protection,tank,Kazzak
1,310,307390006,9,City of Threads,2024-11-15T18:28:11.000Z,1087398,2190999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Málistaire,Evoker,Augmentation,dps,Kazzak
2,310,307416763,9,City of Threads,2024-11-16T00:37:42.000Z,1171231,2190999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Iprayforyou,Priest,Discipline,healer,Draenor
2,310,307416763,9,City of Threads,2024-11-16T00:37:42.000Z,1171231,2190999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Czarchun,Paladin,Retribution,dps,Burning Legion
2,310,307416763,9,City of Threads,2024-11-16T00:37:42.000Z,1171231,2190999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Tenevoker,Evoker,Augmentation,dps,Burning Legion
2,310,307416763,9,City of Threads,2024-11-16T00:37:42.000Z,1171231,2190999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Richpal,Paladin,Protection,tank,Burning Legion
2,310,307416763,9,City of Threads,2024-11-16T00:37:42.000Z,1171231,2190999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Aramersham,Shaman,Enhancement,dps,Burning Legion
3,310,307427100,9,City of Threads,2024-11-15T21:26:34.000Z,1230338,2190999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Pirkkox,Warrior,Fury,dps,Ravencrest
