rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,308282146,9,City of Threads,2024-11-20T14:27:07.000Z,1113611,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Bersérk,Paladin,Retribution,dps,Ravencrest
1,310,308282146,9,City of Threads,2024-11-20T14:27:07.000Z,1113611,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Anon568A34D,Priest,Discipline,healer,Anonymous
1,310,308282146,9,City of Threads,2024-11-20T14:27:07.000Z,1113611,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Anon56A74A1,Paladin,Protection,tank,Anonymous
1,310,308282146,9,City of Threads,2024-11-20T14:27:07.000Z,1113611,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Anon68B471E,Shaman,Enhancement,dps,Anonymous
1,310,308282146,9,City of Threads,2024-11-20T14:27:07.000Z,1113611,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Keeisr,Warrior,Arms,dps,Azjol-Nerub
2,310,308300840,9,City of Threads,2024-11-20T16:30:46.000Z,1214273,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Rofixia,Paladin,Protection,tank,Doomhammer
2,310,308300840,9,City of Threads,2024-11-20T16:30:46.000Z,1214273,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Dylsum,Rogue,Assassination,dps,Magtheridon
2,310,308300840,9,City of Threads,2024-11-20T16:30:46.000Z,1214273,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Panicshart,Monk,Mistweaver,healer,Kazzak
2,310,308300840,9,City of Threads,2024-11-20T16:30:46.000Z,1214273,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Rezycle,Mage,Arcane,dps,Tarren Mill
2,310,308300840,9,City of Threads,2024-11-20T16:30:46.000Z,1214273,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Saiju,Hunter,Survival,dps,Hyjal
3,310,308407749,9,City of Threads,2024-11-21T09:27:19.000Z,1221169,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Nxia,Paladin,Retribution,dps,Blackmoore
3,310,308407749,9,City of Threads,2024-11-21T09:27:19.000Z,1221169,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",AnonD620841,Death Knight,Frost,dps,Anonymous
3,310,308407749,9,City of Threads,2024-11-21T09:27:19.000Z,1221169,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Излечивающая,Monk,Mistweaver,healer,Howling Fjord
3,310,308407749,9,City of Threads,2024-11-21T09:27:19.000Z,1221169,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Крайпзз,Paladin,Protection,tank,Howling Fjord
3,310,308407749,9,City of Threads,2024-11-21T09:27:19.000Z,1221169,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Нокуа,Warrior,Fury,dps,Gordunni
4,310,308673026,9,City of Threads,2024-11-22T18:11:20.000Z,1228417,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Heygino,Evoker,Augmentation,dps,Draenor
4,310,308673026,9,City of Threads,2024-11-22T18:11:20.000Z,1228417,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Nitondk,Death Knight,Frost,dps,Draenor
4,310,308673026,9,City of Threads,2024-11-22T18:11:20.000Z,1228417,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Chaddz,Paladin,Protection,tank,Silvermoon
4,310,308673026,9,City of Threads,2024-11-22T18:11:20.000Z,1228417,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Cemoska,Priest,Discipline,healer,Draenor
4,310,308673026,9,City of Threads,2024-11-22T18:11:20.000Z,1228417,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Thyslixx,Shaman,Enhancement,dps,Draenor
5,310,308291948,9,City of Threads,2024-11-20T15:21:40.000Z,1240261,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Thatush,Mage,Frost,dps,Kazzak
5,310,308291948,9,City of Threads,2024-11-20T15:21:40.000Z,1240261,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Pezglobo,Demon Hunter,Vengeance,tank,Ravencrest
5,310,308291948,9,City of Threads,2024-11-20T15:21:40.000Z,1240261,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Rampaa,Paladin,Retribution,dps,Drak'thul
5,310,308291948,9,City of Threads,2024-11-20T15:21:40.000Z,1240261,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Katharsis,Priest,Discipline,healer,Defias Brotherhood
5,310,308291948,9,City of Threads,2024-11-20T15:21:40.000Z,1240261,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Greedi,Hunter,Survival,dps,Grim Batol
