rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,299110351,9,City of Threads,2024-10-21T15:01:20.000Z,1257004,2190999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Epickgodqx,Paladin,Retribution,dps,Twisting Nether
1,310,299110351,9,City of Threads,2024-10-21T15:01:20.000Z,1257004,2190999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Silverhunts,Hunter,Beast Mastery,dps,Twisting Nether
1,310,299110351,9,City of Threads,2024-10-21T15:01:20.000Z,1257004,2190999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Õdnogcd,Druid,Guardian,tank,Silvermoon
1,310,299110351,9,City of Threads,2024-10-21T15:01:20.000Z,1257004,2190999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Arienwave,Shaman,Restoration,healer,Twisting Nether
1,310,299110351,9,City of Threads,2024-10-21T15:01:20.000Z,1257004,2190999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Dkje,Death Knight,Frost,dps,Twisting Nether
2,310,301435338,9,City of Threads,2024-10-19T19:47:44.000Z,1260697,2190999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Ninjanex,Rogue,Assassination,dps,Draenor
2,310,301435338,9,City of Threads,2024-10-19T19:47:44.000Z,1260697,2190999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Slypal,Paladin,Protection,tank,Twisting Nether
2,310,301435338,9,City of Threads,2024-10-19T19:47:44.000Z,1260697,2190999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Tyll,Druid,Balance,dps,Twisting Nether
2,310,301435338,9,City of Threads,2024-10-19T19:47:44.000Z,1260697,2190999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Brokemylegs,Paladin,Retribution,dps,Draenor
2,310,301435338,9,City of Threads,2024-10-19T19:47:44.000Z,1260697,2190999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Logish-229295091,Shaman,Restoration,healer,Draenor
