rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,297488869,9,City of Threads,2024-10-03T21:27:14.000Z,1214178,2190999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Trapyourdad,Hunter,Marksmanship,dps,Draenor
1,310,297488869,9,City of Threads,2024-10-03T21:27:14.000Z,1214178,2190999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Beeznuts,Shaman,Restoration,healer,Draenor
1,310,297488869,9,City of Threads,2024-10-03T21:27:14.000Z,1214178,2190999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Cynthena,Paladin,Retribution,dps,Silvermoon
1,310,297488869,9,City of Threads,2024-10-03T21:27:14.000Z,1214178,2190999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Theortically,Mage,Arcane,dps,Kazzak
1,310,297488869,9,City of Threads,2024-10-03T21:27:14.000Z,1214178,2190999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Stenätare,Warrior,Protection,tank,Kazzak
2,310,309343171,9,City of Threads,2024-11-27T06:23:28.000Z,1223491,2190999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Nalapala,Paladin,Retribution,dps,Argent Dawn
2,310,309343171,9,City of Threads,2024-11-27T06:23:28.000Z,1223491,2190999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Bloodmournee,Death Knight,Frost,dps,Kazzak
2,310,309343171,9,City of Threads,2024-11-27T06:23:28.000Z,1223491,2190999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Cowsome,Druid,Restoration,healer,Stormscale
2,310,309343171,9,City of Threads,2024-11-27T06:23:28.000Z,1223491,2190999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Fondlemypp,Shaman,Enhancement,dps,Ravencrest
2,310,309343171,9,City of Threads,2024-11-27T06:23:28.000Z,1223491,2190999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Aasi,Death Knight,Blood,tank,Argent Dawn
3,310,309392340,9,City of Threads,2024-11-27T17:10:51.000Z,1258302,2190999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Kanios,Warrior,Fury,dps,Sylvanas
3,310,309392340,9,City of Threads,2024-11-27T17:10:51.000Z,1258302,2190999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Caxell,Druid,Restoration,healer,Draenor
3,310,309392340,9,City of Threads,2024-11-27T17:10:51.000Z,1258302,2190999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Shiina,Hunter,Survival,dps,Dunemaul
3,310,309392340,9,City of Threads,2024-11-27T17:10:51.000Z,1258302,2190999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Jakezorus,Druid,Balance,dps,Sylvanas
3,310,309392340,9,City of Threads,2024-11-27T17:10:51.000Z,1258302,2190999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Solidbrew,Monk,Brewmaster,tank,Kazzak
4,310,309471852,9,City of Threads,2024-11-28T06:22:30.000Z,1269807,2190999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Proximal,Paladin,Protection,tank,Ravencrest
4,310,309471852,9,City of Threads,2024-11-28T06:22:30.000Z,1269807,2190999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Megocash,Evoker,Augmentation,dps,Kazzak
4,310,309471852,9,City of Threads,2024-11-28T06:22:30.000Z,1269807,2190999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Øffen,Priest,Shadow,dps,The Maelstrom
4,310,309471852,9,City of Threads,2024-11-28T06:22:30.000Z,1269807,2190999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Impactwy,Druid,Restoration,healer,Silvermoon
4,310,309471852,9,City of Threads,2024-11-28T06:22:30.000Z,1269807,2190999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Alunzi,Shaman,Enhancement,dps,Stormscale
5,310,295564950,9,City of Threads,2024-10-08T12:53:22.000Z,1280383,2190999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Aymonk,Monk,Windwalker,dps,Marécage de Zangar
