rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,302901711,9,City of Threads,2024-10-26T10:53:10.000Z,1249777,2190999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Gangjuice,Mage,Fire,dps,Azshara
1,310,302901711,9,City of Threads,2024-10-26T10:53:10.000Z,1249777,2190999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",에셀드레이나,Shaman,Restoration,healer,Azshara
1,310,302901711,9,City of Threads,2024-10-26T10:53:10.000Z,1249777,2190999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",안숨었니,Rogue,Assassination,dps,Azshara
1,310,302901711,9,City of Threads,2024-10-26T10:53:10.000Z,1249777,2190999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",민닥똘,Warrior,Protection,tank,Azshara
1,310,302901711,9,City of Threads,2024-10-26T10:53:10.000Z,1249777,2190999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",고파스,Evoker,Augmentation,dps,Azshara
2,310,302474342,9,City of Threads,2024-10-24T13:15:10.000Z,1312958,2190999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Dps,Hunter,Beast Mastery,dps,Azshara
2,310,302474342,9,City of Threads,2024-10-24T13:15:10.000Z,1312958,2190999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",순대볶음맛있다,Death Knight,Blood,tank,Azshara
2,310,302474342,9,City of Threads,2024-10-24T13:15:10.000Z,1312958,2190999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",흑채산흑우,Paladin,Retribution,dps,Azshara
2,310,302474342,9,City of Threads,2024-10-24T13:15:10.000Z,1312958,2190999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",쥬흙,Shaman,Restoration,healer,Azshara
2,310,302474342,9,City of Threads,2024-10-24T13:15:10.000Z,1312958,2190999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Sezac-107506457,Rogue,Assassination,dps,Azshara
3,310,302713602,9,City of Threads,2024-10-25T11:44:58.000Z,1314791,2190999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Heck,Shaman,Elemental,dps,Azshara
3,310,302713602,9,City of Threads,2024-10-25T11:44:58.000Z,1314791,2190999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",귀족드루마마,Druid,Guardian,tank,Azshara
3,310,302713602,9,City of Threads,2024-10-25T11:44:58.000Z,1314791,2190999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",풍요로운구렁,Paladin,Holy,healer,Azshara
3,310,302713602,9,City of Threads,2024-10-25T11:44:58.000Z,1314791,2190999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",사냥잼,Hunter,Beast Mastery,dps,Azshara
3,310,302713602,9,City of Threads,2024-10-25T11:44:58.000Z,1314791,2190999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",잇쥬,Rogue,Assassination,dps,Azshara
4,309.7,302872736,9,City of Threads,2024-10-26T08:15:53.000Z,1334971,2190999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",요구,Monk,Mistweaver,healer,Azshara
4,309.7,302872736,9,City of Threads,2024-10-26T08:15:53.000Z,1334971,2190999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",아니소새끼라뇨,Death Knight,Blood,tank,Azshara
4,309.7,302872736,9,City of Threads,2024-10-26T08:15:53.000Z,1334971,2190999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",소간디왕,Warrior,Fury,dps,Azshara
4,309.7,302872736,9,City of Threads,2024-10-26T08:15:53.000Z,1334971,2190999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",앙송이,Evoker,Augmentation,dps,Azshara
4,309.7,302872736,9,City of Threads,2024-10-26T08:15:53.000Z,1334971,2190999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Axix,Shaman,Elemental,dps,Azshara
5,309.6,302937736,9,City of Threads,2024-10-26T12:49:12.000Z,1337558,2190999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",타우렌드루여,Druid,Guardian,tank,Azshara
5,309.6,302937736,9,City of Threads,2024-10-26T12:49:12.000Z,1337558,2190999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",멍멍이네,Rogue,Assassination,dps,Azshara
5,309.6,302937736,9,City of Threads,2024-10-26T12:49:12.000Z,1337558,2190999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",급사방지,Shaman,Restoration,healer,Azshara
5,309.6,302937736,9,City of Threads,2024-10-26T12:49:12.000Z,1337558,2190999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",지는거습관임,Shaman,Enhancement,dps,Azshara
5,309.6,302937736,9,City of Threads,2024-10-26T12:49:12.000Z,1337558,2190999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Whooshwhoosh,Mage,Arcane,dps,Azshara
6,309.1,303641260,9,City of Threads,2024-10-29T14:55:57.000Z,1369353,2190999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Slavez,Warrior,Protection,tank,Azshara
6,309.1,303641260,9,City of Threads,2024-10-29T14:55:57.000Z,1369353,2190999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",또술사라니,Shaman,Restoration,healer,Azshara
6,309.1,303641260,9,City of Threads,2024-10-29T14:55:57.000Z,1369353,2190999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",강탑,Evoker,Augmentation,dps,Azshara
6,309.1,303641260,9,City of Threads,2024-10-29T14:55:57.000Z,1369353,2190999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",구타와폭군,Demon Hunter,Havoc,dps,Azshara
6,309.1,303641260,9,City of Threads,2024-10-29T14:55:57.000Z,1369353,2190999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",미터기스나이퍼,Mage,Frost,dps,Azshara
7,309,303391732,9,City of Threads,2024-10-28T09:31:10.000Z,1373463,2190999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",멋진틀니딱딱,Paladin,Protection,tank,Hyjal
7,309,303391732,9,City of Threads,2024-10-28T09:31:10.000Z,1373463,2190999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Anon644E9D4,Druid,Restoration,healer,Anonymous
7,309,303391732,9,City of Threads,2024-10-28T09:31:10.000Z,1373463,2190999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",주황쓰레기,Druid,Balance,dps,Azshara
7,309,303391732,9,City of Threads,2024-10-28T09:31:10.000Z,1373463,2190999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",포포아부지-223499754,Paladin,Retribution,dps,Azshara
7,309,303391732,9,City of Threads,2024-10-28T09:31:10.000Z,1373463,2190999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",뻐이적,Shaman,Enhancement,dps,Azshara
