rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,308943153,9,City of Threads,2024-11-24T15:53:30.000Z,1182299,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Calcium,Warlock,Demonology,dps,Hyjal
1,310,308943153,9,City of Threads,2024-11-24T15:53:30.000Z,1182299,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",피사소울,Shaman,Enhancement,dps,Hellscream
1,310,308943153,9,City of Threads,2024-11-24T15:53:30.000Z,1182299,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",한번만기사,Paladin,Protection,tank,Hyjal
1,310,308943153,9,City of Threads,2024-11-24T15:53:30.000Z,1182299,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",뀨양,Priest,Discipline,healer,Azshara
1,310,308943153,9,City of Threads,2024-11-24T15:53:30.000Z,1182299,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",늙고병든랄맨,Evoker,Devastation,dps,Hyjal
2,310,308997391,9,City of Threads,2024-11-24T21:48:28.000Z,1291563,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",좋으면서튕기기는,Paladin,Holy,healer,Deathwing
2,310,308997391,9,City of Threads,2024-11-24T21:48:28.000Z,1291563,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",고양이가고양해,Shaman,Enhancement,dps,Azshara
2,310,308997391,9,City of Threads,2024-11-24T21:48:28.000Z,1291563,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",매화삼십육검,Rogue,Assassination,dps,Azshara
2,310,308997391,9,City of Threads,2024-11-24T21:48:28.000Z,1291563,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",환상전,Warrior,Arms,dps,Azshara
2,310,308997391,9,City of Threads,2024-11-24T21:48:28.000Z,1291563,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",모카크림치즈,Paladin,Protection,tank,Azshara
3,309.5,296086427,9,City of Threads,2024-09-30T15:18:22.000Z,1341961,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",스왑드루,Druid,Balance,dps,Azshara
3,309.5,296086427,9,City of Threads,2024-09-30T15:18:22.000Z,1341961,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Luvcats,Demon Hunter,Havoc,dps,Azshara
3,309.5,296086427,9,City of Threads,2024-09-30T15:18:22.000Z,1341961,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",꿍디븝사,Mage,Arcane,dps,Azshara
3,309.5,296086427,9,City of Threads,2024-09-30T15:18:22.000Z,1341961,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",느낌가죽,Druid,Guardian,tank,Azshara
3,309.5,296086427,9,City of Threads,2024-09-30T15:18:22.000Z,1341961,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",그잡채,Shaman,Restoration,healer,Azshara
4,309.1,309177095,9,City of Threads,2024-11-26T03:55:05.000Z,1365791,2190999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",맛있는시간,Demon Hunter,Havoc,dps,Azshara
4,309.1,309177095,9,City of Threads,2024-11-26T03:55:05.000Z,1365791,2190999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",이혼사유,Paladin,Protection,tank,Azshara
4,309.1,309177095,9,City of Threads,2024-11-26T03:55:05.000Z,1365791,2190999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",솔파게티,Druid,Balance,dps,Azshara
4,309.1,309177095,9,City of Threads,2024-11-26T03:55:05.000Z,1365791,2190999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",유토니,Mage,Frost,dps,Azshara
4,309.1,309177095,9,City of Threads,2024-11-26T03:55:05.000Z,1365791,2190999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",젠젠,Shaman,Restoration,healer,Azshara
5,309.1,309224898,9,City of Threads,2024-11-26T14:31:45.000Z,1366657,2190999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Abib,Priest,Discipline,healer,Azshara
5,309.1,309224898,9,City of Threads,2024-11-26T14:31:45.000Z,1366657,2190999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",살려만주셈,Paladin,Retribution,dps,Azshara
5,309.1,309224898,9,City of Threads,2024-11-26T14:31:45.000Z,1366657,2190999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",후려채기,Monk,Windwalker,dps,Azshara
5,309.1,309224898,9,City of Threads,2024-11-26T14:31:45.000Z,1366657,2190999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",냉기모띠,Mage,Frost,dps,Azshara
5,309.1,309224898,9,City of Threads,2024-11-26T14:31:45.000Z,1366657,2190999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",빵빠링,Paladin,Protection,tank,Azshara
6,308.9,309230203,9,City of Threads,2024-11-26T11:51:27.000Z,1378710,2190999,2,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",지스핑,Paladin,Protection,tank,Azshara
