rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,303442621,9,City of Threads,2024-10-27T14:29:14.000Z,1288067,2190999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",龍彥-143448859,Evoker,Augmentation,dps,Sundown Marsh
1,310,303442621,9,City of Threads,2024-10-27T14:29:14.000Z,1288067,2190999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Flows,Warrior,Protection,tank,Shadowmoon
1,310,303442621,9,City of Threads,2024-10-27T14:29:14.000Z,1288067,2190999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",肛莖,Death Knight,Frost,dps,Arthas
1,310,303442621,9,City of Threads,2024-10-27T14:29:14.000Z,1288067,2190999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Miris,Shaman,Restoration,healer,Whisperwind
1,310,303442621,9,City of Threads,2024-10-27T14:29:14.000Z,1288067,2190999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",AnonDB13990,Shaman,Enhancement,dps,Anonymous
2,309.1,303423549,9,City of Threads,2024-10-28T13:51:32.000Z,1368924,2190999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",毒乂藥,Paladin,Retribution,dps,Silverwing Hold
2,309.1,303423549,9,City of Threads,2024-10-28T13:51:32.000Z,1368924,2190999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",地獄殺陣,Warrior,Fury,dps,Sundown Marsh
2,309.1,303423549,9,City of Threads,2024-10-28T13:51:32.000Z,1368924,2190999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",錘爆你心肝,Shaman,Restoration,healer,Silverwing Hold
2,309.1,303423549,9,City of Threads,2024-10-28T13:51:32.000Z,1368924,2190999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",哈姆哈姆,Demon Hunter,Vengeance,tank,Nightsong
2,309.1,303423549,9,City of Threads,2024-10-28T13:51:32.000Z,1368924,2190999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",熊咪,Death Knight,Frost,dps,Bleeding Hollow
3,308.9,303470283,9,City of Threads,2024-10-28T17:56:49.000Z,1376176,2190999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",丹丹三號,Shaman,Elemental,dps,Dragonmaw
3,308.9,303470283,9,City of Threads,2024-10-28T17:56:49.000Z,1376176,2190999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",少說話,Shaman,Elemental,dps,Shadowmoon
3,308.9,303470283,9,City of Threads,2024-10-28T17:56:49.000Z,1376176,2190999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",只差億點點,Demon Hunter,Vengeance,tank,Crystalpine Stinger
3,308.9,303470283,9,City of Threads,2024-10-28T17:56:49.000Z,1376176,2190999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",奧汀玟玟,Warlock,Destruction,dps,Wrathbringer
3,308.9,303470283,9,City of Threads,2024-10-28T17:56:49.000Z,1376176,2190999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Chillevoker,Evoker,Preservation,healer,Zealot Blade
4,308.7,302927596,9,City of Threads,2024-10-26T12:08:25.000Z,1390708,2190999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",台戰系玩家,Death Knight,Unholy,dps,Arthas
4,308.7,302927596,9,City of Threads,2024-10-26T12:08:25.000Z,1390708,2190999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Bridetiffany,Paladin,Retribution,dps,Silverwing Hold
4,308.7,302927596,9,City of Threads,2024-10-26T12:08:25.000Z,1390708,2190999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Auntie,Paladin,Protection,tank,Spirestone
4,308.7,302927596,9,City of Threads,2024-10-26T12:08:25.000Z,1390708,2190999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",劍仙,Rogue,Assassination,dps,Frostmane
4,308.7,302927596,9,City of Threads,2024-10-26T12:08:25.000Z,1390708,2190999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",淺若初雪,Shaman,Restoration,healer,Frostmane
5,308.2,302881828,9,City of Threads,2024-10-26T09:56:54.000Z,1419886,2190999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",天上可可,Shaman,Elemental,dps,Light's Hope
5,308.2,302881828,9,City of Threads,2024-10-26T09:56:54.000Z,1419886,2190999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",零零,Evoker,Devastation,dps,Shadowmoon
5,308.2,302881828,9,City of Threads,2024-10-26T09:56:54.000Z,1419886,2190999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",哈贝特洛特,Druid,Guardian,tank,Krol Blade
5,308.2,302881828,9,City of Threads,2024-10-26T09:56:54.000Z,1419886,2190999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",還敢暈船阿,Mage,Frost,dps,Shadowmoon
5,308.2,302881828,9,City of Threads,2024-10-26T09:56:54.000Z,1419886,2190999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",狸貍芙妮,Priest,Discipline,healer,Quel'dorei
6,308.2,302426576,9,City of Threads,2024-10-24T04:50:33.000Z,1421503,2190999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Coinstank,Monk,Mistweaver,healer,Bleeding Hollow
6,308.2,302426576,9,City of Threads,2024-10-24T04:50:33.000Z,1421503,2190999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",可波,Druid,Balance,dps,Frostmane
6,308.2,302426576,9,City of Threads,2024-10-24T04:50:33.000Z,1421503,2190999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",呆呆豬寶,Paladin,Retribution,dps,Shadowmoon
6,308.2,302426576,9,City of Threads,2024-10-24T04:50:33.000Z,1421503,2190999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Yamaybmy,Demon Hunter,Vengeance,tank,Menethil
6,308.2,302426576,9,City of Threads,2024-10-24T04:50:33.000Z,1421503,2190999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",嬉皮-228281417,Shaman,Elemental,dps,Frostmane
7,307.9,303160084,9,City of Threads,2024-10-26T17:24:36.000Z,1436368,2190999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",驢大行貨,Druid,Restoration,healer,World Tree
7,307.9,303160084,9,City of Threads,2024-10-26T17:24:36.000Z,1436368,2190999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",寂靜的冬天,Rogue,Outlaw,dps,Dragonmaw
