rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,308.7,307312603,9,City of Threads,2024-11-15T15:44:33.000Z,1393246,2190999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Vegaga,Mage,Frost,dps,Frostmane
1,308.7,307312603,9,City of Threads,2024-11-15T15:44:33.000Z,1393246,2190999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",熊喵人,Shaman,Enhancement,dps,Arthas
1,308.7,307312603,9,City of Threads,2024-11-15T15:44:33.000Z,1393246,2190999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",贈送飲品一杯,Druid,Balance,dps,Hellscream
1,308.7,307312603,9,City of Threads,2024-11-15T15:44:33.000Z,1393246,2190999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Nyx,Priest,Discipline,healer,Frostmane
1,308.7,307312603,9,City of Threads,2024-11-15T15:44:33.000Z,1393246,2190999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",胖熊君,Druid,Guardian,tank,Chillwind Point
2,307.7,307470456,9,City of Threads,2024-11-16T08:43:19.000Z,1446498,2190999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",法克悠爾瑪德,Paladin,Retribution,dps,Hellscream
2,307.7,307470456,9,City of Threads,2024-11-16T08:43:19.000Z,1446498,2190999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",徘徊祭月,Shaman,Restoration,healer,Chillwind Point
2,307.7,307470456,9,City of Threads,2024-11-16T08:43:19.000Z,1446498,2190999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Hanplus,Warrior,Protection,tank,Chillwind Point
2,307.7,307470456,9,City of Threads,2024-11-16T08:43:19.000Z,1446498,2190999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",烈焰公爵,Death Knight,Frost,dps,Silverwing Hold
2,307.7,307470456,9,City of Threads,2024-11-16T08:43:19.000Z,1446498,2190999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Allenshaman,Shaman,Enhancement,dps,Chillwind Point
3,307.7,293087053,9,City of Threads,2024-09-24T20:35:11.000Z,1450531,2190999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",笑笑努,Monk,Windwalker,dps,Sundown Marsh
3,307.7,293087053,9,City of Threads,2024-09-24T20:35:11.000Z,1450531,2190999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",君炎,Demon Hunter,Vengeance,tank,Chillwind Point
3,307.7,293087053,9,City of Threads,2024-09-24T20:35:11.000Z,1450531,2190999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",海伯特,Shaman,Restoration,healer,Zealot Blade
3,307.7,293087053,9,City of Threads,2024-09-24T20:35:11.000Z,1450531,2190999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",踢宮北武波比,Death Knight,Frost,dps,Chillwind Point
3,307.7,293087053,9,City of Threads,2024-09-24T20:35:11.000Z,1450531,2190999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",藥膏潮了,Shaman,Enhancement,dps,Arthas
4,307.6,307181150,9,City of Threads,2024-11-14T17:06:06.000Z,1453130,2190999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Garuruworgen,Warrior,Fury,dps,Shadowmoon
4,307.6,307181150,9,City of Threads,2024-11-14T17:06:06.000Z,1453130,2190999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",裝狠,Warlock,Destruction,dps,Wrathbringer
4,307.6,307181150,9,City of Threads,2024-11-14T17:06:06.000Z,1453130,2190999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",仙劍泡芙傳,Death Knight,Blood,tank,World Tree
4,307.6,307181150,9,City of Threads,2024-11-14T17:06:06.000Z,1453130,2190999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",有種打我阿,Shaman,Restoration,healer,Skywall
4,307.6,307181150,9,City of Threads,2024-11-14T17:06:06.000Z,1453130,2190999,2,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",椒鹽唐老鴨,Paladin,Retribution,dps,Light's Hope
