rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,309.9,297598142,9,City of Threads,2024-10-04T11:26:39.000Z,1321913,2190999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",已放棄治療,Shaman,Restoration,healer,Crystalpine Stinger
1,309.9,297598142,9,City of Threads,2024-10-04T11:26:39.000Z,1321913,2190999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Kaisiang,Demon Hunter,Havoc,dps,Wrathbringer
1,309.9,297598142,9,City of Threads,2024-10-04T11:26:39.000Z,1321913,2190999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",一夜霧雨丶,Demon Hunter,Vengeance,tank,Sundown Marsh
1,309.9,297598142,9,City of Threads,2024-10-04T11:26:39.000Z,1321913,2190999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Niglegs,Death Knight,Frost,dps,Sundown Marsh
1,309.9,297598142,9,City of Threads,2024-10-04T11:26:39.000Z,1321913,2190999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",淺若清月-228722305,Paladin,Retribution,dps,Sundown Marsh
2,307.1,298454426,9,City of Threads,2024-10-07T16:12:24.000Z,1485511,2190999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",鹹魚王,Shaman,Enhancement,dps,Silverwing Hold
2,307.1,298454426,9,City of Threads,2024-10-07T16:12:24.000Z,1485511,2190999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",污地可耕,Warlock,Affliction,dps,Arygos
2,307.1,298454426,9,City of Threads,2024-10-07T16:12:24.000Z,1485511,2190999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Bababalloonn-227317477,Shaman,Restoration,healer,Wrathbringer
2,307.1,298454426,9,City of Threads,2024-10-07T16:12:24.000Z,1485511,2190999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",楠楓-227956722,Demon Hunter,Vengeance,tank,World Tree
2,307.1,298454426,9,City of Threads,2024-10-07T16:12:24.000Z,1485511,2190999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Xiomara,Death Knight,Frost,dps,Nightsong
3,307,298585886,9,City of Threads,2024-10-08T04:46:48.000Z,1487685,2190999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Désir,Shaman,Restoration,healer,Shadowmoon
3,307,298585886,9,City of Threads,2024-10-08T04:46:48.000Z,1487685,2190999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",阿人,Mage,Frost,dps,Sundown Marsh
3,307,298585886,9,City of Threads,2024-10-08T04:46:48.000Z,1487685,2190999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Yyme,Warrior,Protection,tank,Sundown Marsh
3,307,298585886,9,City of Threads,2024-10-08T04:46:48.000Z,1487685,2190999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Pyrofrost,Death Knight,Frost,dps,Sundown Marsh
3,307,298585886,9,City of Threads,2024-10-08T04:46:48.000Z,1487685,2190999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Luxis,Death Knight,Unholy,dps,Shadowmoon
4,306.6,309527099,9,City of Threads,2024-11-28T18:34:39.000Z,1510904,2190999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",醋飯天條,Paladin,Retribution,dps,Zealot Blade
4,306.6,309527099,9,City of Threads,2024-11-28T18:34:39.000Z,1510904,2190999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",鳩巫,Demon Hunter,Havoc,dps,Hellscream
4,306.6,309527099,9,City of Threads,2024-11-28T18:34:39.000Z,1510904,2190999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Flori,Shaman,Restoration,healer,Frostmane
4,306.6,309527099,9,City of Threads,2024-11-28T18:34:39.000Z,1510904,2190999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",哈士吉,Monk,Brewmaster,tank,Hellscream
4,306.6,309527099,9,City of Threads,2024-11-28T18:34:39.000Z,1510904,2190999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",家予靈,Rogue,Assassination,dps,Icecrown
5,306.3,296773909,9,City of Threads,2024-10-07T18:11:17.000Z,1528485,2190999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Allintesla,Rogue,Assassination,dps,Shadowmoon
5,306.3,296773909,9,City of Threads,2024-10-07T18:11:17.000Z,1528485,2190999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",曉曉天,Priest,Discipline,healer,Sundown Marsh
