rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,308647008,9,City of Threads,2024-11-22T22:53:50.000Z,1164009,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Rinkachichi,Shaman,Enhancement,dps,Illidan
1,310,308647008,9,City of Threads,2024-11-22T22:53:50.000Z,1164009,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Frsc,Druid,Balance,dps,Illidan
1,310,308647008,9,City of Threads,2024-11-22T22:53:50.000Z,1164009,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Mangopit,Hunter,Survival,dps,Area 52
1,310,308647008,9,City of Threads,2024-11-22T22:53:50.000Z,1164009,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Fotmabuser,Priest,Discipline,healer,Illidan
1,310,308647008,9,City of Threads,2024-11-22T22:53:50.000Z,1164009,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Derz,Paladin,Protection,tank,Kil'jaeden
2,310,308544477,9,City of Threads,2024-11-21T21:08:33.000Z,1195998,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Taikawaititi,Death Knight,Frost,dps,Azralon
2,310,308544477,9,City of Threads,2024-11-21T21:08:33.000Z,1195998,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Brightshadxw,Paladin,Protection,tank,Azralon
2,310,308544477,9,City of Threads,2024-11-21T21:08:33.000Z,1195998,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Contender,Rogue,Outlaw,dps,Illidan
2,310,308544477,9,City of Threads,2024-11-21T21:08:33.000Z,1195998,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Kalfinn,Shaman,Enhancement,dps,Illidan
2,310,308544477,9,City of Threads,2024-11-21T21:08:33.000Z,1195998,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Böizinhä,Priest,Discipline,healer,Azralon
3,310,308544820,9,City of Threads,2024-11-22T07:02:38.000Z,1197332,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Witnessmelol,Evoker,Augmentation,dps,Frostmourne
3,310,308544820,9,City of Threads,2024-11-22T07:02:38.000Z,1197332,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Visherademon,Demon Hunter,Vengeance,tank,Frostmourne
3,310,308544820,9,City of Threads,2024-11-22T07:02:38.000Z,1197332,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Natori,Priest,Discipline,healer,Frostmourne
3,310,308544820,9,City of Threads,2024-11-22T07:02:38.000Z,1197332,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Elementalsin,Shaman,Enhancement,dps,Barthilas
3,310,308544820,9,City of Threads,2024-11-22T07:02:38.000Z,1197332,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Îl,Paladin,Retribution,dps,Frostmourne
4,310,294987029,9,City of Threads,2024-09-24T22:01:45.000Z,1199771,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Qbgosa,Evoker,Augmentation,dps,Mal'Ganis
4,310,294987029,9,City of Threads,2024-09-24T22:01:45.000Z,1199771,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Linccstyle,Warrior,Fury,dps,Sargeras
4,310,294987029,9,City of Threads,2024-09-24T22:01:45.000Z,1199771,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Keenlol,Priest,Discipline,healer,Thrall
4,310,294987029,9,City of Threads,2024-09-24T22:01:45.000Z,1199771,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Stabbycatto-211811620,Rogue,Assassination,dps,Tichondrius
4,310,294987029,9,City of Threads,2024-09-24T22:01:45.000Z,1199771,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Equinoxmonk-226457117,Monk,Brewmaster,tank,Sargeras
5,310,308834271,9,City of Threads,2024-11-23T23:05:31.000Z,1202277,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Oficìal,Paladin,Retribution,dps,Area 52
5,310,308834271,9,City of Threads,2024-11-23T23:05:31.000Z,1202277,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Priestnews,Priest,Discipline,healer,Hyjal
5,310,308834271,9,City of Threads,2024-11-23T23:05:31.000Z,1202277,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Toopie,Monk,Brewmaster,tank,Exodar
5,310,308834271,9,City of Threads,2024-11-23T23:05:31.000Z,1202277,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Jackpott,Shaman,Enhancement,dps,Hyjal
5,310,308834271,9,City of Threads,2024-11-23T23:05:31.000Z,1202277,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",ßloodd,Death Knight,Frost,dps,Area 52
6,310,308389035,9,City of Threads,2024-11-21T04:55:38.000Z,1236599,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Shadeswipe,Druid,Balance,dps,Area 52
6,310,308389035,9,City of Threads,2024-11-21T04:55:38.000Z,1236599,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Docbop,Paladin,Protection,tank,Stormrage
6,310,308389035,9,City of Threads,2024-11-21T04:55:38.000Z,1236599,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Aquamangue,Warrior,Fury,dps,Saurfang
6,310,308389035,9,City of Threads,2024-11-21T04:55:38.000Z,1236599,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Goldiebombs,Hunter,Survival,dps,Stormrage
6,310,308389035,9,City of Threads,2024-11-21T04:55:38.000Z,1236599,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Demoli,Paladin,Holy,healer,Ragnaros
7,310,294987029,9,City of Threads,2024-09-24T21:06:17.000Z,1238292,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Qbgosa,Evoker,Augmentation,dps,Mal'Ganis
7,310,294987029,9,City of Threads,2024-09-24T21:06:17.000Z,1238292,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Linccstyle,Warrior,Fury,dps,Sargeras
7,310,294987029,9,City of Threads,2024-09-24T21:06:17.000Z,1238292,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Keenlol,Priest,Discipline,healer,Thrall
7,310,294987029,9,City of Threads,2024-09-24T21:06:17.000Z,1238292,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Stabbycatto-211811620,Rogue,Assassination,dps,Tichondrius
7,310,294987029,9,City of Threads,2024-09-24T21:06:17.000Z,1238292,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Equinoxmonk-226457117,Monk,Brewmaster,tank,Sargeras
8,310,308396855,9,City of Threads,2024-11-21T06:37:01.000Z,1249829,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Feeshbool,Druid,Feral,dps,Alterac Mountains
8,310,308396855,9,City of Threads,2024-11-21T06:37:01.000Z,1249829,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Gubonjajadil,Demon Hunter,Vengeance,tank,Frostmourne
8,310,308396855,9,City of Threads,2024-11-21T06:37:01.000Z,1249829,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Sammiiee,Shaman,Enhancement,dps,Greymane
8,310,308396855,9,City of Threads,2024-11-21T06:37:01.000Z,1249829,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Deîtÿ,Priest,Discipline,healer,Illidan
8,310,308396855,9,City of Threads,2024-11-21T06:37:01.000Z,1249829,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Olafr,Warrior,Fury,dps,Illidan
9,310,309244962,9,City of Threads,2024-11-24T18:37:37.000Z,1259798,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Deadwar,Death Knight,Frost,dps,Stormrage
9,310,309244962,9,City of Threads,2024-11-24T18:37:37.000Z,1259798,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Fyalanda,Paladin,Protection,tank,Area 52
9,310,309244962,9,City of Threads,2024-11-24T18:37:37.000Z,1259798,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Shanola,Warrior,Fury,dps,Area 52
9,310,309244962,9,City of Threads,2024-11-24T18:37:37.000Z,1259798,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Kukayouto,Paladin,Holy,healer,Area 52
9,310,309244962,9,City of Threads,2024-11-24T18:37:37.000Z,1259798,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Aimine,Hunter,Survival,dps,Area 52
10,310,308308841,9,City of Threads,2024-11-20T17:30:49.000Z,1261153,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Anamemana,Priest,Discipline,healer,Frostmourne
10,310,308308841,9,City of Threads,2024-11-20T17:30:49.000Z,1261153,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Attheña,Death Knight,Unholy,dps,Frostmourne
10,310,308308841,9,City of Threads,2024-11-20T17:30:49.000Z,1261153,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Celestielz,Paladin,Protection,tank,Frostmourne
10,310,308308841,9,City of Threads,2024-11-20T17:30:49.000Z,1261153,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Barogonn,Evoker,Augmentation,dps,Illidan
10,310,308308841,9,City of Threads,2024-11-20T17:30:49.000Z,1261153,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Poshmeow,Warrior,Arms,dps,Frostmourne
11,310,309214133,9,City of Threads,2024-11-23T08:06:12.000Z,1266100,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Lightlad,Paladin,Retribution,dps,Mal'Ganis
11,310,309214133,9,City of Threads,2024-11-23T08:06:12.000Z,1266100,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Dustinhp,Paladin,Protection,tank,Mal'Ganis
11,310,309214133,9,City of Threads,2024-11-23T08:06:12.000Z,1266100,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Wainr,Warrior,Fury,dps,Mal'Ganis
11,310,309214133,9,City of Threads,2024-11-23T08:06:12.000Z,1266100,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Bluesound,Shaman,Restoration,healer,Mal'Ganis
11,310,309214133,9,City of Threads,2024-11-23T08:06:12.000Z,1266100,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Alphrogue,Rogue,Assassination,dps,Mal'Ganis
12,310,308580007,9,City of Threads,2024-11-21T22:12:37.000Z,1285162,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Halloudidh,Demon Hunter,Havoc,dps,Sargeras
12,310,308580007,9,City of Threads,2024-11-21T22:12:37.000Z,1285162,2190999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Nesian,Paladin,Retribution,dps,Hyjal
