rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,300521801,9,City of Threads,2024-10-15T22:46:03.000Z,1231410,2190999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Activefather,Evoker,Augmentation,dps,Mal'Ganis
1,310,300521801,9,City of Threads,2024-10-15T22:46:03.000Z,1231410,2190999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Suruyo,Druid,Restoration,healer,Thrall
1,310,300521801,9,City of Threads,2024-10-15T22:46:03.000Z,1231410,2190999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Darkman,Death Knight,Frost,dps,Mal'Ganis
1,310,300521801,9,City of Threads,2024-10-15T22:46:03.000Z,1231410,2190999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Warensemble,Warrior,Protection,tank,Area 52
1,310,300521801,9,City of Threads,2024-10-15T22:46:03.000Z,1231410,2190999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Catdealer-228139985,Paladin,Retribution,dps,Moon Guard
2,310,293035903,9,City of Threads,2024-10-16T00:58:10.000Z,1247127,2190999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Tranqx,Death Knight,Blood,tank,Drak'thul
2,310,293035903,9,City of Threads,2024-10-16T00:58:10.000Z,1247127,2190999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Promathia,Paladin,Retribution,dps,Drak'thul
2,310,293035903,9,City of Threads,2024-10-16T00:58:10.000Z,1247127,2190999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Antipæn,Paladin,Retribution,dps,Skywall
2,310,293035903,9,City of Threads,2024-10-16T00:58:10.000Z,1247127,2190999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Dalt,Paladin,Retribution,dps,Drak'thul
2,310,293035903,9,City of Threads,2024-10-16T00:58:10.000Z,1247127,2190999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Ark,Shaman,Restoration,healer,Terenas
3,310,300932141,9,City of Threads,2024-10-17T19:07:31.000Z,1254367,2190999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Taynne,Paladin,Retribution,dps,Area 52
3,310,300932141,9,City of Threads,2024-10-17T19:07:31.000Z,1254367,2190999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Miggiesmalls,Warlock,Affliction,dps,Illidan
3,310,300932141,9,City of Threads,2024-10-17T19:07:31.000Z,1254367,2190999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Tlotlem,Shaman,Restoration,healer,Illidan
3,310,300932141,9,City of Threads,2024-10-17T19:07:31.000Z,1254367,2190999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Zujirdk,Death Knight,Frost,dps,Sargeras
3,310,300932141,9,City of Threads,2024-10-17T19:07:31.000Z,1254367,2190999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Sheildbob,Warrior,Protection,tank,Illidan
