rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,305906052,9,City of Threads,2024-11-08T20:50:23.000Z,1169634,2190999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Agrro,Paladin,Retribution,dps,Perenolde
1,310,305906052,9,City of Threads,2024-11-08T20:50:23.000Z,1169634,2190999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Sparklght,Paladin,Retribution,dps,Stormrage
1,310,305906052,9,City of Threads,2024-11-08T20:50:23.000Z,1169634,2190999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Berundy,Warrior,Protection,tank,Stormrage
1,310,305906052,9,City of Threads,2024-11-08T20:50:23.000Z,1169634,2190999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Daktta-230744979,Shaman,Elemental,dps,Stormrage
1,310,305906052,9,City of Threads,2024-11-08T20:50:23.000Z,1169634,2190999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Neriini-230744980,Shaman,Restoration,healer,Stormrage
2,310,306142078,9,City of Threads,2024-11-09T20:52:45.000Z,1183908,2190999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Backinbizniz,Shaman,Restoration,healer,Thrall
2,310,306142078,9,City of Threads,2024-11-09T20:52:45.000Z,1183908,2190999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Glaxdk,Death Knight,Blood,tank,Illidan
2,310,306142078,9,City of Threads,2024-11-09T20:52:45.000Z,1183908,2190999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Sinon,Hunter,Beast Mastery,dps,Stormrage
2,310,306142078,9,City of Threads,2024-11-09T20:52:45.000Z,1183908,2190999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Sergiojeger,Paladin,Retribution,dps,Illidan
2,310,306142078,9,City of Threads,2024-11-09T20:52:45.000Z,1183908,2190999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Boomiegap,Shaman,Enhancement,dps,Illidan
