rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,297515021,9,City of Threads,2024-10-04T00:46:46.000Z,1289360,2190999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Halcÿon,Mage,Frost,dps,Sargeras
1,310,297515021,9,City of Threads,2024-10-04T00:46:46.000Z,1289360,2190999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Craziysad,Death Knight,Frost,dps,Zul'jin
1,310,297515021,9,City of Threads,2024-10-04T00:46:46.000Z,1289360,2190999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Lemmecook,Death Knight,Frost,dps,Area 52
1,310,297515021,9,City of Threads,2024-10-04T00:46:46.000Z,1289360,2190999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Tyrayla,Shaman,Restoration,healer,Mal'Ganis
1,310,297515021,9,City of Threads,2024-10-04T00:46:46.000Z,1289360,2190999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Chickenjoe,Warrior,Protection,tank,Illidan
2,310,309293915,9,City of Threads,2024-11-26T22:55:41.000Z,1297040,2190999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Cleancode,Paladin,Retribution,dps,Ragnaros
2,310,309293915,9,City of Threads,2024-11-26T22:55:41.000Z,1297040,2190999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Slàydèr,Warlock,Demonology,dps,Ragnaros
2,310,309293915,9,City of Threads,2024-11-26T22:55:41.000Z,1297040,2190999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Korolova,Shaman,Restoration,healer,Ragnaros
2,310,309293915,9,City of Threads,2024-11-26T22:55:41.000Z,1297040,2190999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Carníel,Priest,Shadow,dps,Ragnaros
2,310,309293915,9,City of Threads,2024-11-26T22:55:41.000Z,1297040,2190999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Sonipyh,Warrior,Protection,tank,Ragnaros
3,310,297349422,9,City of Threads,2024-10-03T09:11:40.000Z,1317104,2190999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Iribela,Warlock,Destruction,dps,Frostmourne
3,310,297349422,9,City of Threads,2024-10-03T09:11:40.000Z,1317104,2190999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Yoppy,Shaman,Restoration,healer,Frostmourne
3,310,297349422,9,City of Threads,2024-10-03T09:11:40.000Z,1317104,2190999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Ráptured-119249530,Warrior,Protection,tank,Frostmourne
3,310,297349422,9,City of Threads,2024-10-03T09:11:40.000Z,1317104,2190999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Iceyboi,Mage,Frost,dps,Frostmourne
3,310,297349422,9,City of Threads,2024-10-03T09:11:40.000Z,1317104,2190999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Bígbully-227300488,Warrior,Fury,dps,Illidan
