rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,303656492,9,Grim Batol,2024-10-29T16:32:30.000Z,1067450,2130999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Cryska,Paladin,Protection,tank,Al'ar
1,310,303656492,9,Grim Batol,2024-10-29T16:32:30.000Z,1067450,2130999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",止戈流呀,Demon Hunter,Havoc,dps,The Golden Plains
1,310,303656492,9,Grim Batol,2024-10-29T16:32:30.000Z,1067450,2130999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",苏暖暖,Evoker,Preservation,healer,Bronze Dragonflight
1,310,303656492,9,Grim Batol,2024-10-29T16:32:30.000Z,1067450,2130999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",陈茵丷,Hunter,Survival,dps,Angrathar
1,310,303656492,9,Grim Batol,2024-10-29T16:32:30.000Z,1067450,2130999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Lmmsm,Shaman,Enhancement,dps,Bronze Dragonflight
2,310,306079815,9,Grim Batol,2024-10-26T06:24:13.000Z,1171034,2130999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",殡葬师,Rogue,Assassination,dps,Rhonin
2,310,306079815,9,Grim Batol,2024-10-26T06:24:13.000Z,1171034,2130999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",半夏的星空,Rogue,Assassination,dps,The Great Sea
2,310,306079815,9,Grim Batol,2024-10-26T06:24:13.000Z,1171034,2130999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",画僧逗奶,Druid,Restoration,healer,Lordaeron
2,310,306079815,9,Grim Batol,2024-10-26T06:24:13.000Z,1171034,2130999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",捷卡林娜,Demon Hunter,Vengeance,tank,The Great Sea
2,310,306079815,9,Grim Batol,2024-10-26T06:24:13.000Z,1171034,2130999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",六丨妹,Shaman,Enhancement,dps,Barrens
3,310,303207962,9,Grim Batol,2024-10-27T15:59:06.000Z,1194616,2130999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Changqin,Warrior,Protection,tank,Al'ar
3,310,303207962,9,Grim Batol,2024-10-27T15:59:06.000Z,1194616,2130999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Gulaorousm,Shaman,Restoration,healer,Burning Blade
3,310,303207962,9,Grim Batol,2024-10-27T15:59:06.000Z,1194616,2130999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",難逃,Mage,Fire,dps,Isillien
3,310,303207962,9,Grim Batol,2024-10-27T15:59:06.000Z,1194616,2130999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",玄天机的,Hunter,Survival,dps,Deathwing
3,310,303207962,9,Grim Batol,2024-10-27T15:59:06.000Z,1194616,2130999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",国足大兄弟,Paladin,Retribution,dps,Lich King
4,310,306079815,9,Grim Batol,2024-10-26T06:01:34.000Z,1279922,2130999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",殡葬师,Rogue,Assassination,dps,Rhonin
