rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,301388518,9,Grim Batol,2024-10-19T16:29:13.000Z,1183071,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",杜小尧,Rogue,Assassination,dps,Holy Chanter
1,310,301388518,9,Grim Batol,2024-10-19T16:29:13.000Z,1183071,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",丶十九,Death Knight,Frost,dps,Argus
1,310,301388518,9,Grim Batol,2024-10-19T16:29:13.000Z,1183071,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Tym,Warrior,Protection,tank,The Great Sea
1,310,301388518,9,Grim Batol,2024-10-19T16:29:13.000Z,1183071,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",爱莉希雅,Paladin,Retribution,dps,Aessina
1,310,301388518,9,Grim Batol,2024-10-19T16:29:13.000Z,1183071,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Btrueno,Shaman,Restoration,healer,Blanchard
2,310,301382260,9,Grim Batol,2024-10-19T16:03:52.000Z,1199439,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",心跳,Mage,Frost,dps,Alterac Mountains
2,310,301382260,9,Grim Batol,2024-10-19T16:03:52.000Z,1199439,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",丶十九,Death Knight,Frost,dps,Argus
2,310,301382260,9,Grim Batol,2024-10-19T16:03:52.000Z,1199439,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Tym,Warrior,Protection,tank,The Great Sea
2,310,301382260,9,Grim Batol,2024-10-19T16:03:52.000Z,1199439,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",爱莉希雅,Paladin,Retribution,dps,Aessina
2,310,301382260,9,Grim Batol,2024-10-19T16:03:52.000Z,1199439,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",骠骑司马,Shaman,Restoration,healer,Flame Crest
3,309.6,301120441,9,Grim Batol,2024-10-18T17:20:51.000Z,1298707,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",嫩牛,Paladin,Retribution,dps,Pandaren
3,309.6,301120441,9,Grim Batol,2024-10-18T17:20:51.000Z,1298707,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",暗影熊灬,Priest,Discipline,healer,Valley of Kings
3,309.6,301120441,9,Grim Batol,2024-10-18T17:20:51.000Z,1298707,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Bouroullec,Druid,Balance,dps,Pandaren
3,309.6,301120441,9,Grim Batol,2024-10-18T17:20:51.000Z,1298707,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",丹妮利思,Paladin,Retribution,dps,Valley of Kings
3,309.6,301120441,9,Grim Batol,2024-10-18T17:20:51.000Z,1298707,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",奶油披萨屑,Paladin,Protection,tank,Anzu
4,309.5,301056470,9,Grim Batol,2024-10-18T10:50:41.000Z,1305824,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Blinkc,Druid,Guardian,tank,Rhonin
4,309.5,301056470,9,Grim Batol,2024-10-18T10:50:41.000Z,1305824,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",霸气春哥丶,Warrior,Fury,dps,Rhonin
4,309.5,301056470,9,Grim Batol,2024-10-18T10:50:41.000Z,1305824,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",古米,Priest,Discipline,healer,Rhonin
4,309.5,301056470,9,Grim Batol,2024-10-18T10:50:41.000Z,1305824,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",哟吼啦呀,Rogue,Assassination,dps,Rhonin
4,309.5,301056470,9,Grim Batol,2024-10-18T10:50:41.000Z,1305824,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Ncp,Paladin,Retribution,dps,Rhonin
5,309.4,300899265,9,Grim Batol,2024-10-17T18:01:30.000Z,1313766,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",狩魂师丶一修,Hunter,Survival,dps,Al'ar
5,309.4,300899265,9,Grim Batol,2024-10-17T18:01:30.000Z,1313766,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",白城,Paladin,Retribution,dps,Grim Batol
5,309.4,300899265,9,Grim Batol,2024-10-17T18:01:30.000Z,1313766,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",看我头像牛吗,Druid,Guardian,tank,Grim Batol
5,309.4,300899265,9,Grim Batol,2024-10-17T18:01:30.000Z,1313766,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",陕西秦始皇,Shaman,Restoration,healer,Grim Batol
5,309.4,300899265,9,Grim Batol,2024-10-17T18:01:30.000Z,1313766,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",財袁廣進,Mage,Frost,dps,Grim Batol
