rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,305833712,9,Grim Batol,2024-11-08T16:34:06.000Z,1197549,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",悦新建陶丶欧,Hunter,Survival,dps,Blanchard
1,310,305833712,9,Grim Batol,2024-11-08T16:34:06.000Z,1197549,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Gulaorousm,Shaman,Enhancement,dps,Burning Blade
1,310,305833712,9,Grim Batol,2024-11-08T16:34:06.000Z,1197549,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",丶大胖墩,Druid,Guardian,tank,Al'ar
1,310,305833712,9,Grim Batol,2024-11-08T16:34:06.000Z,1197549,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Changqinsm,Shaman,Restoration,healer,Al'ar
1,310,305833712,9,Grim Batol,2024-11-08T16:34:06.000Z,1197549,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",小橘的浪漫,Shaman,Enhancement,dps,Scarlet Crusade
2,310,305658889,9,Grim Batol,2024-11-07T16:47:41.000Z,1260624,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",丿桃之妖妖,Warlock,Destruction,dps,Rangers
2,310,305658889,9,Grim Batol,2024-11-07T16:47:41.000Z,1260624,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",大跳起飞咯,Warrior,Fury,dps,Al'ar
2,310,305658889,9,Grim Batol,2024-11-07T16:47:41.000Z,1260624,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",晓丶嗳,Paladin,Protection,tank,Anzu
2,310,305658889,9,Grim Batol,2024-11-07T16:47:41.000Z,1260624,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",永远的愛妳丶,Priest,Discipline,healer,Silver Hand
2,310,305658889,9,Grim Batol,2024-11-07T16:47:41.000Z,1260624,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Zerglingrush,Mage,Frost,dps,Burning Blade
3,309.7,306479064,9,Grim Batol,2024-11-11T02:57:43.000Z,1296231,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",山雨初晴,Shaman,Enhancement,dps,Thunder Axe Fortress
3,309.7,306479064,9,Grim Batol,2024-11-11T02:57:43.000Z,1296231,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",不行报警罢,Paladin,Protection,tank,Silver Hand
3,309.7,306479064,9,Grim Batol,2024-11-11T02:57:43.000Z,1296231,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Azaz,Paladin,Retribution,dps,Silver Hand
3,309.7,306479064,9,Grim Batol,2024-11-11T02:57:43.000Z,1296231,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",满眼都是你,Rogue,Assassination,dps,Galakrond
3,309.7,306479064,9,Grim Batol,2024-11-11T02:57:43.000Z,1296231,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",狸狸六宝,Shaman,Restoration,healer,Tirisfal Glades
4,309.6,306747700,9,Grim Batol,2024-11-12T13:57:14.000Z,1302098,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",长野原宵宫,Demon Hunter,Havoc,dps,Kel'Thuzad
4,309.6,306747700,9,Grim Batol,2024-11-12T13:57:14.000Z,1302098,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",禁止投食,Rogue,Assassination,dps,Deathwing
4,309.6,306747700,9,Grim Batol,2024-11-12T13:57:14.000Z,1302098,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",好评如潮,Paladin,Protection,tank,Burning Blade
