rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,297368686,9,Grim Batol,2024-10-03T11:49:33.000Z,1254806,2130999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",電竞梁朝伟,Demon Hunter,Vengeance,tank,Alterac Mountains
1,310,297368686,9,Grim Batol,2024-10-03T11:49:33.000Z,1254806,2130999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",网红镇,Priest,Discipline,healer,Silver Hand
1,310,297368686,9,Grim Batol,2024-10-03T11:49:33.000Z,1254806,2130999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",柯基饿饿,Rogue,Assassination,dps,Grim Batol
1,310,297368686,9,Grim Batol,2024-10-03T11:49:33.000Z,1254806,2130999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",秦灬皛兔,Paladin,Retribution,dps,Eldre'Thalas
1,310,297368686,9,Grim Batol,2024-10-03T11:49:33.000Z,1254806,2130999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",爱袜袜,Shaman,Enhancement,dps,Eldre'Thalas
2,309.4,298088664,9,Grim Batol,2024-10-06T06:07:08.000Z,1313889,2130999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",你说的怼,Druid,Balance,dps,Silver Hand
2,309.4,298088664,9,Grim Batol,2024-10-06T06:07:08.000Z,1313889,2130999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",竹叶青咯,Rogue,Assassination,dps,Valley of Kings
2,309.4,298088664,9,Grim Batol,2024-10-06T06:07:08.000Z,1313889,2130999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",濑户灿,Mage,Frost,dps,Deathwing
2,309.4,298088664,9,Grim Batol,2024-10-06T06:07:08.000Z,1313889,2130999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",谷雨灬丶,Shaman,Restoration,healer,Emerald Dream
2,309.4,298088664,9,Grim Batol,2024-10-06T06:07:08.000Z,1313889,2130999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",冰墩墩,Druid,Guardian,tank,Rhonin
3,308.9,297924238,9,Grim Batol,2024-10-05T17:39:31.000Z,1339544,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",混沌野心神选,Death Knight,Unholy,dps,Pandaren
3,308.9,297924238,9,Grim Batol,2024-10-05T17:39:31.000Z,1339544,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",龙瓜瓜,Evoker,Augmentation,dps,Burning Blade
3,308.9,297924238,9,Grim Batol,2024-10-05T17:39:31.000Z,1339544,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",落花丶迷梦,Death Knight,Blood,tank,Frostmourne
3,308.9,297924238,9,Grim Batol,2024-10-05T17:39:31.000Z,1339544,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",卡皮扒啦,Shaman,Restoration,healer,Silver Hand
3,308.9,297924238,9,Grim Batol,2024-10-05T17:39:31.000Z,1339544,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",尖下巴,Hunter,Survival,dps,Thunder Axe Fortress
4,308.6,298092724,9,Grim Batol,2024-10-06T06:44:10.000Z,1355974,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",月小落,Priest,Discipline,healer,Shadowmourne
4,308.6,298092724,9,Grim Batol,2024-10-06T06:44:10.000Z,1355974,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",开光小沙弥,Monk,Brewmaster,tank,Shadowmourne
4,308.6,298092724,9,Grim Batol,2024-10-06T06:44:10.000Z,1355974,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",三花田园兔,Hunter,Survival,dps,Al'ar
4,308.6,298092724,9,Grim Batol,2024-10-06T06:44:10.000Z,1355974,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",幸之助,Paladin,Retribution,dps,Kel'Thuzad
4,308.6,298092724,9,Grim Batol,2024-10-06T06:44:10.000Z,1355974,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",虚假承諾,Rogue,Assassination,dps,Deathwing
5,308.4,298590809,9,Grim Batol,2024-10-08T05:12:07.000Z,1371494,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",島村抱月,Paladin,Retribution,dps,Rexxar
5,308.4,298590809,9,Grim Batol,2024-10-08T05:12:07.000Z,1371494,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",白日梦想家丶,Warrior,Protection,tank,Blanchard
5,308.4,298590809,9,Grim Batol,2024-10-08T05:12:07.000Z,1371494,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",狂小昂,Demon Hunter,Havoc,dps,The Great Sea
5,308.4,298590809,9,Grim Batol,2024-10-08T05:12:07.000Z,1371494,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",迦娜丷,Shaman,Restoration,healer,Blanchard
5,308.4,298590809,9,Grim Batol,2024-10-08T05:12:07.000Z,1371494,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",丶米缸丶,Rogue,Assassination,dps,Deathwing
6,307.9,298805650,9,Grim Batol,2024-10-09T04:05:09.000Z,1399088,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Anorak,Mage,Arcane,dps,Al'ar
6,307.9,298805650,9,Grim Batol,2024-10-09T04:05:09.000Z,1399088,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",阿斯凯文,Druid,Guardian,tank,The Great Sea
6,307.9,298805650,9,Grim Batol,2024-10-09T04:05:09.000Z,1399088,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",黑蛋,Death Knight,Frost,dps,Pandaren
6,307.9,298805650,9,Grim Batol,2024-10-09T04:05:09.000Z,1399088,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",依旧喜欢是你,Death Knight,Unholy,dps,Scarlet Crusade
6,307.9,298805650,9,Grim Batol,2024-10-09T04:05:09.000Z,1399088,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",温柔如初丷,Shaman,Restoration,healer,Silver Hand
7,307.9,298817176,9,Grim Batol,2024-10-09T05:34:58.000Z,1399521,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",麋鹿知迷路,Shaman,Restoration,healer,Black Dragonflight
7,307.9,298817176,9,Grim Batol,2024-10-09T05:34:58.000Z,1399521,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Junna,Warrior,Protection,tank,Burning Blade
7,307.9,298817176,9,Grim Batol,2024-10-09T05:34:58.000Z,1399521,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",狂小昂,Demon Hunter,Havoc,dps,The Great Sea
7,307.9,298817176,9,Grim Batol,2024-10-09T05:34:58.000Z,1399521,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",空见凝雨,Death Knight,Frost,dps,Isillien
7,307.9,298817176,9,Grim Batol,2024-10-09T05:34:58.000Z,1399521,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",西海岸,Druid,Balance,dps,Isillien
8,307.5,298637606,9,Grim Batol,2024-10-08T13:50:12.000Z,1421869,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",苟斯特菲斯,Death Knight,Frost,dps,Shadowmourne
8,307.5,298637606,9,Grim Batol,2024-10-08T13:50:12.000Z,1421869,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",画船,Demon Hunter,Vengeance,tank,The Forgotten Coast
8,307.5,298637606,9,Grim Batol,2024-10-08T13:50:12.000Z,1421869,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Meraxes,Evoker,Preservation,healer,The Forgotten Coast
8,307.5,298637606,9,Grim Batol,2024-10-08T13:50:12.000Z,1421869,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",哎丶别怕我在,Paladin,Retribution,dps,Silver Hand
8,307.5,298637606,9,Grim Batol,2024-10-08T13:50:12.000Z,1421869,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",保護我方超越,Paladin,Retribution,dps,Silver Hand
9,307.4,298839103,9,Grim Batol,2024-10-09T09:11:38.000Z,1428879,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",三寿集团,Shaman,Restoration,healer,Grim Batol
9,307.4,298839103,9,Grim Batol,2024-10-09T09:11:38.000Z,1428879,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",狂小昂,Demon Hunter,Havoc,dps,The Great Sea
9,307.4,298839103,9,Grim Batol,2024-10-09T09:11:38.000Z,1428879,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",甜饭炒蛋,Druid,Guardian,tank,Al'ar
9,307.4,298839103,9,Grim Batol,2024-10-09T09:11:38.000Z,1428879,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",天津饭丷,Rogue,Assassination,dps,Burning Blade
9,307.4,298839103,9,Grim Batol,2024-10-09T09:11:38.000Z,1428879,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",窈窕小凤娟,Mage,Arcane,dps,Shadowmourne
10,307.3,297913385,9,Grim Batol,2024-10-05T16:59:05.000Z,1431583,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",托小迪丶,Death Knight,Frost,dps,Burning Blade
10,307.3,297913385,9,Grim Batol,2024-10-05T16:59:05.000Z,1431583,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",界哽丶,Evoker,Augmentation,dps,Chillwind Point
10,307.3,297913385,9,Grim Batol,2024-10-05T16:59:05.000Z,1431583,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",坏人,Demon Hunter,Vengeance,tank,Chillwind Point
10,307.3,297913385,9,Grim Batol,2024-10-05T16:59:05.000Z,1431583,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",新疆牛肉披萨,Shaman,Enhancement,dps,Isillien
10,307.3,297913385,9,Grim Batol,2024-10-05T16:59:05.000Z,1431583,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",小飞棍的棍儿,Shaman,Restoration,healer,Deathwing
11,307.3,298360248,9,Grim Batol,2024-10-06T23:43:56.000Z,1434294,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Metalpunk,Druid,Feral,dps,Rhonin
11,307.3,298360248,9,Grim Batol,2024-10-06T23:43:56.000Z,1434294,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",喝不得,Shaman,Enhancement,dps,Scarlet Crusade
11,307.3,298360248,9,Grim Batol,2024-10-06T23:43:56.000Z,1434294,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",小陈,Death Knight,Frost,dps,Al'ar
11,307.3,298360248,9,Grim Batol,2024-10-06T23:43:56.000Z,1434294,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Leonoras,Priest,Discipline,healer,Shadowmourne
11,307.3,298360248,9,Grim Batol,2024-10-06T23:43:56.000Z,1434294,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",情爱里无智者,Druid,Guardian,tank,Burning Blade
12,307,297936542,9,Grim Batol,2024-10-05T18:17:07.000Z,1446936,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",卖餹术丶,Warlock,Destruction,dps,Pandaren
12,307,297936542,9,Grim Batol,2024-10-05T18:17:07.000Z,1446936,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",混沌野心神选,Death Knight,Unholy,dps,Pandaren
12,307,297936542,9,Grim Batol,2024-10-05T18:17:07.000Z,1446936,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",慧光亚兹勒,Shaman,Elemental,dps,Pandaren
12,307,297936542,9,Grim Batol,2024-10-05T18:17:07.000Z,1446936,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",梦云千幻,Priest,Holy,healer,Rexxar
12,307,297936542,9,Grim Batol,2024-10-05T18:17:07.000Z,1446936,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",青春曰了狗,Warrior,Protection,tank,Rhonin
13,307,297439726,9,Grim Batol,2024-10-03T19:43:28.000Z,1450883,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",愚人畏影,Shaman,Elemental,dps,Rhonin
13,307,297439726,9,Grim Batol,2024-10-03T19:43:28.000Z,1450883,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",阿揪揪,Druid,Balance,dps,Rhonin
13,307,297439726,9,Grim Batol,2024-10-03T19:43:28.000Z,1450883,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",耳鼻凉丶,Warrior,Protection,tank,Deathwing
13,307,297439726,9,Grim Batol,2024-10-03T19:43:28.000Z,1450883,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",宸音丶丶,Shaman,Restoration,healer,Scarlet Crusade
13,307,297439726,9,Grim Batol,2024-10-03T19:43:28.000Z,1450883,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",橙枫,Death Knight,Frost,dps,Isillien
14,306.8,298166985,9,Grim Batol,2024-10-06T14:22:15.000Z,1459400,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",元素灰烬,Shaman,Restoration,healer,Drak'Tharon
14,306.8,298166985,9,Grim Batol,2024-10-06T14:22:15.000Z,1459400,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",丶犬来八荒,Hunter,Survival,dps,Scarlet Crusade
14,306.8,298166985,9,Grim Batol,2024-10-06T14:22:15.000Z,1459400,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",阿轩,Shaman,Elemental,dps,Cassandra
14,306.8,298166985,9,Grim Batol,2024-10-06T14:22:15.000Z,1459400,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",落花丶迷梦,Death Knight,Blood,tank,Frostmourne
14,306.8,298166985,9,Grim Batol,2024-10-06T14:22:15.000Z,1459400,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",小禹哥你的愛,Death Knight,Unholy,dps,Anzu
15,306.8,298811939,9,Grim Batol,2024-10-09T05:05:52.000Z,1459606,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Junna,Warrior,Protection,tank,Burning Blade
15,306.8,298811939,9,Grim Batol,2024-10-09T05:05:52.000Z,1459606,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",狂小昂,Demon Hunter,Havoc,dps,The Great Sea
15,306.8,298811939,9,Grim Batol,2024-10-09T05:05:52.000Z,1459606,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",空见凝雨,Death Knight,Frost,dps,Isillien
