rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,307743211,9,Grim Batol,2024-11-17T16:45:30.000Z,1042816,2130999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Thigvy,Priest,Discipline,healer,Ragnaros
1,310,307743211,9,Grim Batol,2024-11-17T16:45:30.000Z,1042816,2130999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Estilante,Warlock,Destruction,dps,Sanguino
1,310,307743211,9,Grim Batol,2024-11-17T16:45:30.000Z,1042816,2130999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Keltøi,Hunter,Survival,dps,Draenor
1,310,307743211,9,Grim Batol,2024-11-17T16:45:30.000Z,1042816,2130999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Snugxi,Death Knight,Frost,dps,Twisting Nether
1,310,307743211,9,Grim Batol,2024-11-17T16:45:30.000Z,1042816,2130999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Cptbaiter,Paladin,Protection,tank,Tarren Mill
2,310,308167935,9,Grim Batol,2024-11-19T19:37:41.000Z,1063038,2130999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Бумчак,Monk,Mistweaver,healer,Soulflayer
2,310,308167935,9,Grim Batol,2024-11-19T19:37:41.000Z,1063038,2130999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Azwarrior,Warrior,Fury,dps,Tarren Mill
2,310,308167935,9,Grim Batol,2024-11-19T19:37:41.000Z,1063038,2130999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Verrsatille,Shaman,Enhancement,dps,Tarren Mill
2,310,308167935,9,Grim Batol,2024-11-19T19:37:41.000Z,1063038,2130999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Terentepala,Paladin,Protection,tank,Tarren Mill
2,310,308167935,9,Grim Batol,2024-11-19T19:37:41.000Z,1063038,2130999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Dexterdk,Death Knight,Frost,dps,Tarren Mill
3,310,306985304,9,Grim Batol,2024-11-13T16:38:20.000Z,1066500,2130999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Xealkek,Rogue,Assassination,dps,Draenor
3,310,306985304,9,Grim Batol,2024-11-13T16:38:20.000Z,1066500,2130999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Wïll,Warrior,Protection,tank,Draenor
3,310,306985304,9,Grim Batol,2024-11-13T16:38:20.000Z,1066500,2130999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Куннилэн-228375708,Shaman,Enhancement,dps,Gordunni
3,310,306985304,9,Grim Batol,2024-11-13T16:38:20.000Z,1066500,2130999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Shiiwa,Paladin,Retribution,dps,Blackrock
3,310,306985304,9,Grim Batol,2024-11-13T16:38:20.000Z,1066500,2130999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Коффманчик,Priest,Discipline,healer,Gordunni
4,310,307077517,9,Grim Batol,2024-11-13T22:13:10.000Z,1067925,2130999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Dappi-7650314,Shaman,Enhancement,dps,Burning Legion
4,310,307077517,9,Grim Batol,2024-11-13T22:13:10.000Z,1067925,2130999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Storadave,Paladin,Protection,tank,Ravencrest
4,310,307077517,9,Grim Batol,2024-11-13T22:13:10.000Z,1067925,2130999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Arýa,Druid,Balance,dps,Ragnaros
4,310,307077517,9,Grim Batol,2024-11-13T22:13:10.000Z,1067925,2130999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Calejandro,Priest,Shadow,dps,Sanguino
4,310,307077517,9,Grim Batol,2024-11-13T22:13:10.000Z,1067925,2130999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Lokrill,Priest,Discipline,healer,Archimonde
5,310,307743211,9,Grim Batol,2024-11-17T16:23:56.000Z,1071184,2130999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Thigvy,Priest,Discipline,healer,Ragnaros
5,310,307743211,9,Grim Batol,2024-11-17T16:23:56.000Z,1071184,2130999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Estilante,Warlock,Destruction,dps,Sanguino
5,310,307743211,9,Grim Batol,2024-11-17T16:23:56.000Z,1071184,2130999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Keltøi,Hunter,Survival,dps,Draenor
