rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,308388668,9,Grim Batol,2024-11-21T03:47:01.000Z,1097436,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Wnkdk,Death Knight,Frost,dps,Kazzak
1,310,308388668,9,Grim Batol,2024-11-21T03:47:01.000Z,1097436,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Ci,Rogue,Assassination,dps,Kazzak
1,310,308388668,9,Grim Batol,2024-11-21T03:47:01.000Z,1097436,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Bellialpi,Priest,Discipline,healer,Twisting Nether
1,310,308388668,9,Grim Batol,2024-11-21T03:47:01.000Z,1097436,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Zeldara,Paladin,Protection,tank,Blackhand
1,310,308388668,9,Grim Batol,2024-11-21T03:47:01.000Z,1097436,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Eggsde,Shaman,Enhancement,dps,Kazzak
2,310,308324640,9,Grim Batol,2024-11-21T20:58:20.000Z,1114655,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Dascha,Warrior,Fury,dps,Kazzak
2,310,308324640,9,Grim Batol,2024-11-21T20:58:20.000Z,1114655,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Adrianita,Paladin,Retribution,dps,Kazzak
2,310,308324640,9,Grim Batol,2024-11-21T20:58:20.000Z,1114655,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Depletinkeys,Druid,Guardian,tank,Twisting Nether
2,310,308324640,9,Grim Batol,2024-11-21T20:58:20.000Z,1114655,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Burdpoo,Priest,Discipline,healer,Kazzak
2,310,308324640,9,Grim Batol,2024-11-21T20:58:20.000Z,1114655,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Scumba,Hunter,Survival,dps,Kazzak
3,310,309326108,9,Grim Batol,2024-11-26T11:51:11.000Z,1123175,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Эларья,Shaman,Restoration,healer,Gordunni
3,310,309326108,9,Grim Batol,2024-11-26T11:51:11.000Z,1123175,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Samcro,Shaman,Enhancement,dps,Sanguino
3,310,309326108,9,Grim Batol,2024-11-26T11:51:11.000Z,1123175,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Difenhunter,Hunter,Survival,dps,Twisting Nether
3,310,309326108,9,Grim Batol,2024-11-26T11:51:11.000Z,1123175,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Лашаблок,Warrior,Protection,tank,Howling Fjord
3,310,309326108,9,Grim Batol,2024-11-26T11:51:11.000Z,1123175,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Благогрех,Paladin,Retribution,dps,Gordunni
4,310,308605030,9,Grim Batol,2024-11-22T18:03:51.000Z,1125882,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Billyochjag,Shaman,Enhancement,dps,Tarren Mill
4,310,308605030,9,Grim Batol,2024-11-22T18:03:51.000Z,1125882,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Èlf,Paladin,Retribution,dps,Twisting Nether
4,310,308605030,9,Grim Batol,2024-11-22T18:03:51.000Z,1125882,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Slayzn,Priest,Discipline,healer,Gul'dan
4,310,308605030,9,Grim Batol,2024-11-22T18:03:51.000Z,1125882,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Trole,Death Knight,Frost,dps,Kazzak
4,310,308605030,9,Grim Batol,2024-11-22T18:03:51.000Z,1125882,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Nitgud,Warrior,Protection,tank,Ragnaros
5,310,308503238,9,Grim Batol,2024-11-21T23:08:52.000Z,1129734,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Jâyjay,Paladin,Protection,tank,Blackrock
5,310,308503238,9,Grim Batol,2024-11-21T23:08:52.000Z,1129734,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Stratzer,Hunter,Survival,dps,Blackrock
5,310,308503238,9,Grim Batol,2024-11-21T23:08:52.000Z,1129734,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Alfaks,Shaman,Enhancement,dps,Blackrock
5,310,308503238,9,Grim Batol,2024-11-21T23:08:52.000Z,1129734,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Stirish,Warrior,Fury,dps,Hyjal
