rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,306112797,9,Grim Batol,2024-11-09T18:19:58.000Z,1045202,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Flummixhunt,Hunter,Survival,dps,Blackhand
1,310,306112797,9,Grim Batol,2024-11-09T18:19:58.000Z,1045202,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Insomniä,Demon Hunter,Vengeance,tank,Blackhand
1,310,306112797,9,Grim Batol,2024-11-09T18:19:58.000Z,1045202,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Диспхх,Priest,Discipline,healer,Gordunni
1,310,306112797,9,Grim Batol,2024-11-09T18:19:58.000Z,1045202,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Xailsham,Shaman,Enhancement,dps,Blackmoore
1,310,306112797,9,Grim Batol,2024-11-09T18:19:58.000Z,1045202,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Alluká,Paladin,Retribution,dps,Blackhand
2,310,305617752,9,Grim Batol,2024-11-07T11:39:37.000Z,1076369,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Steelbloom,Paladin,Protection,tank,Stormscale
2,310,305617752,9,Grim Batol,2024-11-07T11:39:37.000Z,1076369,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Szleder,Rogue,Assassination,dps,Burning Legion
2,310,305617752,9,Grim Batol,2024-11-07T11:39:37.000Z,1076369,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Toobzz,Priest,Discipline,healer,Kazzak
2,310,305617752,9,Grim Batol,2024-11-07T11:39:37.000Z,1076369,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Shocktopus,Shaman,Enhancement,dps,Sanguino
2,310,305617752,9,Grim Batol,2024-11-07T11:39:37.000Z,1076369,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Curses,Warlock,Destruction,dps,Kazzak
3,310,306276888,9,Grim Batol,2024-11-10T10:32:34.000Z,1077743,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Datenrömer,Paladin,Protection,tank,Blackhand
3,310,306276888,9,Grim Batol,2024-11-10T10:32:34.000Z,1077743,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Varru,Hunter,Marksmanship,dps,Blackhand
3,310,306276888,9,Grim Batol,2024-11-10T10:32:34.000Z,1077743,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Swiga,Druid,Restoration,healer,Twisting Nether
3,310,306276888,9,Grim Batol,2024-11-10T10:32:34.000Z,1077743,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Frenze,Rogue,Assassination,dps,Blackrock
3,310,306276888,9,Grim Batol,2024-11-10T10:32:34.000Z,1077743,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Edgaralenbro,Shaman,Enhancement,dps,Blackhand
4,310,306525422,9,Grim Batol,2024-11-11T10:28:01.000Z,1078551,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Mizukea,Shaman,Enhancement,dps,Hyjal
4,310,306525422,9,Grim Batol,2024-11-11T10:28:01.000Z,1078551,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Hotharis,Druid,Balance,dps,Taerar
4,310,306525422,9,Grim Batol,2024-11-11T10:28:01.000Z,1078551,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Kamusari,Rogue,Assassination,dps,Blackrock
4,310,306525422,9,Grim Batol,2024-11-11T10:28:01.000Z,1078551,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Khreg,Paladin,Protection,tank,Ravencrest
4,310,306525422,9,Grim Batol,2024-11-11T10:28:01.000Z,1078551,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Kørrà,Monk,Mistweaver,healer,Hyjal
5,310,306756554,9,Grim Batol,2024-11-12T15:10:27.000Z,1085292,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Phob,Death Knight,Blood,tank,Draenor
5,310,306756554,9,Grim Batol,2024-11-12T15:10:27.000Z,1085292,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Nephen,Paladin,Retribution,dps,Blackhand
5,310,306756554,9,Grim Batol,2024-11-12T15:10:27.000Z,1085292,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Razury,Shaman,Elemental,dps,Blackmoore
5,310,306756554,9,Grim Batol,2024-11-12T15:10:27.000Z,1085292,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Jaystylez,Priest,Discipline,healer,Archimonde
5,310,306756554,9,Grim Batol,2024-11-12T15:10:27.000Z,1085292,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Snîtzzlê,Warrior,Fury,dps,Tarren Mill
