rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,309513010,9,Grim Batol,2024-11-28T12:49:15.000Z,1058554,2130999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Chiware,Monk,Mistweaver,healer,Malfurion
1,310,309513010,9,Grim Batol,2024-11-28T12:49:15.000Z,1058554,2130999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Palapilava,Paladin,Retribution,dps,Blackmoore
1,310,309513010,9,Grim Batol,2024-11-28T12:49:15.000Z,1058554,2130999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Whitepala,Paladin,Protection,tank,Argent Dawn
1,310,309513010,9,Grim Batol,2024-11-28T12:49:15.000Z,1058554,2130999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Шукшик,Shaman,Elemental,dps,Howling Fjord
1,310,309513010,9,Grim Batol,2024-11-28T12:49:15.000Z,1058554,2130999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Lejlanj,Warlock,Destruction,dps,Kazzak
2,310,297770683,9,Grim Batol,2024-10-04T23:24:47.000Z,1087634,2130999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Anzólix,Shaman,Restoration,healer,Ravencrest
2,310,297770683,9,Grim Batol,2024-10-04T23:24:47.000Z,1087634,2130999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Checha,Druid,Balance,dps,Ravencrest
2,310,297770683,9,Grim Batol,2024-10-04T23:24:47.000Z,1087634,2130999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Thebruno,Mage,Frost,dps,Ravencrest
2,310,297770683,9,Grim Batol,2024-10-04T23:24:47.000Z,1087634,2130999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Emilfknspin,Monk,Windwalker,dps,Ragnaros
2,310,297770683,9,Grim Batol,2024-10-04T23:24:47.000Z,1087634,2130999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Gogow,Warrior,Protection,tank,Ravencrest
3,310,309445333,9,Grim Batol,2024-11-28T00:31:07.000Z,1155120,2130999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Ириддий,Warrior,Protection,tank,Howling Fjord
3,310,309445333,9,Grim Batol,2024-11-28T00:31:07.000Z,1155120,2130999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Фломыч,Mage,Fire,dps,Howling Fjord
3,310,309445333,9,Grim Batol,2024-11-28T00:31:07.000Z,1155120,2130999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Илвирия,Monk,Mistweaver,healer,Howling Fjord
3,310,309445333,9,Grim Batol,2024-11-28T00:31:07.000Z,1155120,2130999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Мьёлниргодх,Shaman,Enhancement,dps,Howling Fjord
3,310,309445333,9,Grim Batol,2024-11-28T00:31:07.000Z,1155120,2130999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Васяэшкере,Druid,Feral,dps,Soulflayer
4,310,309498112,9,Grim Batol,2024-11-28T13:46:20.000Z,1162005,2130999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Zapymeta,Demon Hunter,Havoc,dps,Hyjal
4,310,309498112,9,Grim Batol,2024-11-28T13:46:20.000Z,1162005,2130999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Élassah,Hunter,Marksmanship,dps,Hyjal
4,310,309498112,9,Grim Batol,2024-11-28T13:46:20.000Z,1162005,2130999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Honey,Monk,Mistweaver,healer,Hyjal
4,310,309498112,9,Grim Batol,2024-11-28T13:46:20.000Z,1162005,2130999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Drakabh,Evoker,Augmentation,dps,Hyjal
