rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,307663941,9,Grim Batol,2024-11-17T06:01:58.000Z,1089674,2130999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",계집애같은비명,Shaman,Enhancement,dps,Azshara
1,310,307663941,9,Grim Batol,2024-11-17T06:01:58.000Z,1089674,2130999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",극락물,Shaman,Enhancement,dps,Azshara
1,310,307663941,9,Grim Batol,2024-11-17T06:01:58.000Z,1089674,2130999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",전국인정협회,Druid,Restoration,healer,Azshara
1,310,307663941,9,Grim Batol,2024-11-17T06:01:58.000Z,1089674,2130999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",냥두한,Hunter,Beast Mastery,dps,Azshara
1,310,307663941,9,Grim Batol,2024-11-17T06:01:58.000Z,1089674,2130999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",석두김현준,Paladin,Protection,tank,Azshara
2,310,307739676,9,Grim Batol,2024-11-17T15:20:47.000Z,1161044,2130999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",주덧,Paladin,Protection,tank,Azshara
2,310,307739676,9,Grim Batol,2024-11-17T15:20:47.000Z,1161044,2130999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",힐넣어줘용,Evoker,Preservation,healer,Azshara
2,310,307739676,9,Grim Batol,2024-11-17T15:20:47.000Z,1161044,2130999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",딥치즈싸이버거,Shaman,Enhancement,dps,Azshara
2,310,307739676,9,Grim Batol,2024-11-17T15:20:47.000Z,1161044,2130999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",물두부,Evoker,Devastation,dps,Azshara
2,310,307739676,9,Grim Batol,2024-11-17T15:20:47.000Z,1161044,2130999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",밍몽밍몽,Shaman,Elemental,dps,Azshara
