rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,309062364,9,Grim Batol,2024-11-25T01:22:46.000Z,1131720,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",김야릇,Shaman,Elemental,dps,Azshara
1,310,309062364,9,Grim Batol,2024-11-25T01:22:46.000Z,1131720,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",내일술사줘,Shaman,Enhancement,dps,Azshara
1,310,309062364,9,Grim Batol,2024-11-25T01:22:46.000Z,1131720,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",뼈채로,Warrior,Protection,tank,Azshara
1,310,309062364,9,Grim Batol,2024-11-25T01:22:46.000Z,1131720,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Amish,Shaman,Restoration,healer,Azshara
1,310,309062364,9,Grim Batol,2024-11-25T01:22:46.000Z,1131720,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",엄살좌,Rogue,Assassination,dps,Azshara
2,310,308903772,9,Grim Batol,2024-11-24T08:58:42.000Z,1192168,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",광륜쌍극참,Paladin,Protection,tank,Azshara
2,310,308903772,9,Grim Batol,2024-11-24T08:58:42.000Z,1192168,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",숭늉씨애인누룽지,Paladin,Retribution,dps,Azshara
2,310,308903772,9,Grim Batol,2024-11-24T08:58:42.000Z,1192168,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Saintrandy,Priest,Discipline,healer,Azshara
2,310,308903772,9,Grim Batol,2024-11-24T08:58:42.000Z,1192168,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",혜경아밥좀줘,Paladin,Retribution,dps,Azshara
2,310,308903772,9,Grim Batol,2024-11-24T08:58:42.000Z,1192168,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Ontheline,Shaman,Enhancement,dps,Azshara
3,310,308578527,9,Grim Batol,2024-11-22T14:14:45.000Z,1243018,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",뚜롤,Hunter,Marksmanship,dps,Azshara
3,310,308578527,9,Grim Batol,2024-11-22T14:14:45.000Z,1243018,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",북극헌터,Hunter,Survival,dps,Azshara
3,310,308578527,9,Grim Batol,2024-11-22T14:14:45.000Z,1243018,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",정령의심판,Shaman,Elemental,dps,Azshara
3,310,308578527,9,Grim Batol,2024-11-22T14:14:45.000Z,1243018,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",거룩한별,Paladin,Protection,tank,Azshara
3,310,308578527,9,Grim Batol,2024-11-22T14:14:45.000Z,1243018,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",에투,Priest,Discipline,healer,Azshara
4,310,309388628,9,Grim Batol,2024-11-26T19:07:28.000Z,1263696,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Yatten,Paladin,Retribution,dps,Azshara
4,310,309388628,9,Grim Batol,2024-11-26T19:07:28.000Z,1263696,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",학다리싸개,Monk,Windwalker,dps,Azshara
4,310,309388628,9,Grim Batol,2024-11-26T19:07:28.000Z,1263696,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",힐드간디,Priest,Discipline,healer,Azshara
4,310,309388628,9,Grim Batol,2024-11-26T19:07:28.000Z,1263696,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",정관장히트,Paladin,Protection,tank,Azshara
4,310,309388628,9,Grim Batol,2024-11-26T19:07:28.000Z,1263696,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",죽음의강력공격멘,Evoker,Augmentation,dps,Azshara
5,310,308378682,9,Grim Batol,2024-11-21T02:47:26.000Z,1275598,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",서겜,Priest,Discipline,healer,Azshara
5,310,308378682,9,Grim Batol,2024-11-21T02:47:26.000Z,1275598,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Eliruril,Paladin,Protection,tank,Azshara
5,310,308378682,9,Grim Batol,2024-11-21T02:47:26.000Z,1275598,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",환상,Rogue,Assassination,dps,Norgannon
5,310,308378682,9,Grim Batol,2024-11-21T02:47:26.000Z,1275598,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",베어그릴수,Druid,Balance,dps,Azshara
5,310,308378682,9,Grim Batol,2024-11-21T02:47:26.000Z,1275598,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",역시씨클,Shaman,Enhancement,dps,Azshara
6,310,308746139,9,Grim Batol,2024-11-23T12:59:35.000Z,1278287,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",하티하티호우,Shaman,Restoration,healer,Azshara
6,310,308746139,9,Grim Batol,2024-11-23T12:59:35.000Z,1278287,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",하이수현,Warlock,Destruction,dps,Azshara
6,310,308746139,9,Grim Batol,2024-11-23T12:59:35.000Z,1278287,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",대왕기사,Paladin,Retribution,dps,Azshara
6,310,308746139,9,Grim Batol,2024-11-23T12:59:35.000Z,1278287,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",도끼사주세요,Warrior,Protection,tank,Azshara
6,310,308746139,9,Grim Batol,2024-11-23T12:59:35.000Z,1278287,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",풀피호소인,Shaman,Enhancement,dps,Azshara
7,309.9,308545531,9,Grim Batol,2024-11-22T07:21:26.000Z,1285609,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",석지니기사,Paladin,Protection,tank,Azshara
7,309.9,308545531,9,Grim Batol,2024-11-22T07:21:26.000Z,1285609,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Sofo,Evoker,Preservation,healer,Azshara
7,309.9,308545531,9,Grim Batol,2024-11-22T07:21:26.000Z,1285609,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Pibee,Rogue,Assassination,dps,Azshara
7,309.9,308545531,9,Grim Batol,2024-11-22T07:21:26.000Z,1285609,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",단춤이,Shaman,Enhancement,dps,Azshara
7,309.9,308545531,9,Grim Batol,2024-11-22T07:21:26.000Z,1285609,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",에론,Paladin,Retribution,dps,Azshara
8,309.8,309253729,9,Grim Batol,2024-11-26T15:52:45.000Z,1290092,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",르아나프라,Priest,Discipline,healer,Azshara
8,309.8,309253729,9,Grim Batol,2024-11-26T15:52:45.000Z,1290092,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",로아나프라,Priest,Shadow,dps,Azshara
8,309.8,309253729,9,Grim Batol,2024-11-26T15:52:45.000Z,1290092,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",죠쌤,Hunter,Survival,dps,Azshara
8,309.8,309253729,9,Grim Batol,2024-11-26T15:52:45.000Z,1290092,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",일키로탕수육,Paladin,Protection,tank,Azshara
8,309.8,309253729,9,Grim Batol,2024-11-26T15:52:45.000Z,1290092,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Noinnervate,Druid,Balance,dps,Azshara
9,309.5,309092521,9,Grim Batol,2024-11-25T14:13:31.000Z,1304430,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Steed,Paladin,Retribution,dps,Hyjal
9,309.5,309092521,9,Grim Batol,2024-11-25T14:13:31.000Z,1304430,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",첨단공포증,Rogue,Assassination,dps,Azshara
9,309.5,309092521,9,Grim Batol,2024-11-25T14:13:31.000Z,1304430,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",포치타,Warrior,Protection,tank,Azshara
