rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,300879093,9,Grim Batol,2024-10-17T16:20:12.000Z,1227055,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",화찜,Shaman,Restoration,healer,Azshara
1,310,300879093,9,Grim Batol,2024-10-17T16:20:12.000Z,1227055,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",질토,Shaman,Enhancement,dps,Azshara
1,310,300879093,9,Grim Batol,2024-10-17T16:20:12.000Z,1227055,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",잉벤죽기,Death Knight,Blood,tank,Azshara
1,310,300879093,9,Grim Batol,2024-10-17T16:20:12.000Z,1227055,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",쓰바하기싫어,Mage,Frost,dps,Azshara
1,310,300879093,9,Grim Batol,2024-10-17T16:20:12.000Z,1227055,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",재이드,Paladin,Retribution,dps,Azshara
2,310,301054962,9,Grim Batol,2024-10-18T07:23:21.000Z,1246504,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",하르라거-152428882,Death Knight,Blood,tank,Azshara
2,310,301054962,9,Grim Batol,2024-10-18T07:23:21.000Z,1246504,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",두두징,Paladin,Retribution,dps,Azshara
2,310,301054962,9,Grim Batol,2024-10-18T07:23:21.000Z,1246504,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",샘뜰,Druid,Balance,dps,Azshara
2,310,301054962,9,Grim Batol,2024-10-18T07:23:21.000Z,1246504,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",하오골,Rogue,Assassination,dps,Azshara
2,310,301054962,9,Grim Batol,2024-10-18T07:23:21.000Z,1246504,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",띄윰,Shaman,Restoration,healer,Azshara
3,310,302084469,9,Grim Batol,2024-10-22T06:26:58.000Z,1248678,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",빵긋빵긋,Shaman,Restoration,healer,Azshara
3,310,302084469,9,Grim Batol,2024-10-22T06:26:58.000Z,1248678,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",녕도얌,Demon Hunter,Vengeance,tank,Azshara
3,310,302084469,9,Grim Batol,2024-10-22T06:26:58.000Z,1248678,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",꿍디도적,Rogue,Assassination,dps,Azshara
3,310,302084469,9,Grim Batol,2024-10-22T06:26:58.000Z,1248678,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",격노해제-227052641,Hunter,Marksmanship,dps,Azshara
3,310,302084469,9,Grim Batol,2024-10-22T06:26:58.000Z,1248678,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Vz,Death Knight,Frost,dps,Azshara
4,310,300878824,9,Grim Batol,2024-10-17T16:46:27.000Z,1260189,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",콘노,Warrior,Fury,dps,Azshara
4,310,300878824,9,Grim Batol,2024-10-17T16:46:27.000Z,1260189,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",화찜,Shaman,Restoration,healer,Azshara
4,310,300878824,9,Grim Batol,2024-10-17T16:46:27.000Z,1260189,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",잉벤죽기,Death Knight,Blood,tank,Azshara
4,310,300878824,9,Grim Batol,2024-10-17T16:46:27.000Z,1260189,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",쓰바하기싫어,Mage,Fire,dps,Azshara
4,310,300878824,9,Grim Batol,2024-10-17T16:46:27.000Z,1260189,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",재이드,Paladin,Retribution,dps,Azshara
5,309.6,301657798,9,Grim Batol,2024-10-20T14:16:42.000Z,1301058,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Mokoa,Druid,Balance,dps,Azshara
5,309.6,301657798,9,Grim Batol,2024-10-20T14:16:42.000Z,1301058,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",브리즈번사람,Mage,Arcane,dps,Azshara
5,309.6,301657798,9,Grim Batol,2024-10-20T14:16:42.000Z,1301058,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Mgarden,Hunter,Marksmanship,dps,Azshara
5,309.6,301657798,9,Grim Batol,2024-10-20T14:16:42.000Z,1301058,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",메리사라,Demon Hunter,Vengeance,tank,Azshara
5,309.6,301657798,9,Grim Batol,2024-10-20T14:16:42.000Z,1301058,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",술사밍밍,Shaman,Restoration,healer,Azshara
6,309.6,302301291,9,Grim Batol,2024-10-23T10:31:09.000Z,1303235,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",가요발성,Priest,Discipline,healer,Azshara
6,309.6,302301291,9,Grim Batol,2024-10-23T10:31:09.000Z,1303235,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",에임갓,Shaman,Enhancement,dps,Azshara
6,309.6,302301291,9,Grim Batol,2024-10-23T10:31:09.000Z,1303235,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",띵삭,Paladin,Retribution,dps,Azshara
6,309.6,302301291,9,Grim Batol,2024-10-23T10:31:09.000Z,1303235,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Marianne,Shaman,Elemental,dps,Azshara
6,309.6,302301291,9,Grim Batol,2024-10-23T10:31:09.000Z,1303235,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Qow,Warrior,Protection,tank,Azshara
7,309.5,301300532,9,Grim Batol,2024-10-18T10:21:23.000Z,1304403,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",복술해볼게요-45005022,Shaman,Restoration,healer,Azshara
7,309.5,301300532,9,Grim Batol,2024-10-18T10:21:23.000Z,1304403,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Dtox-57100441,Druid,Balance,dps,Azshara
7,309.5,301300532,9,Grim Batol,2024-10-18T10:21:23.000Z,1304403,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",킹정술,Shaman,Elemental,dps,Azshara
7,309.5,301300532,9,Grim Batol,2024-10-18T10:21:23.000Z,1304403,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",하남자,Demon Hunter,Vengeance,tank,Hyjal
7,309.5,301300532,9,Grim Batol,2024-10-18T10:21:23.000Z,1304403,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",오준영,Death Knight,Frost,dps,Azshara
8,309.5,302359316,9,Grim Batol,2024-10-23T18:30:42.000Z,1306972,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",든든한태우스,Warrior,Protection,tank,Azshara
8,309.5,302359316,9,Grim Batol,2024-10-23T18:30:42.000Z,1306972,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",드루뿡,Druid,Balance,dps,Azshara
8,309.5,302359316,9,Grim Batol,2024-10-23T18:30:42.000Z,1306972,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",중합체,Paladin,Retribution,dps,Azshara
8,309.5,302359316,9,Grim Batol,2024-10-23T18:30:42.000Z,1306972,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",불페라보다못하네,Shaman,Restoration,healer,Azshara
8,309.5,302359316,9,Grim Batol,2024-10-23T18:30:42.000Z,1306972,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",최두팔의주먹,Hunter,Marksmanship,dps,Azshara
9,309.5,300878824,9,Grim Batol,2024-10-17T15:54:44.000Z,1308592,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",콘노,Warrior,Fury,dps,Azshara
9,309.5,300878824,9,Grim Batol,2024-10-17T15:54:44.000Z,1308592,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",화찜,Shaman,Restoration,healer,Azshara
9,309.5,300878824,9,Grim Batol,2024-10-17T15:54:44.000Z,1308592,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",잉벤죽기,Death Knight,Blood,tank,Azshara
9,309.5,300878824,9,Grim Batol,2024-10-17T15:54:44.000Z,1308592,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",쓰바하기싫어,Mage,Frost,dps,Azshara
