rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,307900295,9,Grim Batol,2024-11-18T12:31:19.000Z,1240378,2130999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",甜心小乖乖,Paladin,Retribution,dps,Demon Fall Canyon
1,310,307900295,9,Grim Batol,2024-11-18T12:31:19.000Z,1240378,2130999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",豈有此理,Shaman,Elemental,dps,Wrathbringer
1,310,307900295,9,Grim Batol,2024-11-18T12:31:19.000Z,1240378,2130999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",蓋曉哩齁唷,Demon Hunter,Havoc,dps,Shadowmoon
1,310,307900295,9,Grim Batol,2024-11-18T12:31:19.000Z,1240378,2130999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",青橙汽水,Paladin,Protection,tank,Whisperwind
1,310,307900295,9,Grim Batol,2024-11-18T12:31:19.000Z,1240378,2130999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",拉麪俠,Priest,Discipline,healer,Shadowmoon
2,310,307474433,9,Grim Batol,2024-11-16T09:37:01.000Z,1252593,2130999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",輝明,Paladin,Holy,healer,Sundown Marsh
2,310,307474433,9,Grim Batol,2024-11-16T09:37:01.000Z,1252593,2130999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",夫魯毛毛,Hunter,Survival,dps,Nightsong
2,310,307474433,9,Grim Batol,2024-11-16T09:37:01.000Z,1252593,2130999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",姿姿最重要,Warrior,Protection,tank,Hellscream
2,310,307474433,9,Grim Batol,2024-11-16T09:37:01.000Z,1252593,2130999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",黑色猛牛法師,Shaman,Elemental,dps,Stormscale
2,310,307474433,9,Grim Batol,2024-11-16T09:37:01.000Z,1252593,2130999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",多多茄珍珠,Death Knight,Unholy,dps,Nightsong
