rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,301080251,9,Grim Batol,2024-10-18T13:47:30.000Z,1137682,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",就只是雜魚,Warrior,Protection,tank,Bleeding Hollow
1,310,301080251,9,Grim Batol,2024-10-18T13:47:30.000Z,1137682,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Baddie,Death Knight,Frost,dps,Frostmane
1,310,301080251,9,Grim Batol,2024-10-18T13:47:30.000Z,1137682,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Galaxywow,Monk,Windwalker,dps,World Tree
1,310,301080251,9,Grim Batol,2024-10-18T13:47:30.000Z,1137682,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",荔枝果凍,Paladin,Retribution,dps,Bleeding Hollow
1,310,301080251,9,Grim Batol,2024-10-18T13:47:30.000Z,1137682,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Kenji,Shaman,Restoration,healer,Arthas
2,310,302101463,9,Grim Batol,2024-10-22T11:24:14.000Z,1183044,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Boxuan,Hunter,Marksmanship,dps,Sundown Marsh
2,310,302101463,9,Grim Batol,2024-10-22T11:24:14.000Z,1183044,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",霧怨,Rogue,Assassination,dps,Skywall
2,310,302101463,9,Grim Batol,2024-10-22T11:24:14.000Z,1183044,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",綠鳶,Shaman,Restoration,healer,Shadowmoon
2,310,302101463,9,Grim Batol,2024-10-22T11:24:14.000Z,1183044,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Clif,Paladin,Protection,tank,Nightsong
2,310,302101463,9,Grim Batol,2024-10-22T11:24:14.000Z,1183044,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Renia,Death Knight,Frost,dps,Zealot Blade
3,309.7,301108047,9,Grim Batol,2024-10-18T16:25:24.000Z,1294535,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",慧圓,Paladin,Retribution,dps,Stormscale
3,309.7,301108047,9,Grim Batol,2024-10-18T16:25:24.000Z,1294535,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",織鳥,Paladin,Retribution,dps,Sundown Marsh
3,309.7,301108047,9,Grim Batol,2024-10-18T16:25:24.000Z,1294535,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",豆腐水果茶,Mage,Frost,dps,Arthas
3,309.7,301108047,9,Grim Batol,2024-10-18T16:25:24.000Z,1294535,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",曾經我也想過,Demon Hunter,Vengeance,tank,Bleeding Hollow
3,309.7,301108047,9,Grim Batol,2024-10-18T16:25:24.000Z,1294535,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",喵小美,Shaman,Restoration,healer,Frostmane
4,309.6,301078293,9,Grim Batol,2024-10-18T13:32:27.000Z,1301769,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",磁能線,Shaman,Enhancement,dps,Quel'dorei
4,309.6,301078293,9,Grim Batol,2024-10-18T13:32:27.000Z,1301769,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",冬眠熊丶,Warrior,Protection,tank,Wrathbringer
