rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,305918852,9,Grim Batol,2024-11-08T21:14:37.000Z,1233132,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",南小條,Priest,Discipline,healer,Arthas
1,310,305918852,9,Grim Batol,2024-11-08T21:14:37.000Z,1233132,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Xiaohelr,Hunter,Beast Mastery,dps,Frostmane
1,310,305918852,9,Grim Batol,2024-11-08T21:14:37.000Z,1233132,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",靈感,Paladin,Protection,tank,Chillwind Point
1,310,305918852,9,Grim Batol,2024-11-08T21:14:37.000Z,1233132,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",低能哥布林,Rogue,Assassination,dps,Arthas
1,310,305918852,9,Grim Batol,2024-11-08T21:14:37.000Z,1233132,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Iu,Shaman,Enhancement,dps,Bleeding Hollow
2,310,306563598,9,Grim Batol,2024-11-11T16:29:04.000Z,1254281,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",蔥油餅泰庫,Shaman,Elemental,dps,Sundown Marsh
2,310,306563598,9,Grim Batol,2024-11-11T16:29:04.000Z,1254281,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",電下去才會爽,Shaman,Enhancement,dps,Silverwing Hold
2,310,306563598,9,Grim Batol,2024-11-11T16:29:04.000Z,1254281,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",一銀次一,Rogue,Assassination,dps,Sundown Marsh
2,310,306563598,9,Grim Batol,2024-11-11T16:29:04.000Z,1254281,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",小酸奶,Shaman,Restoration,healer,Sundown Marsh
2,310,306563598,9,Grim Batol,2024-11-11T16:29:04.000Z,1254281,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",鋼鐵日托獸,Paladin,Protection,tank,Sundown Marsh
3,310,306027964,9,Grim Batol,2024-11-09T06:49:36.000Z,1270263,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",香蕉果凍,Rogue,Outlaw,dps,Whisperwind
3,310,306027964,9,Grim Batol,2024-11-09T06:49:36.000Z,1270263,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Tengri,Shaman,Enhancement,dps,Frostmane
3,310,306027964,9,Grim Batol,2024-11-09T06:49:36.000Z,1270263,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",一滴,Hunter,Survival,dps,Arygos
3,310,306027964,9,Grim Batol,2024-11-09T06:49:36.000Z,1270263,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",零變小牧,Priest,Discipline,healer,Light's Hope
3,310,306027964,9,Grim Batol,2024-11-09T06:49:36.000Z,1270263,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",布萊克微氪,Warrior,Protection,tank,Arthas
4,310,306055253,9,Grim Batol,2024-11-09T12:25:43.000Z,1270474,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",佩口薩,Shaman,Elemental,dps,Wrathbringer
4,310,306055253,9,Grim Batol,2024-11-09T12:25:43.000Z,1270474,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",冬瓜僧,Monk,Windwalker,dps,Arthas
4,310,306055253,9,Grim Batol,2024-11-09T12:25:43.000Z,1270474,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",光鑄史瓦羅,Paladin,Protection,tank,Arygos
4,310,306055253,9,Grim Batol,2024-11-09T12:25:43.000Z,1270474,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",佐倉綾音,Mage,Frost,dps,Chillwind Point
4,310,306055253,9,Grim Batol,2024-11-09T12:25:43.000Z,1270474,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",澳洲小留子,Shaman,Restoration,healer,Stormscale
5,310,306302658,9,Grim Batol,2024-11-10T12:20:15.000Z,1280059,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",香蕉果凍,Rogue,Outlaw,dps,Whisperwind
5,310,306302658,9,Grim Batol,2024-11-10T12:20:15.000Z,1280059,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",薇薇安娜,Paladin,Retribution,dps,Silverwing Hold
