rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,307.8,297924250,9,Grim Batol,2024-10-05T17:40:36.000Z,1402043,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Pkai,Paladin,Retribution,dps,Shadowmoon
1,307.8,297924250,9,Grim Batol,2024-10-05T17:40:36.000Z,1402043,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",風流小郎君,Hunter,Marksmanship,dps,Zealot Blade
1,307.8,297924250,9,Grim Batol,2024-10-05T17:40:36.000Z,1402043,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",南蠻武僧,Monk,Windwalker,dps,Sundown Marsh
1,307.8,297924250,9,Grim Batol,2024-10-05T17:40:36.000Z,1402043,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",米果怕巧巧,Warrior,Protection,tank,World Tree
1,307.8,297924250,9,Grim Batol,2024-10-05T17:40:36.000Z,1402043,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",薩滿胖,Shaman,Restoration,healer,World Tree
2,307.6,297789777,9,Grim Batol,2024-10-05T04:44:51.000Z,1412189,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Wildhunt,Death Knight,Unholy,dps,Wrathbringer
2,307.6,297789777,9,Grim Batol,2024-10-05T04:44:51.000Z,1412189,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",採到玻璃杯,Shaman,Restoration,healer,Stormscale
2,307.6,297789777,9,Grim Batol,2024-10-05T04:44:51.000Z,1412189,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",沙威龍,Evoker,Devastation,dps,Silverwing Hold
2,307.6,297789777,9,Grim Batol,2024-10-05T04:44:51.000Z,1412189,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",丨洛薩丨,Death Knight,Blood,tank,Crystalpine Stinger
2,307.6,297789777,9,Grim Batol,2024-10-05T04:44:51.000Z,1412189,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Hatgreen,Rogue,Assassination,dps,Sundown Marsh
3,307.4,309498155,9,Grim Batol,2024-11-28T13:47:27.000Z,1427059,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",綠鬼纏身,Mage,Frost,dps,World Tree
3,307.4,309498155,9,Grim Batol,2024-11-28T13:47:27.000Z,1427059,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",貓忘魚尾紗,Priest,Discipline,healer,Sundown Marsh
3,307.4,309498155,9,Grim Batol,2024-11-28T13:47:27.000Z,1427059,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",沄浠,Warrior,Arms,dps,Stormscale
3,307.4,309498155,9,Grim Batol,2024-11-28T13:47:27.000Z,1427059,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Renegades,Monk,Windwalker,dps,Light's Hope
3,307.4,309498155,9,Grim Batol,2024-11-28T13:47:27.000Z,1427059,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Xypher,Paladin,Protection,tank,Shadowmoon
4,307.3,298431051,9,Grim Batol,2024-10-06T14:55:36.000Z,1429656,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",好男獸,Warrior,Protection,tank,Spirestone
4,307.3,298431051,9,Grim Batol,2024-10-06T14:55:36.000Z,1429656,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",想吵架是不是,Hunter,Survival,dps,Spirestone
4,307.3,298431051,9,Grim Batol,2024-10-06T14:55:36.000Z,1429656,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",焰刁,Shaman,Restoration,healer,Spirestone
4,307.3,298431051,9,Grim Batol,2024-10-06T14:55:36.000Z,1429656,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Smalldiedk,Death Knight,Unholy,dps,Chillwind Point
4,307.3,298431051,9,Grim Batol,2024-10-06T14:55:36.000Z,1429656,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",跑反了搞搞,Death Knight,Frost,dps,Spirestone
5,307.2,298124311,9,Grim Batol,2024-10-06T06:26:53.000Z,1439247,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",曉秋,Hunter,Marksmanship,dps,Frostmane
5,307.2,298124311,9,Grim Batol,2024-10-06T06:26:53.000Z,1439247,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",普莉希菈,Shaman,Restoration,healer,Menethil
5,307.2,298124311,9,Grim Batol,2024-10-06T06:26:53.000Z,1439247,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",武武,Evoker,Augmentation,dps,Sundown Marsh
5,307.2,298124311,9,Grim Batol,2024-10-06T06:26:53.000Z,1439247,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Haruaki,Paladin,Retribution,dps,Menethil
5,307.2,298124311,9,Grim Batol,2024-10-06T06:26:53.000Z,1439247,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Yamadope,Warrior,Protection,tank,Menethil
6,307.1,298288119,9,Grim Batol,2024-10-06T18:19:59.000Z,1442776,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",桐谷和人,Demon Hunter,Havoc,dps,Shadowmoon
6,307.1,298288119,9,Grim Batol,2024-10-06T18:19:59.000Z,1442776,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",墨角,Warrior,Protection,tank,Bleeding Hollow
6,307.1,298288119,9,Grim Batol,2024-10-06T18:19:59.000Z,1442776,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",奶奶薩,Shaman,Restoration,healer,Nightsong
6,307.1,298288119,9,Grim Batol,2024-10-06T18:19:59.000Z,1442776,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",哈沫,Demon Hunter,Havoc,dps,Nightsong
6,307.1,298288119,9,Grim Batol,2024-10-06T18:19:59.000Z,1442776,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Ko,Rogue,Assassination,dps,Menethil
7,307.1,297648603,9,Grim Batol,2024-10-04T17:23:20.000Z,1445424,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",法法香蕉,Mage,Fire,dps,Zealot Blade
7,307.1,297648603,9,Grim Batol,2024-10-04T17:23:20.000Z,1445424,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",楔楔泥,Rogue,Assassination,dps,Nightsong
7,307.1,297648603,9,Grim Batol,2024-10-04T17:23:20.000Z,1445424,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",菠菠麗娜,Shaman,Restoration,healer,Arthas
7,307.1,297648603,9,Grim Batol,2024-10-04T17:23:20.000Z,1445424,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",地獄瓜,Warrior,Fury,dps,Zealot Blade
7,307.1,297648603,9,Grim Batol,2024-10-04T17:23:20.000Z,1445424,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",羽毛太玄經,Monk,Brewmaster,tank,Silverwing Hold
8,307,298634415,9,Grim Batol,2024-10-08T13:04:34.000Z,1446990,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Haagendazs,Mage,Fire,dps,Shadowmoon
8,307,298634415,9,Grim Batol,2024-10-08T13:04:34.000Z,1446990,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",月洛,Druid,Balance,dps,Nightsong
8,307,298634415,9,Grim Batol,2024-10-08T13:04:34.000Z,1446990,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Mickcy,Priest,Holy,healer,Light's Hope
8,307,298634415,9,Grim Batol,2024-10-08T13:04:34.000Z,1446990,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Smalldiedk,Death Knight,Unholy,dps,Chillwind Point
8,307,298634415,9,Grim Batol,2024-10-08T13:04:34.000Z,1446990,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",犬月月,Druid,Guardian,tank,Chillwind Point
9,307,298413059,9,Grim Batol,2024-10-07T10:52:00.000Z,1447297,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",秋風的流浪,Shaman,Restoration,healer,Shadowmoon
9,307,298413059,9,Grim Batol,2024-10-07T10:52:00.000Z,1447297,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Fraeniririr,Death Knight,Unholy,dps,Sundown Marsh
9,307,298413059,9,Grim Batol,2024-10-07T10:52:00.000Z,1447297,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",愛吃鬼巧喬,Warlock,Demonology,dps,Sundown Marsh
9,307,298413059,9,Grim Batol,2024-10-07T10:52:00.000Z,1447297,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Doki,Demon Hunter,Havoc,dps,Silverwing Hold
9,307,298413059,9,Grim Batol,2024-10-07T10:52:00.000Z,1447297,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",猛男,Warrior,Protection,tank,Silverwing Hold
10,307,298225865,9,Grim Batol,2024-10-06T17:05:05.000Z,1447852,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",萌柱,Shaman,Restoration,healer,Menethil
10,307,298225865,9,Grim Batol,2024-10-06T17:05:05.000Z,1447852,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",韁劾,Warlock,Destruction,dps,Nightsong
10,307,298225865,9,Grim Batol,2024-10-06T17:05:05.000Z,1447852,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",惡狼賊,Rogue,Assassination,dps,World Tree
10,307,298225865,9,Grim Batol,2024-10-06T17:05:05.000Z,1447852,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",石小傑,Druid,Balance,dps,World Tree
10,307,298225865,9,Grim Batol,2024-10-06T17:05:05.000Z,1447852,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",威爾海扁,Warrior,Protection,tank,Frostmane
11,306.9,297847945,9,Grim Batol,2024-10-05T07:16:16.000Z,1454666,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",殤痕羽,Demon Hunter,Havoc,dps,Shadowmoon
11,306.9,297847945,9,Grim Batol,2024-10-05T07:16:16.000Z,1454666,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",龍虎式,Monk,Windwalker,dps,Hellscream
11,306.9,297847945,9,Grim Batol,2024-10-05T07:16:16.000Z,1454666,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",牛妞撓屁屁,Paladin,Holy,healer,Chillwind Point
11,306.9,297847945,9,Grim Batol,2024-10-05T07:16:16.000Z,1454666,2130999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",沉默的魯伊,Druid,Balance,dps,Chillwind Point
