rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,303378652,9,Grim Batol,2024-10-28T06:52:29.000Z,936835,2130999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Meq,Paladin,Protection,tank,Frostmourne
1,310,303378652,9,Grim Batol,2024-10-28T06:52:29.000Z,936835,2130999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Logeker,Druid,Balance,dps,Frostmourne
1,310,303378652,9,Grim Batol,2024-10-28T06:52:29.000Z,936835,2130999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Equi,Shaman,Enhancement,dps,Frostmourne
1,310,303378652,9,Grim Batol,2024-10-28T06:52:29.000Z,936835,2130999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Rokus,Shaman,Enhancement,dps,Frostmourne
1,310,303378652,9,Grim Batol,2024-10-28T06:52:29.000Z,936835,2130999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Rockaddict,Shaman,Restoration,healer,Frostmourne
2,310,303248269,9,Grim Batol,2024-10-27T18:58:14.000Z,1072163,2130999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Jurucik,Hunter,Survival,dps,Bleeding Hollow
2,310,303248269,9,Grim Batol,2024-10-27T18:58:14.000Z,1072163,2130999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Magickid-230059272,Shaman,Restoration,healer,Stormrage
2,310,303248269,9,Grim Batol,2024-10-27T18:58:14.000Z,1072163,2130999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Utiputin-230059274,Warrior,Protection,tank,Stormrage
2,310,303248269,9,Grim Batol,2024-10-27T18:58:14.000Z,1072163,2130999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Frèak-230059281,Rogue,Assassination,dps,Stormrage
2,310,303248269,9,Grim Batol,2024-10-27T18:58:14.000Z,1072163,2130999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Sanguinnea-230059282,Death Knight,Frost,dps,Stormrage
