rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,308505546,9,Grim Batol,2024-11-21T00:45:47.000Z,1091012,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Nymaris,Rogue,Outlaw,dps,Thrall
1,310,308505546,9,Grim Batol,2024-11-21T00:45:47.000Z,1091012,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Goje,Paladin,Protection,tank,Thrall
1,310,308505546,9,Grim Batol,2024-11-21T00:45:47.000Z,1091012,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Leoshaman,Shaman,Enhancement,dps,Thrall
1,310,308505546,9,Grim Batol,2024-11-21T00:45:47.000Z,1091012,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Hukag,Druid,Restoration,healer,Hyjal
1,310,308505546,9,Grim Batol,2024-11-21T00:45:47.000Z,1091012,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Bilboithrall-228310060,Shaman,Enhancement,dps,Thrall
2,310,308241368,9,Grim Batol,2024-11-20T03:19:35.000Z,1103198,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Weydz,Rogue,Assassination,dps,Illidan
2,310,308241368,9,Grim Batol,2024-11-20T03:19:35.000Z,1103198,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Grimshunter,Hunter,Survival,dps,Illidan
2,310,308241368,9,Grim Batol,2024-11-20T03:19:35.000Z,1103198,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Shamuman,Shaman,Enhancement,dps,Stormrage
2,310,308241368,9,Grim Batol,2024-11-20T03:19:35.000Z,1103198,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Shagdebum,Priest,Discipline,healer,Stormrage
2,310,308241368,9,Grim Batol,2024-11-20T03:19:35.000Z,1103198,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Smoothpal,Paladin,Protection,tank,Zul'jin
3,310,308673370,9,Grim Batol,2024-11-23T01:56:50.000Z,1112176,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Embrr,Hunter,Survival,dps,Area 52
3,310,308673370,9,Grim Batol,2024-11-23T01:56:50.000Z,1112176,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Alý,Monk,Mistweaver,healer,Area 52
3,310,308673370,9,Grim Batol,2024-11-23T01:56:50.000Z,1112176,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Manamonk,Monk,Windwalker,dps,Zul'jin
3,310,308673370,9,Grim Batol,2024-11-23T01:56:50.000Z,1112176,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Badtzmarü,Rogue,Assassination,dps,Illidan
3,310,308673370,9,Grim Batol,2024-11-23T01:56:50.000Z,1112176,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Haangy,Paladin,Protection,tank,Tichondrius
4,310,308616041,9,Grim Batol,2024-11-22T19:31:42.000Z,1137310,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Miraclee,Paladin,Protection,tank,Ragnaros
4,310,308616041,9,Grim Batol,2024-11-22T19:31:42.000Z,1137310,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Sneaktar,Rogue,Assassination,dps,Proudmoore
4,310,308616041,9,Grim Batol,2024-11-22T19:31:42.000Z,1137310,2130999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Jubeilol,Shaman,Enhancement,dps,Tichondrius
