rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,300734152,9,Grim Batol,2024-10-16T15:24:54.000Z,1084330,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Atreju-19228256,Rogue,Assassination,dps,Ragnaros
1,310,300734152,9,Grim Batol,2024-10-16T15:24:54.000Z,1084330,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Kinkykorean,Rogue,Assassination,dps,Tichondrius
1,310,300734152,9,Grim Batol,2024-10-16T15:24:54.000Z,1084330,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Valkuridk,Death Knight,Frost,dps,Medivh
1,310,300734152,9,Grim Batol,2024-10-16T15:24:54.000Z,1084330,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Warmashib,Warrior,Protection,tank,Stormrage
1,310,300734152,9,Grim Batol,2024-10-16T15:24:54.000Z,1084330,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Fentdeshaman,Shaman,Restoration,healer,Illidan
2,310,300868004,9,Grim Batol,2024-10-16T12:25:06.000Z,1105036,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Taylerswift-57402865,Paladin,Holy,healer,Jubei'Thos
2,310,300868004,9,Grim Batol,2024-10-16T12:25:06.000Z,1105036,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Mailde-204371111,Death Knight,Frost,dps,Stormrage
2,310,300868004,9,Grim Batol,2024-10-16T12:25:06.000Z,1105036,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Flaminfire,Shaman,Enhancement,dps,Area 52
2,310,300868004,9,Grim Batol,2024-10-16T12:25:06.000Z,1105036,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Whatcanyoudo,Paladin,Retribution,dps,Area 52
2,310,300868004,9,Grim Batol,2024-10-16T12:25:06.000Z,1105036,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Blewmaster,Warrior,Protection,tank,Proudmoore
3,310,301120874,9,Grim Batol,2024-10-18T17:23:12.000Z,1109514,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Gvjellybeans,Hunter,Survival,dps,Tichondrius
3,310,301120874,9,Grim Batol,2024-10-18T17:23:12.000Z,1109514,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Aryaxv,Rogue,Assassination,dps,Frostmourne
3,310,301120874,9,Grim Batol,2024-10-18T17:23:12.000Z,1109514,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Yeji-228736234,Warrior,Protection,tank,Mal'Ganis
3,310,301120874,9,Grim Batol,2024-10-18T17:23:12.000Z,1109514,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Mysther,Death Knight,Frost,dps,Illidan
3,310,301120874,9,Grim Batol,2024-10-18T17:23:12.000Z,1109514,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Snutzy,Shaman,Restoration,healer,Illidan
4,310,301153787,9,Grim Batol,2024-10-18T19:35:51.000Z,1164924,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Debâser,Hunter,Marksmanship,dps,Stormrage
4,310,301153787,9,Grim Batol,2024-10-18T19:35:51.000Z,1164924,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Scrïpture,Paladin,Retribution,dps,Stormrage
4,310,301153787,9,Grim Batol,2024-10-18T19:35:51.000Z,1164924,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Rockystorm,Warrior,Protection,tank,Stormrage
4,310,301153787,9,Grim Batol,2024-10-18T19:35:51.000Z,1164924,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Junpei,Shaman,Restoration,healer,Stormrage
4,310,301153787,9,Grim Batol,2024-10-18T19:35:51.000Z,1164924,2130999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Demav,Death Knight,Frost,dps,Tichondrius
