rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,306002739,9,Grim Batol,2024-11-09T05:39:27.000Z,1065984,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Zajindaklu,Shaman,Enhancement,dps,Burning Blade
1,310,306002739,9,Grim Batol,2024-11-09T05:39:27.000Z,1065984,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Taxidk,Death Knight,Frost,dps,Illidan
1,310,306002739,9,Grim Batol,2024-11-09T05:39:27.000Z,1065984,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Unclegary-137208058,Shaman,Restoration,healer,Mal'Ganis
1,310,306002739,9,Grim Batol,2024-11-09T05:39:27.000Z,1065984,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Sunnier,Paladin,Protection,tank,Area 52
1,310,306002739,9,Grim Batol,2024-11-09T05:39:27.000Z,1065984,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Correctional,Paladin,Retribution,dps,Area 52
2,310,305932280,9,Grim Batol,2024-11-08T22:33:28.000Z,1128612,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Xeed,Paladin,Protection,tank,Sargeras
2,310,305932280,9,Grim Batol,2024-11-08T22:33:28.000Z,1128612,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Cossie,Shaman,Enhancement,dps,Sargeras
2,310,305932280,9,Grim Batol,2024-11-08T22:33:28.000Z,1128612,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Sendkneepics,Shaman,Elemental,dps,Sargeras
2,310,305932280,9,Grim Batol,2024-11-08T22:33:28.000Z,1128612,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Courroucé,Shaman,Restoration,healer,Thrall
2,310,305932280,9,Grim Batol,2024-11-08T22:33:28.000Z,1128612,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Choopragosa,Death Knight,Frost,dps,Bleeding Hollow
3,310,306484505,9,Grim Batol,2024-11-11T03:29:24.000Z,1153180,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Foxykitsu,Paladin,Protection,tank,Fizzcrank
3,310,306484505,9,Grim Batol,2024-11-11T03:29:24.000Z,1153180,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Applewoods,Paladin,Retribution,dps,Tichondrius
3,310,306484505,9,Grim Batol,2024-11-11T03:29:24.000Z,1153180,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Bussyburglar,Rogue,Assassination,dps,Proudmoore
3,310,306484505,9,Grim Batol,2024-11-11T03:29:24.000Z,1153180,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Pisscorn,Shaman,Enhancement,dps,Proudmoore
3,310,306484505,9,Grim Batol,2024-11-11T03:29:24.000Z,1153180,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Ththththth,Priest,Discipline,healer,Area 52
4,310,305438146,9,Grim Batol,2024-11-06T05:54:28.000Z,1161179,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Invisbish-221074207,Rogue,Outlaw,dps,Stormrage
4,310,305438146,9,Grim Batol,2024-11-06T05:54:28.000Z,1161179,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Bloodysick,Death Knight,Frost,dps,Thrall
4,310,305438146,9,Grim Batol,2024-11-06T05:54:28.000Z,1161179,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Shappirex,Demon Hunter,Vengeance,tank,Illidan
4,310,305438146,9,Grim Batol,2024-11-06T05:54:28.000Z,1161179,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Nachiwów,Hunter,Survival,dps,Ragnaros
4,310,305438146,9,Grim Batol,2024-11-06T05:54:28.000Z,1161179,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Crazywavess,Shaman,Restoration,healer,Tichondrius
5,310,305961139,9,Grim Batol,2024-11-08T23:43:22.000Z,1169165,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Bìgjoo,Paladin,Protection,tank,Area 52
5,310,305961139,9,Grim Batol,2024-11-08T23:43:22.000Z,1169165,2130999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Flopshock,Shaman,Restoration,healer,Area 52
