rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,303821849,9,Mists of Tirna Scithe,2024-10-30T10:51:54.000Z,975336,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",天上云真白,Priest,Shadow,dps,Rhonin
1,310,303821849,9,Mists of Tirna Scithe,2024-10-30T10:51:54.000Z,975336,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",可口可乐龙,Evoker,Preservation,healer,Echo Ridge
1,310,303821849,9,Mists of Tirna Scithe,2024-10-30T10:51:54.000Z,975336,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Kexu,Shaman,Enhancement,dps,Rhonin
1,310,303821849,9,Mists of Tirna Scithe,2024-10-30T10:51:54.000Z,975336,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Tiohyl,Paladin,Protection,tank,Rhonin
1,310,303821849,9,Mists of Tirna Scithe,2024-10-30T10:51:54.000Z,975336,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",呼呼狐呼呼,Shaman,Elemental,dps,The Great Sea
2,310,302859296,9,Mists of Tirna Scithe,2024-10-26T06:18:56.000Z,995873,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",卡卡莉娜,Priest,Holy,healer,Isillien
2,310,302859296,9,Mists of Tirna Scithe,2024-10-26T06:18:56.000Z,995873,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",涂山图图,Warrior,Fury,dps,Isillien
2,310,302859296,9,Mists of Tirna Scithe,2024-10-26T06:18:56.000Z,995873,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",卡卡西索,Shaman,Elemental,dps,Isillien
2,310,302859296,9,Mists of Tirna Scithe,2024-10-26T06:18:56.000Z,995873,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Starimage,Hunter,Survival,dps,Isillien
2,310,302859296,9,Mists of Tirna Scithe,2024-10-26T06:18:56.000Z,995873,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",毛毛巨巨,Paladin,Protection,tank,Al'ar
3,310,302458059,9,Mists of Tirna Scithe,2024-10-24T10:13:52.000Z,1047116,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",速度灭从新来,Druid,Guardian,tank,Argus
3,310,302458059,9,Mists of Tirna Scithe,2024-10-24T10:13:52.000Z,1047116,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",丶致命的小寳,Hunter,Beast Mastery,dps,Pandaren
3,310,302458059,9,Mists of Tirna Scithe,2024-10-24T10:13:52.000Z,1047116,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",忧郁的影子,Shaman,Elemental,dps,Blanchard
3,310,302458059,9,Mists of Tirna Scithe,2024-10-24T10:13:52.000Z,1047116,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",你人没了,Priest,Discipline,healer,Burning Blade
3,310,302458059,9,Mists of Tirna Scithe,2024-10-24T10:13:52.000Z,1047116,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",烟花丨圣骑,Paladin,Retribution,dps,Arthas
4,310,303460946,9,Mists of Tirna Scithe,2024-10-28T18:55:40.000Z,1086911,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",根正苗红,Shaman,Enhancement,dps,Eredar
4,310,303460946,9,Mists of Tirna Scithe,2024-10-28T18:55:40.000Z,1086911,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",袁师傅,Monk,Mistweaver,healer,Al'ar
4,310,303460946,9,Mists of Tirna Scithe,2024-10-28T18:55:40.000Z,1086911,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",丶致命的小寳,Hunter,Beast Mastery,dps,Pandaren
4,310,303460946,9,Mists of Tirna Scithe,2024-10-28T18:55:40.000Z,1086911,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Earthsuck,Shaman,Elemental,dps,Deathwing
4,310,303460946,9,Mists of Tirna Scithe,2024-10-28T18:55:40.000Z,1086911,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",神棍筱德丶,Druid,Guardian,tank,Valley of Kings
5,310,302444662,9,Mists of Tirna Scithe,2024-10-24T07:53:29.000Z,1106661,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",如果你追到我,Monk,Brewmaster,tank,Kel'Thuzad
5,310,302444662,9,Mists of Tirna Scithe,2024-10-24T07:53:29.000Z,1106661,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",我不会咕的,Rogue,Outlaw,dps,Galakrond
5,310,302444662,9,Mists of Tirna Scithe,2024-10-24T07:53:29.000Z,1106661,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",鱼卡鈤,Paladin,Retribution,dps,Kel'Thuzad
5,310,302444662,9,Mists of Tirna Scithe,2024-10-24T07:53:29.000Z,1106661,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",欧修缇,Hunter,Marksmanship,dps,Scarlet Crusade
5,310,302444662,9,Mists of Tirna Scithe,2024-10-24T07:53:29.000Z,1106661,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",至矮王,Shaman,Restoration,healer,Galakrond
6,310,303815366,9,Mists of Tirna Scithe,2024-10-30T09:13:54.000Z,1108349,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",黄焖人米饭,Druid,Balance,dps,Al'ar
6,310,303815366,9,Mists of Tirna Scithe,2024-10-30T09:13:54.000Z,1108349,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",吃完饭嘿咻,Paladin,Retribution,dps,Al'ar
6,310,303815366,9,Mists of Tirna Scithe,2024-10-30T09:13:54.000Z,1108349,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",我要没蓝了,Paladin,Protection,tank,Silver Hand
