rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,307328136,9,Mists of Tirna Scithe,2024-11-15T15:44:42.000Z,843054,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",胖豆豆,Monk,Mistweaver,healer,Al'ar
1,310,307328136,9,Mists of Tirna Scithe,2024-11-15T15:44:42.000Z,843054,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",超酷小猪,Mage,Frost,dps,Al'ar
1,310,307328136,9,Mists of Tirna Scithe,2024-11-15T15:44:42.000Z,843054,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",柯基钟钟,Priest,Shadow,dps,Al'ar
1,310,307328136,9,Mists of Tirna Scithe,2024-11-15T15:44:42.000Z,843054,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",我要没蓝了,Paladin,Protection,tank,Silver Hand
1,310,307328136,9,Mists of Tirna Scithe,2024-11-15T15:44:42.000Z,843054,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",淳之介,Shaman,Enhancement,dps,Burning Blade
2,310,307170265,9,Mists of Tirna Scithe,2024-11-14T15:58:14.000Z,976740,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",宁青青,Mage,Frost,dps,Isillien
2,310,307170265,9,Mists of Tirna Scithe,2024-11-14T15:58:14.000Z,976740,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",丶人間小辣椒,Shaman,Restoration,healer,Isillien
2,310,307170265,9,Mists of Tirna Scithe,2024-11-14T15:58:14.000Z,976740,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",花胜丶,Evoker,Augmentation,dps,Isillien
2,310,307170265,9,Mists of Tirna Scithe,2024-11-14T15:58:14.000Z,976740,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",丰台强盗头子,Warrior,Protection,tank,Deathwing
2,310,307170265,9,Mists of Tirna Scithe,2024-11-14T15:58:14.000Z,976740,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",鱼多王,Paladin,Retribution,dps,Rhonin
3,310,307145175,9,Mists of Tirna Scithe,2024-11-14T11:53:35.000Z,1004460,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Iavmlys,Mage,Frost,dps,The Great Sea
3,310,307145175,9,Mists of Tirna Scithe,2024-11-14T11:53:35.000Z,1004460,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Cathinone,Priest,Shadow,dps,Swiftwind
3,310,307145175,9,Mists of Tirna Scithe,2024-11-14T11:53:35.000Z,1004460,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",捶捶哒丶,Paladin,Protection,tank,Deathwhisper
3,310,307145175,9,Mists of Tirna Scithe,2024-11-14T11:53:35.000Z,1004460,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",爱妞妞,Druid,Restoration,healer,Icecrown
3,310,307145175,9,Mists of Tirna Scithe,2024-11-14T11:53:35.000Z,1004460,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",爱莉希雅丷,Death Knight,Frost,dps,Deathwing
4,310,300296746,9,Mists of Tirna Scithe,2024-09-22T13:07:49.000Z,1040588,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Azzinotha,Demon Hunter,Vengeance,tank,Grim Batol
4,310,300296746,9,Mists of Tirna Scithe,2024-09-22T13:07:49.000Z,1040588,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Lcsalty,Mage,Arcane,dps,Echo Ridge
4,310,300296746,9,Mists of Tirna Scithe,2024-09-22T13:07:49.000Z,1040588,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",毒舌历险记,Death Knight,Frost,dps,Isillien
4,310,300296746,9,Mists of Tirna Scithe,2024-09-22T13:07:49.000Z,1040588,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",未来之景,Mage,Frost,dps,Deathwing
4,310,300296746,9,Mists of Tirna Scithe,2024-09-22T13:07:49.000Z,1040588,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Tianzuipri,Priest,Discipline,healer,Shadowmourne
5,310,294433150,9,Mists of Tirna Scithe,2024-09-23T06:25:44.000Z,1052209,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",秋伶,Mage,Fire,dps,Rhonin
5,310,294433150,9,Mists of Tirna Scithe,2024-09-23T06:25:44.000Z,1052209,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",记得开嗜血,Mage,Arcane,dps,Al'ar
5,310,294433150,9,Mists of Tirna Scithe,2024-09-23T06:25:44.000Z,1052209,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",止戈流呀,Demon Hunter,Havoc,dps,The Golden Plains
5,310,294433150,9,Mists of Tirna Scithe,2024-09-23T06:25:44.000Z,1052209,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",蓝瓜瓜,Shaman,Restoration,healer,The Forgotten Coast
5,310,294433150,9,Mists of Tirna Scithe,2024-09-23T06:25:44.000Z,1052209,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",白羽咲狼,Warrior,Protection,tank,Rhonin
6,310,294609284,9,Mists of Tirna Scithe,2024-09-23T13:55:22.000Z,1071672,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",谁是细狗,Evoker,Augmentation,dps,Deathwing
6,310,294609284,9,Mists of Tirna Scithe,2024-09-23T13:55:22.000Z,1071672,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Zimengprowr,Warrior,Protection,tank,Rhonin
6,310,294609284,9,Mists of Tirna Scithe,2024-09-23T13:55:22.000Z,1071672,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",红色战罗哥,Death Knight,Frost,dps,Burning Blade
6,310,294609284,9,Mists of Tirna Scithe,2024-09-23T13:55:22.000Z,1071672,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",阿瑞芮,Warlock,Destruction,dps,Rhonin
6,310,294609284,9,Mists of Tirna Scithe,2024-09-23T13:55:22.000Z,1071672,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",太对了咕,Shaman,Restoration,healer,Rhonin
7,310,300296673,9,Mists of Tirna Scithe,2024-09-19T15:43:28.000Z,1074325,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Rare,Demon Hunter,Vengeance,tank,Al'ar
7,310,300296673,9,Mists of Tirna Scithe,2024-09-19T15:43:28.000Z,1074325,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",毒舌历险记,Death Knight,Frost,dps,Isillien
7,310,300296673,9,Mists of Tirna Scithe,2024-09-19T15:43:28.000Z,1074325,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",灰烬旋律,Mage,Frost,dps,The Great Sea
7,310,300296673,9,Mists of Tirna Scithe,2024-09-19T15:43:28.000Z,1074325,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",末影龙涅,Evoker,Augmentation,dps,Al'ar
7,310,300296673,9,Mists of Tirna Scithe,2024-09-19T15:43:28.000Z,1074325,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",夏曦儿,Evoker,Preservation,healer,Shadowmourne
8,310,294106292,9,Mists of Tirna Scithe,2024-09-22T05:24:24.000Z,1108871,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Macleans,Mage,Arcane,dps,Silver Hand
