rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,296906669,9,Mists of Tirna Scithe,2024-10-01T06:06:23.000Z,928375,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",丿可露利呀,Priest,Discipline,healer,Al'ar
1,310,296906669,9,Mists of Tirna Scithe,2024-10-01T06:06:23.000Z,928375,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",姜萍,Evoker,Augmentation,dps,Galakrond
1,310,296906669,9,Mists of Tirna Scithe,2024-10-01T06:06:23.000Z,928375,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",万马齐暗,Death Knight,Unholy,dps,Al'ar
1,310,296906669,9,Mists of Tirna Scithe,2024-10-01T06:06:23.000Z,928375,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Changeesse,Demon Hunter,Vengeance,tank,Dark Iron
1,310,296906669,9,Mists of Tirna Scithe,2024-10-01T06:06:23.000Z,928375,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",别奶了快快灭,Mage,Fire,dps,Shadowmourne
2,310,296750620,9,Mists of Tirna Scithe,2024-09-30T17:29:09.000Z,974189,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",小白马丶,Paladin,Protection,tank,Deathwing
2,310,296750620,9,Mists of Tirna Scithe,2024-09-30T17:29:09.000Z,974189,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",橙龙快婿,Evoker,Augmentation,dps,Deathwing
2,310,296750620,9,Mists of Tirna Scithe,2024-09-30T17:29:09.000Z,974189,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",故与放纵丿,Paladin,Retribution,dps,Al'ar
2,310,296750620,9,Mists of Tirna Scithe,2024-09-30T17:29:09.000Z,974189,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",是阿年啊,Demon Hunter,Havoc,dps,Al'ar
2,310,296750620,9,Mists of Tirna Scithe,2024-09-30T17:29:09.000Z,974189,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",樱桃有点甜,Shaman,Restoration,healer,The Great Sea
3,310,308709792,9,Mists of Tirna Scithe,2024-11-23T08:32:14.000Z,984302,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",葬祭鬼鬼,Paladin,Retribution,dps,Dark Iron
3,310,308709792,9,Mists of Tirna Scithe,2024-11-23T08:32:14.000Z,984302,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",酒酿蜜桃丶,Priest,Discipline,healer,Isillien
3,310,308709792,9,Mists of Tirna Scithe,2024-11-23T08:32:14.000Z,984302,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",轻笔落墨,Druid,Guardian,tank,Icecrown
3,310,308709792,9,Mists of Tirna Scithe,2024-11-23T08:32:14.000Z,984302,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",神去到的地方,Shaman,Enhancement,dps,Rhonin
3,310,308709792,9,Mists of Tirna Scithe,2024-11-23T08:32:14.000Z,984302,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",樱桃猫子,Warrior,Arms,dps,Isillien
4,310,309081023,9,Mists of Tirna Scithe,2024-11-25T14:05:59.000Z,1042129,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Nevies,Paladin,Protection,tank,Rhonin
4,310,309081023,9,Mists of Tirna Scithe,2024-11-25T14:05:59.000Z,1042129,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",花型圣龙,Evoker,Augmentation,dps,Rhonin
4,310,309081023,9,Mists of Tirna Scithe,2024-11-25T14:05:59.000Z,1042129,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",老狼肥肥,Shaman,Enhancement,dps,Silver Hand
4,310,309081023,9,Mists of Tirna Scithe,2024-11-25T14:05:59.000Z,1042129,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",纳斯马图,Shaman,Restoration,healer,Al'ar
4,310,309081023,9,Mists of Tirna Scithe,2024-11-25T14:05:59.000Z,1042129,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",巧克力冰奶冻,Paladin,Retribution,dps,Silver Hand
5,310,295763685,9,Mists of Tirna Scithe,2024-09-27T16:00:54.000Z,1052576,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Fengjack,Rogue,Assassination,dps,Burning Blade
5,310,295763685,9,Mists of Tirna Scithe,2024-09-27T16:00:54.000Z,1052576,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",小诚,Druid,Guardian,tank,Al'ar
5,310,295763685,9,Mists of Tirna Scithe,2024-09-27T16:00:54.000Z,1052576,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",乔凌,Paladin,Holy,healer,Eldre'Thalas
5,310,295763685,9,Mists of Tirna Scithe,2024-09-27T16:00:54.000Z,1052576,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Jein,Evoker,Augmentation,dps,Deathwing
5,310,295763685,9,Mists of Tirna Scithe,2024-09-27T16:00:54.000Z,1052576,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",狂徒法,Mage,Fire,dps,Eldre'Thalas
6,310,308915330,9,Mists of Tirna Scithe,2024-11-24T12:10:19.000Z,1106915,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",无定,Rogue,Assassination,dps,Valley of Kings
6,310,308915330,9,Mists of Tirna Scithe,2024-11-24T12:10:19.000Z,1106915,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",嫩个萨满,Shaman,Restoration,healer,Rhonin
6,310,308915330,9,Mists of Tirna Scithe,2024-11-24T12:10:19.000Z,1106915,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",下次我挨揍,Paladin,Protection,tank,Isillien
6,310,308915330,9,Mists of Tirna Scithe,2024-11-24T12:10:19.000Z,1106915,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",美丽的夜,Paladin,Retribution,dps,Rajaxx
6,310,308915330,9,Mists of Tirna Scithe,2024-11-24T12:10:19.000Z,1106915,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",跑太慢了,Death Knight,Unholy,dps,Burning Blade
7,310,309081023,9,Mists of Tirna Scithe,2024-11-25T14:28:09.000Z,1110502,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Nevies,Paladin,Protection,tank,Rhonin
