rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,301563619,9,Mists of Tirna Scithe,2024-10-20T05:09:40.000Z,992421,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",夜斗,Paladin,Retribution,dps,Pandaren
1,310,301563619,9,Mists of Tirna Scithe,2024-10-20T05:09:40.000Z,992421,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",骑奶牛去看海,Warrior,Protection,tank,Pandaren
1,310,301563619,9,Mists of Tirna Scithe,2024-10-20T05:09:40.000Z,992421,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",流年沉香丶,Priest,Discipline,healer,Frostmourne
1,310,301563619,9,Mists of Tirna Scithe,2024-10-20T05:09:40.000Z,992421,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",琉璃梦,Mage,Frost,dps,Blanchard
1,310,301563619,9,Mists of Tirna Scithe,2024-10-20T05:09:40.000Z,992421,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",傲娇的肥鹅,Shaman,Elemental,dps,Echo Ridge
2,310,300831695,9,Mists of Tirna Scithe,2024-10-17T11:21:27.000Z,1044185,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",炸菊熊,Druid,Guardian,tank,Deepfury
2,310,300831695,9,Mists of Tirna Scithe,2024-10-17T11:21:27.000Z,1044185,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",梦魇之息,Warlock,Demonology,dps,Warsong
2,310,300831695,9,Mists of Tirna Scithe,2024-10-17T11:21:27.000Z,1044185,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",羞钩钩,Shaman,Restoration,healer,Isillien
2,310,300831695,9,Mists of Tirna Scithe,2024-10-17T11:21:27.000Z,1044185,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",无锡吴彦祖丶,Paladin,Retribution,dps,Deathwing
2,310,300831695,9,Mists of Tirna Scithe,2024-10-17T11:21:27.000Z,1044185,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Memorial,Rogue,Assassination,dps,Archimonde
