rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,303203066,9,Mists of Tirna Scithe,2024-10-27T15:25:07.000Z,917790,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Mcspicy,Shaman,Enhancement,dps,Draenor
1,310,303203066,9,Mists of Tirna Scithe,2024-10-27T15:25:07.000Z,917790,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Pieps,Priest,Discipline,healer,Dun Modr
1,310,303203066,9,Mists of Tirna Scithe,2024-10-27T15:25:07.000Z,917790,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Thundrboomie,Druid,Balance,dps,Sanguino
1,310,303203066,9,Mists of Tirna Scithe,2024-10-27T15:25:07.000Z,917790,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Cepa,Evoker,Augmentation,dps,Stormreaver
1,310,303203066,9,Mists of Tirna Scithe,2024-10-27T15:25:07.000Z,917790,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Gødjúdgmèntx,Paladin,Protection,tank,Outland
2,310,302940856,9,Mists of Tirna Scithe,2024-10-26T14:56:55.000Z,942589,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Wïïcked,Death Knight,Blood,tank,Hyjal
2,310,302940856,9,Mists of Tirna Scithe,2024-10-26T14:56:55.000Z,942589,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Croottus,Shaman,Enhancement,dps,Draenor
2,310,302940856,9,Mists of Tirna Scithe,2024-10-26T14:56:55.000Z,942589,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Chînobi,Paladin,Retribution,dps,Blackhand
2,310,302940856,9,Mists of Tirna Scithe,2024-10-26T14:56:55.000Z,942589,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Радиохедкрип,Priest,Discipline,healer,Howling Fjord
2,310,302940856,9,Mists of Tirna Scithe,2024-10-26T14:56:55.000Z,942589,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Skyvleboomie,Druid,Balance,dps,Archimonde
3,310,302799212,9,Mists of Tirna Scithe,2024-10-25T22:28:13.000Z,949862,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Zered,Warrior,Protection,tank,Defias Brotherhood
3,310,302799212,9,Mists of Tirna Scithe,2024-10-25T22:28:13.000Z,949862,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Ratut,Mage,Arcane,dps,Defias Brotherhood
3,310,302799212,9,Mists of Tirna Scithe,2024-10-25T22:28:13.000Z,949862,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Fistrik,Monk,Mistweaver,healer,Earthen Ring
3,310,302799212,9,Mists of Tirna Scithe,2024-10-25T22:28:13.000Z,949862,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Røttenlnside,Rogue,Assassination,dps,Draenor
3,310,302799212,9,Mists of Tirna Scithe,2024-10-25T22:28:13.000Z,949862,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Nigel,Death Knight,Unholy,dps,Darkmoon Faire
4,310,302544410,9,Mists of Tirna Scithe,2024-10-24T20:44:55.000Z,961205,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Rezsoul,Paladin,Retribution,dps,Thrall
