rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,307386083,9,Mists of Tirna Scithe,2024-11-15T20:25:41.000Z,894539,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Tavet,Hunter,Marksmanship,dps,Sylvanas
1,310,307386083,9,Mists of Tirna Scithe,2024-11-15T20:25:41.000Z,894539,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Shoyoumeld,Priest,Discipline,healer,Silvermoon
1,310,307386083,9,Mists of Tirna Scithe,2024-11-15T20:25:41.000Z,894539,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Fbless,Paladin,Protection,tank,Silvermoon
1,310,307386083,9,Mists of Tirna Scithe,2024-11-15T20:25:41.000Z,894539,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Facemik,Shaman,Enhancement,dps,Twisting Nether
1,310,307386083,9,Mists of Tirna Scithe,2024-11-15T20:25:41.000Z,894539,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Измаал,Paladin,Retribution,dps,Howling Fjord
2,310,293099677,9,Mists of Tirna Scithe,2024-09-19T06:40:18.000Z,907252,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Felpinky,Demon Hunter,Havoc,dps,Stormscale
2,310,293099677,9,Mists of Tirna Scithe,2024-09-19T06:40:18.000Z,907252,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Rycnhuh,Priest,Discipline,healer,Tarren Mill
2,310,293099677,9,Mists of Tirna Scithe,2024-09-19T06:40:18.000Z,907252,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Gingipumper,Mage,Arcane,dps,Tarren Mill
2,310,293099677,9,Mists of Tirna Scithe,2024-09-19T06:40:18.000Z,907252,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Revvezt,Warrior,Fury,dps,Tarren Mill
2,310,293099677,9,Mists of Tirna Scithe,2024-09-19T06:40:18.000Z,907252,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Meeresbarrel,Monk,Brewmaster,tank,Tarren Mill
3,310,307422370,9,Mists of Tirna Scithe,2024-11-15T20:45:42.000Z,911646,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Bombastic,Evoker,Augmentation,dps,Dunemaul
3,310,307422370,9,Mists of Tirna Scithe,2024-11-15T20:45:42.000Z,911646,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Shoyoumeld,Priest,Discipline,healer,Silvermoon
3,310,307422370,9,Mists of Tirna Scithe,2024-11-15T20:45:42.000Z,911646,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Fbless,Paladin,Protection,tank,Silvermoon
3,310,307422370,9,Mists of Tirna Scithe,2024-11-15T20:45:42.000Z,911646,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Facemik,Shaman,Enhancement,dps,Twisting Nether
3,310,307422370,9,Mists of Tirna Scithe,2024-11-15T20:45:42.000Z,911646,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Измаал,Paladin,Retribution,dps,Howling Fjord
4,310,308117346,9,Mists of Tirna Scithe,2024-11-19T17:12:09.000Z,917838,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Méruemeuh,Paladin,Protection,tank,Ysondre
