rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,300904943,9,Mists of Tirna Scithe,2024-10-17T17:40:14.000Z,916925,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Matshoof,Demon Hunter,Havoc,dps,Tarren Mill
1,310,300904943,9,Mists of Tirna Scithe,2024-10-17T17:40:14.000Z,916925,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Amook,Druid,Restoration,healer,Twisting Nether
1,310,300904943,9,Mists of Tirna Scithe,2024-10-17T17:40:14.000Z,916925,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Oldgedonkey,Warrior,Protection,tank,Twisting Nether
1,310,300904943,9,Mists of Tirna Scithe,2024-10-17T17:40:14.000Z,916925,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Allyanax,Mage,Arcane,dps,Twisting Nether
1,310,300904943,9,Mists of Tirna Scithe,2024-10-17T17:40:14.000Z,916925,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Umrelafenka,Death Knight,Frost,dps,Twisting Nether
2,310,300603729,9,Mists of Tirna Scithe,2024-10-16T11:51:25.000Z,938359,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Startoverdh,Demon Hunter,Vengeance,tank,Silvermoon
2,310,300603729,9,Mists of Tirna Scithe,2024-10-16T11:51:25.000Z,938359,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Sombrop,Mage,Arcane,dps,Hyjal
2,310,300603729,9,Mists of Tirna Scithe,2024-10-16T11:51:25.000Z,938359,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Totemgoêsbrr,Shaman,Restoration,healer,Blackmoore
2,310,300603729,9,Mists of Tirna Scithe,2024-10-16T11:51:25.000Z,938359,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Nemeryl,Monk,Windwalker,dps,Blackmoore
2,310,300603729,9,Mists of Tirna Scithe,2024-10-16T11:51:25.000Z,938359,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Bödy,Druid,Balance,dps,Hyjal
3,310,300803229,9,Mists of Tirna Scithe,2024-10-17T06:24:13.000Z,953409,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Clarena,Rogue,Assassination,dps,Tarren Mill
3,310,300803229,9,Mists of Tirna Scithe,2024-10-17T06:24:13.000Z,953409,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Deghinsea,Paladin,Protection,tank,Tarren Mill
3,310,300803229,9,Mists of Tirna Scithe,2024-10-17T06:24:13.000Z,953409,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Notmystral,Mage,Arcane,dps,Quel'Thalas
