rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,305629997,9,Mists of Tirna Scithe,2024-11-07T14:57:12.000Z,801439,1890999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Рэйвмейв,Evoker,Augmentation,dps,Howling Fjord
1,310,305629997,9,Mists of Tirna Scithe,2024-11-07T14:57:12.000Z,801439,1890999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Formgodx,Paladin,Protection,tank,Kazzak
1,310,305629997,9,Mists of Tirna Scithe,2024-11-07T14:57:12.000Z,801439,1890999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Dlkey,Evoker,Augmentation,dps,Stormscale
1,310,305629997,9,Mists of Tirna Scithe,2024-11-07T14:57:12.000Z,801439,1890999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Ivriblue,Shaman,Enhancement,dps,Silvermoon
1,310,305629997,9,Mists of Tirna Scithe,2024-11-07T14:57:12.000Z,801439,1890999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Joyemoji,Priest,Discipline,healer,Stormscale
2,310,306563355,9,Mists of Tirna Scithe,2024-11-11T16:01:42.000Z,871935,1890999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Mkek,Paladin,Protection,tank,Draenor
2,310,306563355,9,Mists of Tirna Scithe,2024-11-11T16:01:42.000Z,871935,1890999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Dopasm,Shaman,Enhancement,dps,Twisting Nether
2,310,306563355,9,Mists of Tirna Scithe,2024-11-11T16:01:42.000Z,871935,1890999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Snajpdog,Death Knight,Frost,dps,Draenor
2,310,306563355,9,Mists of Tirna Scithe,2024-11-11T16:01:42.000Z,871935,1890999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Фобосс-228309934,Warrior,Fury,dps,Howling Fjord
2,310,306563355,9,Mists of Tirna Scithe,2024-11-11T16:01:42.000Z,871935,1890999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Xalsham,Shaman,Restoration,healer,Blackrock
3,310,306088602,9,Mists of Tirna Scithe,2024-11-09T00:28:07.000Z,879453,1890999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Radnarock,Paladin,Retribution,dps,Hyjal
3,310,306088602,9,Mists of Tirna Scithe,2024-11-09T00:28:07.000Z,879453,1890999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Guiguirock,Paladin,Protection,tank,Hyjal
3,310,306088602,9,Mists of Tirna Scithe,2024-11-09T00:28:07.000Z,879453,1890999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Fallane,Shaman,Restoration,healer,Hyjal
3,310,306088602,9,Mists of Tirna Scithe,2024-11-09T00:28:07.000Z,879453,1890999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Starføu,Druid,Balance,dps,Hyjal
3,310,306088602,9,Mists of Tirna Scithe,2024-11-09T00:28:07.000Z,879453,1890999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Alexapagnan,Mage,Arcane,dps,Hyjal
4,310,305946662,9,Mists of Tirna Scithe,2024-11-08T18:33:50.000Z,888622,1890999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Sosokgripok,Death Knight,Blood,tank,Ravencrest
4,310,305946662,9,Mists of Tirna Scithe,2024-11-08T18:33:50.000Z,888622,1890999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Nirnena,Priest,Holy,healer,Ravencrest
4,310,305946662,9,Mists of Tirna Scithe,2024-11-08T18:33:50.000Z,888622,1890999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Eeones,Shaman,Enhancement,dps,Kazzak
4,310,305946662,9,Mists of Tirna Scithe,2024-11-08T18:33:50.000Z,888622,1890999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Frosbyhnt,Hunter,Survival,dps,Kazzak
4,310,305946662,9,Mists of Tirna Scithe,2024-11-08T18:33:50.000Z,888622,1890999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Idelyn,Evoker,Augmentation,dps,Kazzak
