rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,303849355,9,Mists of Tirna Scithe,2024-10-30T04:11:31.000Z,992086,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",강력한멘탈,Paladin,Protection,tank,Azshara
1,310,303849355,9,Mists of Tirna Scithe,2024-10-30T04:11:31.000Z,992086,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",이태기의질풍토템,Shaman,Enhancement,dps,Azshara
1,310,303849355,9,Mists of Tirna Scithe,2024-10-30T04:11:31.000Z,992086,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",꼬마꼬북,Shaman,Elemental,dps,Azshara
1,310,303849355,9,Mists of Tirna Scithe,2024-10-30T04:11:31.000Z,992086,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",라임키위,Evoker,Preservation,healer,Azshara
1,310,303849355,9,Mists of Tirna Scithe,2024-10-30T04:11:31.000Z,992086,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",쫑스양,Mage,Arcane,dps,Azshara
2,310,302727615,9,Mists of Tirna Scithe,2024-10-25T11:12:04.000Z,993965,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",읍내동,Druid,Balance,dps,Azshara
2,310,302727615,9,Mists of Tirna Scithe,2024-10-25T11:12:04.000Z,993965,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",무력화,Warrior,Protection,tank,Azshara
2,310,302727615,9,Mists of Tirna Scithe,2024-10-25T11:12:04.000Z,993965,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",오피스녀,Paladin,Holy,healer,Azshara
2,310,302727615,9,Mists of Tirna Scithe,2024-10-25T11:12:04.000Z,993965,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Venty,Rogue,Assassination,dps,Azshara
2,310,302727615,9,Mists of Tirna Scithe,2024-10-25T11:12:04.000Z,993965,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",휴템,Shaman,Elemental,dps,Azshara
