rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,307518240,9,Mists of Tirna Scithe,2024-11-16T15:46:07.000Z,1014444,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Wolvesfeast,Shaman,Enhancement,dps,Azshara
1,310,307518240,9,Mists of Tirna Scithe,2024-11-16T15:46:07.000Z,1014444,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",미라마이어,Paladin,Protection,tank,Azshara
1,310,307518240,9,Mists of Tirna Scithe,2024-11-16T15:46:07.000Z,1014444,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Praisedavoid,Priest,Shadow,dps,Azshara
1,310,307518240,9,Mists of Tirna Scithe,2024-11-16T15:46:07.000Z,1014444,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",고숫,Shaman,Enhancement,dps,Azshara
1,310,307518240,9,Mists of Tirna Scithe,2024-11-16T15:46:07.000Z,1014444,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Whitemojito,Priest,Discipline,healer,Azshara
2,310,307289751,9,Mists of Tirna Scithe,2024-11-15T07:56:28.000Z,1015906,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",뒈저,Shaman,Enhancement,dps,Azshara
2,310,307289751,9,Mists of Tirna Scithe,2024-11-15T07:56:28.000Z,1015906,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",쟉가,Priest,Discipline,healer,Azshara
2,310,307289751,9,Mists of Tirna Scithe,2024-11-15T07:56:28.000Z,1015906,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",파천검존,Warrior,Protection,tank,Azshara
2,310,307289751,9,Mists of Tirna Scithe,2024-11-15T07:56:28.000Z,1015906,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",능지셔틀,Mage,Frost,dps,Azshara
2,310,307289751,9,Mists of Tirna Scithe,2024-11-15T07:56:28.000Z,1015906,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",차수,Paladin,Retribution,dps,Azshara
3,310,307325122,9,Mists of Tirna Scithe,2024-11-15T15:23:03.000Z,1044990,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",징카로트,Paladin,Retribution,dps,Azshara
3,310,307325122,9,Mists of Tirna Scithe,2024-11-15T15:23:03.000Z,1044990,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",쿠쿠다스누네띄네-138806055,Paladin,Protection,tank,Azshara
3,310,307325122,9,Mists of Tirna Scithe,2024-11-15T15:23:03.000Z,1044990,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",고파스,Evoker,Devastation,dps,Azshara
3,310,307325122,9,Mists of Tirna Scithe,2024-11-15T15:23:03.000Z,1044990,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Deathgom,Death Knight,Frost,dps,Azshara
3,310,307325122,9,Mists of Tirna Scithe,2024-11-15T15:23:03.000Z,1044990,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",앙꼬또,Priest,Discipline,healer,Azshara
4,310,307475351,9,Mists of Tirna Scithe,2024-11-16T09:17:52.000Z,1049906,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",풍운제니,Monk,Mistweaver,healer,Azshara
