rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,308745389,9,Mists of Tirna Scithe,2024-11-23T14:48:11.000Z,992436,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",뚜미,Priest,Discipline,healer,Azshara
1,310,308745389,9,Mists of Tirna Scithe,2024-11-23T14:48:11.000Z,992436,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",찌동이,Death Knight,Frost,dps,Azshara
1,310,308745389,9,Mists of Tirna Scithe,2024-11-23T14:48:11.000Z,992436,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Rolvedon,Paladin,Protection,tank,Azshara
1,310,308745389,9,Mists of Tirna Scithe,2024-11-23T14:48:11.000Z,992436,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",치해뚜,Shaman,Enhancement,dps,Azshara
1,310,308745389,9,Mists of Tirna Scithe,2024-11-23T14:48:11.000Z,992436,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",박정희황폐개혁,Evoker,Augmentation,dps,Azshara
2,310,308532771,9,Mists of Tirna Scithe,2024-11-22T03:53:27.000Z,1038129,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",살타나스,Paladin,Retribution,dps,Azshara
2,310,308532771,9,Mists of Tirna Scithe,2024-11-22T03:53:27.000Z,1038129,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",엑설런트골드맛,Druid,Balance,dps,Azshara
2,310,308532771,9,Mists of Tirna Scithe,2024-11-22T03:53:27.000Z,1038129,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",파란쿠마,Shaman,Elemental,dps,Azshara
2,310,308532771,9,Mists of Tirna Scithe,2024-11-22T03:53:27.000Z,1038129,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",New-230877768,Paladin,Protection,tank,Azshara
2,310,308532771,9,Mists of Tirna Scithe,2024-11-22T03:53:27.000Z,1038129,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Saetern,Paladin,Holy,healer,Azshara
3,310,309186046,9,Mists of Tirna Scithe,2024-11-25T13:55:50.000Z,1048021,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",이루릴사제,Priest,Holy,healer,Hellscream
3,310,309186046,9,Mists of Tirna Scithe,2024-11-25T13:55:50.000Z,1048021,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",문제인,Paladin,Retribution,dps,Hellscream
