rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,302190386,9,Mists of Tirna Scithe,2024-10-22T17:33:39.000Z,1057681,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Chasmoon,Warrior,Protection,tank,Whisperwind
1,310,302190386,9,Mists of Tirna Scithe,2024-10-22T17:33:39.000Z,1057681,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",侯溜肯,Rogue,Assassination,dps,Icecrown
1,310,302190386,9,Mists of Tirna Scithe,2024-10-22T17:33:39.000Z,1057681,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",AnonD962D4E,Mage,Arcane,dps,Anonymous
1,310,302190386,9,Mists of Tirna Scithe,2024-10-22T17:33:39.000Z,1057681,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",有娜呀,Death Knight,Frost,dps,Shadowmoon
1,310,302190386,9,Mists of Tirna Scithe,2024-10-22T17:33:39.000Z,1057681,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",AnonDAA9DCC,Shaman,Restoration,healer,Anonymous
2,310,301670870,9,Mists of Tirna Scithe,2024-10-20T14:17:00.000Z,1107593,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",友善的肥牛,Shaman,Restoration,healer,Wrathbringer
2,310,301670870,9,Mists of Tirna Scithe,2024-10-20T14:17:00.000Z,1107593,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",許小虎,Druid,Balance,dps,Chillwind Point
2,310,301670870,9,Mists of Tirna Scithe,2024-10-20T14:17:00.000Z,1107593,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",直女天菜,Paladin,Protection,tank,Shadowmoon
2,310,301670870,9,Mists of Tirna Scithe,2024-10-20T14:17:00.000Z,1107593,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Daniel,Hunter,Marksmanship,dps,Spirestone
2,310,301670870,9,Mists of Tirna Scithe,2024-10-20T14:17:00.000Z,1107593,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",時光老人,Death Knight,Frost,dps,Arthas
3,310,301411695,9,Mists of Tirna Scithe,2024-10-19T17:56:57.000Z,1130187,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",郭滔一號,Mage,Arcane,dps,Arygos
3,310,301411695,9,Mists of Tirna Scithe,2024-10-19T17:56:57.000Z,1130187,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",墨泉,Shaman,Elemental,dps,Shadowmoon
3,310,301411695,9,Mists of Tirna Scithe,2024-10-19T17:56:57.000Z,1130187,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",腎光的下半身,Paladin,Retribution,dps,Shadowmoon
3,310,301411695,9,Mists of Tirna Scithe,2024-10-19T17:56:57.000Z,1130187,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",月紜花嫣,Druid,Guardian,tank,Whisperwind
3,310,301411695,9,Mists of Tirna Scithe,2024-10-19T17:56:57.000Z,1130187,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",AnonCC7BE52,Shaman,Restoration,healer,Anonymous
4,310,300891565,9,Mists of Tirna Scithe,2024-10-17T17:11:47.000Z,1134890,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",今天要吃甚麼,Paladin,Retribution,dps,Shadowmoon
4,310,300891565,9,Mists of Tirna Scithe,2024-10-17T17:11:47.000Z,1134890,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",資深高級苦力,Shaman,Elemental,dps,Hellscream
4,310,300891565,9,Mists of Tirna Scithe,2024-10-17T17:11:47.000Z,1134890,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",阿波非斯,Shaman,Restoration,healer,Spirestone
4,310,300891565,9,Mists of Tirna Scithe,2024-10-17T17:11:47.000Z,1134890,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",失撚晒控,Death Knight,Unholy,dps,Sundown Marsh
4,310,300891565,9,Mists of Tirna Scithe,2024-10-17T17:11:47.000Z,1134890,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",牛奶多奶,Druid,Guardian,tank,Skywall
5,309.9,302025486,9,Mists of Tirna Scithe,2024-10-22T00:51:19.000Z,1138462,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",不著,Shaman,Restoration,healer,Whisperwind
5,309.9,302025486,9,Mists of Tirna Scithe,2024-10-22T00:51:19.000Z,1138462,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",璀璨夢,Warlock,Affliction,dps,Menethil
5,309.9,302025486,9,Mists of Tirna Scithe,2024-10-22T00:51:19.000Z,1138462,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",伊露恩殞落,Death Knight,Blood,tank,Hellscream
5,309.9,302025486,9,Mists of Tirna Scithe,2024-10-22T00:51:19.000Z,1138462,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Clifdragon,Evoker,Devastation,dps,Nightsong
5,309.9,302025486,9,Mists of Tirna Scithe,2024-10-22T00:51:19.000Z,1138462,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Littleturtle-228675876,Paladin,Retribution,dps,Nightsong
6,309.9,301923113,9,Mists of Tirna Scithe,2024-10-21T16:32:13.000Z,1141819,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",無效的審判,Paladin,Protection,tank,Sundown Marsh
6,309.9,301923113,9,Mists of Tirna Scithe,2024-10-21T16:32:13.000Z,1141819,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",紫芯,Paladin,Retribution,dps,Nightsong
6,309.9,301923113,9,Mists of Tirna Scithe,2024-10-21T16:32:13.000Z,1141819,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",魚花花,Shaman,Restoration,healer,Sundown Marsh
6,309.9,301923113,9,Mists of Tirna Scithe,2024-10-21T16:32:13.000Z,1141819,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",差低龍,Evoker,Augmentation,dps,Light's Hope
6,309.9,301923113,9,Mists of Tirna Scithe,2024-10-21T16:32:13.000Z,1141819,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",預言家,Death Knight,Frost,dps,Crystalpine Stinger
7,309.5,300819716,9,Mists of Tirna Scithe,2024-10-17T09:16:18.000Z,1157712,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",卡比超人,Monk,Mistweaver,healer,Hellscream
7,309.5,300819716,9,Mists of Tirna Scithe,2024-10-17T09:16:18.000Z,1157712,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Angeralastor,Demon Hunter,Vengeance,tank,Icecrown
