rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,306055235,9,Mists of Tirna Scithe,2024-11-09T11:45:44.000Z,985783,1890999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",佩口薩,Shaman,Elemental,dps,Wrathbringer
1,310,306055235,9,Mists of Tirna Scithe,2024-11-09T11:45:44.000Z,985783,1890999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",骑手战鹰,Monk,Mistweaver,healer,World Tree
1,310,306055235,9,Mists of Tirna Scithe,2024-11-09T11:45:44.000Z,985783,1890999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",巧克布列塔尼,Paladin,Protection,tank,Silverwing Hold
1,310,306055235,9,Mists of Tirna Scithe,2024-11-09T11:45:44.000Z,985783,1890999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Zakra,Warrior,Arms,dps,Stormscale
1,310,306055235,9,Mists of Tirna Scithe,2024-11-09T11:45:44.000Z,985783,1890999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",佐倉綾音,Mage,Frost,dps,Chillwind Point
2,310,306756973,9,Mists of Tirna Scithe,2024-11-12T15:15:37.000Z,1026162,1890999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",妮克絲,Paladin,Retribution,dps,Shadowmoon
2,310,306756973,9,Mists of Tirna Scithe,2024-11-12T15:15:37.000Z,1026162,1890999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",獸嘎藍布丁,Shaman,Enhancement,dps,Quel'dorei
2,310,306756973,9,Mists of Tirna Scithe,2024-11-12T15:15:37.000Z,1026162,1890999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",某個人,Shaman,Elemental,dps,Sundown Marsh
2,310,306756973,9,Mists of Tirna Scithe,2024-11-12T15:15:37.000Z,1026162,1890999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",眼底丶,Priest,Discipline,healer,Icecrown
2,310,306756973,9,Mists of Tirna Scithe,2024-11-12T15:15:37.000Z,1026162,1890999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",東行妖,Paladin,Protection,tank,Stormscale
