rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,298109343,9,Mists of Tirna Scithe,2024-10-06T06:37:07.000Z,925729,1890999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",哀豔,Priest,Holy,healer,Shadowmoon
1,310,298109343,9,Mists of Tirna Scithe,2024-10-06T06:37:07.000Z,925729,1890999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",殘風夜雪,Demon Hunter,Vengeance,tank,Quel'dorei
1,310,298109343,9,Mists of Tirna Scithe,2024-10-06T06:37:07.000Z,925729,1890999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Holyfish,Druid,Balance,dps,Arygos
1,310,298109343,9,Mists of Tirna Scithe,2024-10-06T06:37:07.000Z,925729,1890999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Aeki,Evoker,Augmentation,dps,Quel'dorei
1,310,298109343,9,Mists of Tirna Scithe,2024-10-06T06:37:07.000Z,925729,1890999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Elmog,Mage,Arcane,dps,Arygos
2,310,298111618,9,Mists of Tirna Scithe,2024-10-06T09:25:07.000Z,1069065,1890999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Chinglin,Warrior,Protection,tank,Shadowmoon
2,310,298111618,9,Mists of Tirna Scithe,2024-10-06T09:25:07.000Z,1069065,1890999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",新生聖光,Paladin,Holy,healer,Stormscale
2,310,298111618,9,Mists of Tirna Scithe,2024-10-06T09:25:07.000Z,1069065,1890999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",挖咖摸多,Death Knight,Frost,dps,Arygos
2,310,298111618,9,Mists of Tirna Scithe,2024-10-06T09:25:07.000Z,1069065,1890999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Holyfish,Druid,Balance,dps,Arygos
2,310,298111618,9,Mists of Tirna Scithe,2024-10-06T09:25:07.000Z,1069065,1890999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Aeki,Evoker,Augmentation,dps,Quel'dorei
3,310,309486673,9,Mists of Tirna Scithe,2024-11-28T10:19:29.000Z,1098635,1890999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",克里斯凱爾,Hunter,Survival,dps,Skywall
3,310,309486673,9,Mists of Tirna Scithe,2024-11-28T10:19:29.000Z,1098635,1890999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",微笑的肉球君,Monk,Mistweaver,healer,World Tree
3,310,309486673,9,Mists of Tirna Scithe,2024-11-28T10:19:29.000Z,1098635,1890999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Arcticwind,Death Knight,Frost,dps,Arthas
