rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,303090448,9,Mists of Tirna Scithe,2024-10-27T02:45:53.000Z,893537,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Zaeon,Paladin,Retribution,dps,Illidan
1,310,303090448,9,Mists of Tirna Scithe,2024-10-27T02:45:53.000Z,893537,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Midting,Evoker,Augmentation,dps,Thrall
1,310,303090448,9,Mists of Tirna Scithe,2024-10-27T02:45:53.000Z,893537,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Kyrmippi,Paladin,Holy,healer,Thrall
1,310,303090448,9,Mists of Tirna Scithe,2024-10-27T02:45:53.000Z,893537,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Gigabonker,Warrior,Protection,tank,Thrall
1,310,303090448,9,Mists of Tirna Scithe,2024-10-27T02:45:53.000Z,893537,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Streakblue,Shaman,Enhancement,dps,Illidan
2,310,303563413,9,Mists of Tirna Scithe,2024-10-29T01:44:37.000Z,948253,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Dirtpoor,Rogue,Assassination,dps,Stormrage
2,310,303563413,9,Mists of Tirna Scithe,2024-10-29T01:44:37.000Z,948253,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Castondeath-230082985,Warrior,Protection,tank,Illidan
2,310,303563413,9,Mists of Tirna Scithe,2024-10-29T01:44:37.000Z,948253,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Slaidge-230082987,Shaman,Enhancement,dps,Illidan
2,310,303563413,9,Mists of Tirna Scithe,2024-10-29T01:44:37.000Z,948253,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Sariyaa,Paladin,Retribution,dps,Moon Guard
2,310,303563413,9,Mists of Tirna Scithe,2024-10-29T01:44:37.000Z,948253,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Altay-230142046,Priest,Discipline,healer,Sargeras
3,310,303460012,9,Mists of Tirna Scithe,2024-10-28T20:11:01.000Z,989539,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Rainbowfire,Druid,Restoration,healer,Frostmourne
3,310,303460012,9,Mists of Tirna Scithe,2024-10-28T20:11:01.000Z,989539,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Desypoop,Priest,Shadow,dps,Frostmourne
3,310,303460012,9,Mists of Tirna Scithe,2024-10-28T20:11:01.000Z,989539,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Pyronius,Warrior,Arms,dps,Frostmourne
3,310,303460012,9,Mists of Tirna Scithe,2024-10-28T20:11:01.000Z,989539,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Jorknpeanits-228047704,Paladin,Protection,tank,Frostmourne
3,310,303460012,9,Mists of Tirna Scithe,2024-10-28T20:11:01.000Z,989539,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Derpyshaman,Shaman,Enhancement,dps,Frostmourne
4,310,302841274,9,Mists of Tirna Scithe,2024-10-25T21:13:02.000Z,999279,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Hookz,Druid,Guardian,tank,Azralon
4,310,302841274,9,Mists of Tirna Scithe,2024-10-25T21:13:02.000Z,999279,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Bnano,Shaman,Restoration,healer,Zul'jin
4,310,302841274,9,Mists of Tirna Scithe,2024-10-25T21:13:02.000Z,999279,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Ezpally,Paladin,Retribution,dps,Zul'jin
4,310,302841274,9,Mists of Tirna Scithe,2024-10-25T21:13:02.000Z,999279,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Jorandx,Shaman,Enhancement,dps,Stormrage
4,310,302841274,9,Mists of Tirna Scithe,2024-10-25T21:13:02.000Z,999279,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Jackfróst,Death Knight,Frost,dps,Stormrage
5,310,302664225,9,Mists of Tirna Scithe,2024-10-25T01:58:32.000Z,1000936,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Galenar,Druid,Restoration,healer,Khaz'goroth
5,310,302664225,9,Mists of Tirna Scithe,2024-10-25T01:58:32.000Z,1000936,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Biblicalboby,Shaman,Elemental,dps,Frostmourne
5,310,302664225,9,Mists of Tirna Scithe,2024-10-25T01:58:32.000Z,1000936,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Sneakywoofer,Rogue,Assassination,dps,Frostmourne
5,310,302664225,9,Mists of Tirna Scithe,2024-10-25T01:58:32.000Z,1000936,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Gripmyballs,Death Knight,Frost,dps,Frostmourne
5,310,302664225,9,Mists of Tirna Scithe,2024-10-25T01:58:32.000Z,1000936,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Dugbug,Paladin,Protection,tank,Frostmourne
6,310,302672981,9,Mists of Tirna Scithe,2024-10-25T13:04:31.000Z,1007776,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Discontrol,Priest,Discipline,healer,Bleeding Hollow
6,310,302672981,9,Mists of Tirna Scithe,2024-10-25T13:04:31.000Z,1007776,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Temmpo,Shaman,Enhancement,dps,Illidan
6,310,302672981,9,Mists of Tirna Scithe,2024-10-25T13:04:31.000Z,1007776,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Vylexa,Warlock,Demonology,dps,Tichondrius
6,310,302672981,9,Mists of Tirna Scithe,2024-10-25T13:04:31.000Z,1007776,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Stormhug,Shaman,Elemental,dps,Sargeras
6,310,302672981,9,Mists of Tirna Scithe,2024-10-25T13:04:31.000Z,1007776,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Stormypal,Paladin,Protection,tank,Sargeras
7,310,303061997,9,Mists of Tirna Scithe,2024-10-26T23:39:11.000Z,1008700,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Delusionism,Monk,Windwalker,dps,Moon Guard
7,310,303061997,9,Mists of Tirna Scithe,2024-10-26T23:39:11.000Z,1008700,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Eepykìtty,Druid,Balance,dps,Moon Guard
7,310,303061997,9,Mists of Tirna Scithe,2024-10-26T23:39:11.000Z,1008700,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Dookiepally,Paladin,Retribution,dps,Illidan
7,310,303061997,9,Mists of Tirna Scithe,2024-10-26T23:39:11.000Z,1008700,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Knardrolan,Warrior,Protection,tank,Moon Guard
7,310,303061997,9,Mists of Tirna Scithe,2024-10-26T23:39:11.000Z,1008700,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Stackpls,Evoker,Preservation,healer,Moon Guard
8,310,302280693,9,Mists of Tirna Scithe,2024-10-23T05:25:11.000Z,1009158,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Bigmilktotem,Shaman,Restoration,healer,Zul'jin
8,310,302280693,9,Mists of Tirna Scithe,2024-10-23T05:25:11.000Z,1009158,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Diasvoker,Evoker,Augmentation,dps,Mal'Ganis
8,310,302280693,9,Mists of Tirna Scithe,2024-10-23T05:25:11.000Z,1009158,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Masonsucks,Paladin,Protection,tank,Illidan
8,310,302280693,9,Mists of Tirna Scithe,2024-10-23T05:25:11.000Z,1009158,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Rizeronpast,Shaman,Enhancement,dps,Tichondrius
8,310,302280693,9,Mists of Tirna Scithe,2024-10-23T05:25:11.000Z,1009158,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Degaússer,Mage,Fire,dps,Mal'Ganis
9,310,302850884,9,Mists of Tirna Scithe,2024-10-26T02:27:31.000Z,1011861,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Gurgoth,Warrior,Protection,tank,Muradin
9,310,302850884,9,Mists of Tirna Scithe,2024-10-26T02:27:31.000Z,1011861,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Éthos,Shaman,Enhancement,dps,Blackrock
9,310,302850884,9,Mists of Tirna Scithe,2024-10-26T02:27:31.000Z,1011861,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Shinsoker,Evoker,Augmentation,dps,Blackrock
9,310,302850884,9,Mists of Tirna Scithe,2024-10-26T02:27:31.000Z,1011861,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Totemcgoat,Shaman,Restoration,healer,Elune
9,310,302850884,9,Mists of Tirna Scithe,2024-10-26T02:27:31.000Z,1011861,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Toshirou,Shaman,Elemental,dps,Blackrock
10,310,302391208,9,Mists of Tirna Scithe,2024-10-24T00:20:39.000Z,1012052,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Royalmace,Warlock,Affliction,dps,Dethecus
10,310,302391208,9,Mists of Tirna Scithe,2024-10-24T00:20:39.000Z,1012052,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",True,Rogue,Assassination,dps,Dethecus
10,310,302391208,9,Mists of Tirna Scithe,2024-10-24T00:20:39.000Z,1012052,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Dog,Warrior,Protection,tank,Lethon
10,310,302391208,9,Mists of Tirna Scithe,2024-10-24T00:20:39.000Z,1012052,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Paladinfäce,Paladin,Holy,healer,Tichondrius
10,310,302391208,9,Mists of Tirna Scithe,2024-10-24T00:20:39.000Z,1012052,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Salrock,Shaman,Elemental,dps,Stormrage
11,310,303116686,9,Mists of Tirna Scithe,2024-10-27T05:49:10.000Z,1012110,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Jurick,Warrior,Protection,tank,Thrall
11,310,303116686,9,Mists of Tirna Scithe,2024-10-27T05:49:10.000Z,1012110,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Knotts,Monk,Windwalker,dps,Thrall
11,310,303116686,9,Mists of Tirna Scithe,2024-10-27T05:49:10.000Z,1012110,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Stabbyjuice,Rogue,Assassination,dps,Illidan
11,310,303116686,9,Mists of Tirna Scithe,2024-10-27T05:49:10.000Z,1012110,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Æra,Shaman,Enhancement,dps,Thrall
11,310,303116686,9,Mists of Tirna Scithe,2024-10-27T05:49:10.000Z,1012110,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Arezo,Shaman,Restoration,healer,Thrall
12,310,302686944,9,Mists of Tirna Scithe,2024-10-25T16:48:14.000Z,1019803,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Celliac,Priest,Discipline,healer,Tichondrius
12,310,302686944,9,Mists of Tirna Scithe,2024-10-25T16:48:14.000Z,1019803,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Minniu,Evoker,Augmentation,dps,Tichondrius
12,310,302686944,9,Mists of Tirna Scithe,2024-10-25T16:48:14.000Z,1019803,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Mikogami,Death Knight,Blood,tank,Tichondrius
12,310,302686944,9,Mists of Tirna Scithe,2024-10-25T16:48:14.000Z,1019803,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Hozemi,Shaman,Elemental,dps,Tichondrius
12,310,302686944,9,Mists of Tirna Scithe,2024-10-25T16:48:14.000Z,1019803,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Sweetpizzajr,Paladin,Retribution,dps,Tichondrius
13,310,303273883,9,Mists of Tirna Scithe,2024-10-27T18:15:09.000Z,1020363,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Renner,Druid,Balance,dps,Zul'jin
13,310,303273883,9,Mists of Tirna Scithe,2024-10-27T18:15:09.000Z,1020363,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Potatowings-126320125,Paladin,Protection,tank,Stormrage
13,310,303273883,9,Mists of Tirna Scithe,2024-10-27T18:15:09.000Z,1020363,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Nessper,Rogue,Assassination,dps,Tichondrius
13,310,303273883,9,Mists of Tirna Scithe,2024-10-27T18:15:09.000Z,1020363,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Randio,Hunter,Survival,dps,Spirestone
13,310,303273883,9,Mists of Tirna Scithe,2024-10-27T18:15:09.000Z,1020363,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Juliejess,Druid,Restoration,healer,Stormrage
14,310,302852718,9,Mists of Tirna Scithe,2024-10-26T02:14:16.000Z,1025191,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Mikarya,Death Knight,Frost,dps,Thrall
14,310,302852718,9,Mists of Tirna Scithe,2024-10-26T02:14:16.000Z,1025191,1890999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Nethhunter,Hunter,Survival,dps,Stormrage
