rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,307269093,9,Mists of Tirna Scithe,2024-11-15T04:51:23.000Z,895156,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Køtõrì,Warrior,Fury,dps,Illidan
1,310,307269093,9,Mists of Tirna Scithe,2024-11-15T04:51:23.000Z,895156,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Randina,Hunter,Survival,dps,Sargeras
1,310,307269093,9,Mists of Tirna Scithe,2024-11-15T04:51:23.000Z,895156,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Trav,Druid,Guardian,tank,Sargeras
1,310,307269093,9,Mists of Tirna Scithe,2024-11-15T04:51:23.000Z,895156,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Ferdimonk,Monk,Mistweaver,healer,Stormrage
1,310,307269093,9,Mists of Tirna Scithe,2024-11-15T04:51:23.000Z,895156,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Valtyr,Warrior,Fury,dps,Mannoroth
2,310,293261266,9,Mists of Tirna Scithe,2024-09-19T18:25:09.000Z,942515,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Cerepriestf,Priest,Discipline,healer,Illidan
2,310,293261266,9,Mists of Tirna Scithe,2024-09-19T18:25:09.000Z,942515,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Lilstick,Demon Hunter,Vengeance,tank,Illidan
2,310,293261266,9,Mists of Tirna Scithe,2024-09-19T18:25:09.000Z,942515,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Mälärk,Hunter,Marksmanship,dps,Illidan
2,310,293261266,9,Mists of Tirna Scithe,2024-09-19T18:25:09.000Z,942515,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Gooptrippin,Evoker,Devastation,dps,Illidan
2,310,293261266,9,Mists of Tirna Scithe,2024-09-19T18:25:09.000Z,942515,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Fireup,Mage,Arcane,dps,Illidan
3,310,307154112,9,Mists of Tirna Scithe,2024-11-14T13:28:40.000Z,942712,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Raíju,Shaman,Elemental,dps,Thrall
3,310,307154112,9,Mists of Tirna Scithe,2024-11-14T13:28:40.000Z,942712,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Hydràx,Paladin,Protection,tank,Frostmourne
3,310,307154112,9,Mists of Tirna Scithe,2024-11-14T13:28:40.000Z,942712,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Chevýn,Rogue,Outlaw,dps,Frostmourne
3,310,307154112,9,Mists of Tirna Scithe,2024-11-14T13:28:40.000Z,942712,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Voladreirn,Priest,Discipline,healer,Barthilas
3,310,307154112,9,Mists of Tirna Scithe,2024-11-14T13:28:40.000Z,942712,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Sinbeast,Rogue,Assassination,dps,Frostmourne
4,310,306956677,9,Mists of Tirna Scithe,2024-11-13T12:55:57.000Z,957673,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Lestergreen,Mage,Arcane,dps,Ner'zhul
4,310,306956677,9,Mists of Tirna Scithe,2024-11-13T12:55:57.000Z,957673,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Critspal,Paladin,Holy,healer,Barthilas
4,310,306956677,9,Mists of Tirna Scithe,2024-11-13T12:55:57.000Z,957673,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Flayed,Priest,Shadow,dps,Tichondrius
4,310,306956677,9,Mists of Tirna Scithe,2024-11-13T12:55:57.000Z,957673,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Angryy,Druid,Balance,dps,Tichondrius
4,310,306956677,9,Mists of Tirna Scithe,2024-11-13T12:55:57.000Z,957673,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Klaa-230841738,Paladin,Protection,tank,Thrall
5,310,293357791,9,Mists of Tirna Scithe,2024-09-19T15:40:34.000Z,970273,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Bolas,Paladin,Retribution,dps,Frostmourne
5,310,293357791,9,Mists of Tirna Scithe,2024-09-19T15:40:34.000Z,970273,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Pumps,Druid,Guardian,tank,Frostmourne
5,310,293357791,9,Mists of Tirna Scithe,2024-09-19T15:40:34.000Z,970273,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Mitchjee,Shaman,Restoration,healer,Frostmourne
5,310,293357791,9,Mists of Tirna Scithe,2024-09-19T15:40:34.000Z,970273,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Padflash,Mage,Fire,dps,Frostmourne
5,310,293357791,9,Mists of Tirna Scithe,2024-09-19T15:40:34.000Z,970273,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Sawkon,Demon Hunter,Havoc,dps,Frostmourne
6,310,293508104,9,Mists of Tirna Scithe,2024-09-20T17:44:49.000Z,975347,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Dzzr-225674439,Paladin,Retribution,dps,Illidan
6,310,293508104,9,Mists of Tirna Scithe,2024-09-20T17:44:49.000Z,975347,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Xesevib,Shaman,Restoration,healer,Illidan
6,310,293508104,9,Mists of Tirna Scithe,2024-09-20T17:44:49.000Z,975347,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Tobodawg,Evoker,Devastation,dps,Illidan
6,310,293508104,9,Mists of Tirna Scithe,2024-09-20T17:44:49.000Z,975347,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Atlasdumpy,Death Knight,Blood,tank,Illidan
6,310,293508104,9,Mists of Tirna Scithe,2024-09-20T17:44:49.000Z,975347,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Lipshaman,Shaman,Enhancement,dps,Illidan
7,310,307031718,9,Mists of Tirna Scithe,2024-11-13T21:18:35.000Z,977843,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Samdara,Shaman,Elemental,dps,Area 52
7,310,307031718,9,Mists of Tirna Scithe,2024-11-13T21:18:35.000Z,977843,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Ephram,Priest,Holy,healer,Silvermoon
7,310,307031718,9,Mists of Tirna Scithe,2024-11-13T21:18:35.000Z,977843,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Helltaken,Demon Hunter,Vengeance,tank,Area 52
7,310,307031718,9,Mists of Tirna Scithe,2024-11-13T21:18:35.000Z,977843,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Dngaming,Rogue,Assassination,dps,Area 52
7,310,307031718,9,Mists of Tirna Scithe,2024-11-13T21:18:35.000Z,977843,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Exwalk,Monk,Windwalker,dps,Illidan
8,310,307262145,9,Mists of Tirna Scithe,2024-11-15T03:38:49.000Z,981679,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Coldestpally,Paladin,Protection,tank,Stormrage
8,310,307262145,9,Mists of Tirna Scithe,2024-11-15T03:38:49.000Z,981679,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Sneakygee,Rogue,Assassination,dps,Thrall
8,310,307262145,9,Mists of Tirna Scithe,2024-11-15T03:38:49.000Z,981679,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Falzyker,Mage,Arcane,dps,Quel'Thalas
8,310,307262145,9,Mists of Tirna Scithe,2024-11-15T03:38:49.000Z,981679,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Traxp,Priest,Discipline,healer,Bleeding Hollow
8,310,307262145,9,Mists of Tirna Scithe,2024-11-15T03:38:49.000Z,981679,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Astralah,Paladin,Retribution,dps,Area 52
9,310,307438073,9,Mists of Tirna Scithe,2024-11-16T02:15:29.000Z,990090,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Balzofsteels,Hunter,Marksmanship,dps,Zul'jin
9,310,307438073,9,Mists of Tirna Scithe,2024-11-16T02:15:29.000Z,990090,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Khabibdh,Demon Hunter,Vengeance,tank,Proudmoore
9,310,307438073,9,Mists of Tirna Scithe,2024-11-16T02:15:29.000Z,990090,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Kênpâchî,Warrior,Fury,dps,Bleeding Hollow
9,310,307438073,9,Mists of Tirna Scithe,2024-11-16T02:15:29.000Z,990090,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Karuug,Shaman,Restoration,healer,Mal'Ganis
9,310,307438073,9,Mists of Tirna Scithe,2024-11-16T02:15:29.000Z,990090,1890999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Marlows,Paladin,Retribution,dps,Mal'Ganis
