rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,308691596,9,Mists of Tirna Scithe,2024-11-23T04:29:26.000Z,841748,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Nando,Warrior,Fury,dps,Azralon
1,310,308691596,9,Mists of Tirna Scithe,2024-11-23T04:29:26.000Z,841748,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Risenblade,Paladin,Protection,tank,Illidan
1,310,308691596,9,Mists of Tirna Scithe,2024-11-23T04:29:26.000Z,841748,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Jetpara,Hunter,Survival,dps,Area 52
1,310,308691596,9,Mists of Tirna Scithe,2024-11-23T04:29:26.000Z,841748,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Lyusnya-231463001,Priest,Discipline,healer,Area 52
1,310,308691596,9,Mists of Tirna Scithe,2024-11-23T04:29:26.000Z,841748,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Scatach-231463002,Warlock,Destruction,dps,Area 52
2,310,308848943,9,Mists of Tirna Scithe,2024-11-24T00:44:56.000Z,913776,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Tranquilmatt,Paladin,Protection,tank,Stormrage
2,310,308848943,9,Mists of Tirna Scithe,2024-11-24T00:44:56.000Z,913776,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Mypetsbeast,Hunter,Survival,dps,Bleeding Hollow
2,310,308848943,9,Mists of Tirna Scithe,2024-11-24T00:44:56.000Z,913776,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Brontt,Priest,Discipline,healer,Stormrage
2,310,308848943,9,Mists of Tirna Scithe,2024-11-24T00:44:56.000Z,913776,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Zabbudx,Druid,Balance,dps,Illidan
2,310,308848943,9,Mists of Tirna Scithe,2024-11-24T00:44:56.000Z,913776,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Jauntt,Shaman,Enhancement,dps,Stormrage
3,310,309024793,9,Mists of Tirna Scithe,2024-11-25T00:09:07.000Z,968795,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Anèrrysm,Death Knight,Frost,dps,Thrall
3,310,309024793,9,Mists of Tirna Scithe,2024-11-25T00:09:07.000Z,968795,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Ráliá,Paladin,Protection,tank,Staghelm
3,310,309024793,9,Mists of Tirna Scithe,2024-11-25T00:09:07.000Z,968795,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Ankhlebiter,Shaman,Enhancement,dps,Stormrage
3,310,309024793,9,Mists of Tirna Scithe,2024-11-25T00:09:07.000Z,968795,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",AnonD90208D,Priest,Discipline,healer,Anonymous
3,310,309024793,9,Mists of Tirna Scithe,2024-11-25T00:09:07.000Z,968795,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Airushrazor,Hunter,Survival,dps,Area 52
4,310,296200241,9,Mists of Tirna Scithe,2024-09-28T11:14:02.000Z,989105,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Cybeexd-22728949,Monk,Brewmaster,tank,Frostmourne
4,310,296200241,9,Mists of Tirna Scithe,2024-09-28T11:14:02.000Z,989105,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Equibus,Mage,Frost,dps,Frostmourne
4,310,296200241,9,Mists of Tirna Scithe,2024-09-28T11:14:02.000Z,989105,1890999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Kítsuno,Priest,Discipline,healer,Frostmourne
