rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,301144167,9,Mists of Tirna Scithe,2024-10-18T19:01:01.000Z,976249,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Masodk,Death Knight,Frost,dps,Aggramar
1,310,301144167,9,Mists of Tirna Scithe,2024-10-18T19:01:01.000Z,976249,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Vivasvat,Rogue,Assassination,dps,Thrall
1,310,301144167,9,Mists of Tirna Scithe,2024-10-18T19:01:01.000Z,976249,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Rylinira,Shaman,Restoration,healer,Stormrage
1,310,301144167,9,Mists of Tirna Scithe,2024-10-18T19:01:01.000Z,976249,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Residentjunk,Warlock,Affliction,dps,Area 52
1,310,301144167,9,Mists of Tirna Scithe,2024-10-18T19:01:01.000Z,976249,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Thyzok,Warrior,Protection,tank,Zul'jin
2,310,300958709,9,Mists of Tirna Scithe,2024-10-17T21:20:21.000Z,978792,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Ashurase,Druid,Guardian,tank,Azralon
2,310,300958709,9,Mists of Tirna Scithe,2024-10-17T21:20:21.000Z,978792,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Spartanovix,Paladin,Retribution,dps,Azralon
2,310,300958709,9,Mists of Tirna Scithe,2024-10-17T21:20:21.000Z,978792,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Stylinpriest,Priest,Holy,healer,Illidan
2,310,300958709,9,Mists of Tirna Scithe,2024-10-17T21:20:21.000Z,978792,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Heripóter,Mage,Arcane,dps,Illidan
2,310,300958709,9,Mists of Tirna Scithe,2024-10-17T21:20:21.000Z,978792,1890999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Marajahftw,Demon Hunter,Havoc,dps,Illidan
